年度,Fiscal year,徴収決定額 Premium decided,収納済額Premium received,不納欠損額 Deficit from uncollectable accounts,収納未済額 Premium unreceived,雇用保険印紙売上金 Sales of revenue stamps,受給者実人員 Beneficiaries,支給金額 Benefits paid
平成27,2015,478,476,-,2,194004,2362,1077540
平成28,2016,355,355,-,-,191779,2254,986493
平成29,2017,2,2,-,-,54990,950,580242
平成30,2018,54,54,-,-,48365,846,530494
令和元,2019,0,0,-,-,48539,899,627446
,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　7  労働 7  LABOR,,,,,,,,
7-5  雇用保険 (日雇) 徴収及び支給状況 (平成27～令和元年度) 7-5  COLLECTION AND PAYMENT OF  EMPLOYMENT INSURANCE (DAY LABORERS) ( Fiscal Years 2015-2019 ),,,,,,,,
注) 「受給者実人員」は月平均である。「支給金額」以外の金額については，単位未満を切り捨ててある。,,,,,,,,
Note: “Beneficiaries” are monthly averages. Other than “Benefits paid”， figures under thousand are rounded down.,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau          ,,,,,,,,
（単位　金額　千円）(In thousands of yen),,,,,,,,
