階層,地域コード,項番 Item number,地域,District,総数 Total 1) ,結核 Tuberculosis,生活習慣病 Lifestyle-related diseases／悪性新生物 Malignant neoplasm,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted)肝臓がん Liver cancer,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted) 前立腺がん Prostate cancer,生活習慣病 Lifestyle-related diseases／循環器疾患 Cardiovascular disease,生活習慣病 Lifestyle-related diseases／その他 Others,生活習慣病 Lifestyle-related diseases／その他 Others／(再掲)(Relisted) 骨粗しょう症 Osteoporosis,その他 Others
0,13000,0,総数,Tokyo-to,1426024,1179962,120926,226,57413,28824,89983,12126,6329
1,13100,1,区部,All Ku,870439,764915,75579,-,35228,13337,11607,6456,5001
1,13200,2,市部,All shi,541624,410915,38200,-,20991,14296,76885,4179,1328
1,13300,3,郡部,All gun,8460,1663,6237,226,864,-,560,560,-
1,13350,4,島部,All islands,5501,2469,910,-,330,1191,931,931,-
,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,
19-5  地域保健活動 (1) 健康診断 (平成30年度) 19-5  LOCAL PUBLIC HEALTH CARE ACTIVITIES (1) HEALTH EXAMINATIONS ( Fiscal Year 2018 )　,,,,,,,,,,,,,
注 1) 高齢者の医療の確保に関する法律に基づく特定健康診査，健康増進法第19条の２に基づく健康診査，地域保健・健康増進事業報告 「母子保健（健康 診査）」に該当するもの及び歯科健診を除く。,,,,,,,,,,,,,
"Note: 1) Excludes special health examinations based on the Act on Assurance of Medical Care for Elderly People， health examinations based on Article 19-2 of the Health Promotion Act， those covered in the ""maternal and child health section (health examinations)"" of the Report on Regional Public Health Services and Health Promotion Services， and dental examinations.",,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,
