年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成26,2014,0,13000,総数,Tokyo-to,228604,202237,202822,11320,37642,194753,8,5836,581,294877
平成27,2015,0,13000,総数,Tokyo-to,231184,203003,205486,10817,39701,197454,6,5680,577,295176
平成28,2016,0,13000,総数,Tokyo-to,232042,203562,206968,10260,41900,198906,5,5561,572,293066
平成29,2017,0,13000,総数,Tokyo-to,232949,204021,208090,9578,44342,200759,6,5464,566,291644
平成30,2018,0,13000,総数,Tokyo-to,232496,202499,207880,8878,45884,200510,4,5163,624,288618
平成30,2018,1,13100,区部,All ku,174337,152500,156800,6051,34728,150108,3,3592,484,213021
平成30,2018,2,13101,千代田区,Chiyoda-ku,581,452,445,6,128,532,0,6,2,632
平成30,2018,2,13102,中央区,Chuo-ku,1001,818,832,17,213,826,-,13,4,1139
平成30,2018,2,13103,港区,Minato-ku,1822,1592,1587,51,449,1576,0,34,3,2137
平成30,2018,2,13104,新宿区,Shinjuku-ku,8933,7826,7737,178,1451,7389,1,84,26,10198
平成30,2018,2,13105,文京区,Bunkyo-ku,2020,1697,1760,33,459,1684,-,18,7,2280
平成30,2018,2,13106,台東区,Taito-ku,7882,6868,6819,83,1310,6396,0,50,33,8518
平成30,2018,2,13107,墨田区,Sumida-ku,6558,5971,6003,239,1569,6113,0,154,25,8048
平成30,2018,2,13108,江東区,Koto-ku,7767,6944,6971,281,1682,6876,-,162,27,9783
平成30,2018,2,13109,品川区,Shinagawa-ku,4789,4059,4238,98,1098,4132,0,73,17,5592
平成30,2018,2,13110,目黒区,Meguro-ku,2432,2068,2088,43,544,2241,-,29,5,2815
平成30,2018,2,13111,大田区,Ota-ku,13514,11591,12348,484,2981,12590,0,306,48,16482
平成30,2018,2,13112,世田谷区,Setagaya-ku,8801,7647,7981,237,1745,6622,0,137,23,10211
平成30,2018,2,13113,渋谷区,Shibuya-ku,2816,2459,2467,41,568,2215,-,28,2,3131
平成30,2018,2,13114,中野区,Nakano-ku,6739,6018,6181,110,1187,5739,-,80,12,7617
平成30,2018,2,13115,杉並区,Suginami-ku,6526,5759,5938,121,1250,6104,-,64,6,7425
平成30,2018,2,13116,豊島区,Toshima-ku,6216,5338,5514,77,1154,5726,0,57,11,6933
平成30,2018,2,13117,北区,Kita-ku,7806,6780,7051,171,1871,6986,-,121,31,9389
平成30,2018,2,13118,荒川区,Arakawa-ku,5373,4804,4865,173,1085,4684,0,84,23,6435
平成30,2018,2,13119,板橋区,Itabashi-ku,14210,12162,12799,674,2442,11644,0,384,48,18275
平成30,2018,2,13120,練馬区,Nerima-ku,13356,11643,12089,579,2694,10549,0,435,10,16979
平成30,2018,2,13121,足立区,Adachi-ku,18882,16785,16961,948,3824,15762,0,447,34,24640
平成30,2018,2,13122,葛飾区,Katsushika-ku,10742,9220,9625,468,2320,9076,0,248,33,13741
平成30,2018,2,13123,江戸川区,Edogawa-ku,15573,14001,14501,940,2705,14648,0,577,54,20623
平成30,2018,1,13200,市部,All shi,57045,49089,50308,2781,10892,49401,1,1544,139,74121
平成30,2018,2,13201,八王子市,Hachioji-shi,7431,6253,6339,331,1374,5893,0,185,20,9540
平成30,2018,2,13202,立川市,Tachikawa-shi,3881,3361,3510,169,827,3569,0,85,11,5001
平成30,2018,2,13203,武蔵野市,Musashino-shi,1632,1483,1447,36,277,1556,-,16,3,1849
平成30,2018,2,13204,三鷹市,Mitaka-shi,2635,2249,2327,89,498,2531,-,53,4,3252
平成30,2018,2,13205,青梅市,Ome-shi,2138,1795,1730,150,328,1577,-,61,4,2916
平成30,2018,2,13206,府中市,Fuchu-shi,4031,3578,3651,237,745,3830,-,128,13,5262
