会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,1081976,1099226,1099226
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,1081976,1099226,1099226
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,1081976,1099226,1099226
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,1081976,1099226,1099226
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,2098005,2060580,2061001
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,1509623,1479382,1478892
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,373462,367710,368622
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,214920,213488,213488
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,1836485,1812712,1751580
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,1836485,1812712,1751580
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,372,372,769
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,9,9,12
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,0,0,0
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,363,363,756
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,372,372,15
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,372,372,15
国民健康保険事業,National health insurance program,0,歳入,Revenue,1105244,1105244,1115751
国民健康保険事業,National health insurance program,1,分担金及負担金,Beneficiary contribution,462505,462505,439164
国民健康保険事業,National health insurance program,1,国庫支出金,National treasury disbursements,302376,302376,311174
国民健康保険事業,National health insurance program,1,療養給付費等交付金,Grants for medical treatment benefits， expenses， etc.,0,0,617
国民健康保険事業,National health insurance program,1,前期高齢者交付金,Grants for the elderly aged 65-74,246241,246241,247031
国民健康保険事業,National health insurance program,1,共同事業交付金,Grants for collaboration insurance program,1363,1363,1240
国民健康保険事業,National health insurance program,1,財産収入,Revenue from property,6,6,2
国民健康保険事業,National health insurance program,1,繰入金,Funds transferred,92568,92568,86817
国民健康保険事業,National health insurance program,1,諸収入,Miscellaneous,184,184,7765
国民健康保険事業,National health insurance program,1,繰越金,Balance brought forward,1,1,21941
国民健康保険事業,National health insurance program,0,歳出,Expenditure,1105244,1105244,1095125
国民健康保険事業,National health insurance program,1,国民健康保険事業費,National health insurance program,1105244,1105244,1095125
