年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成30,2018,0,13000,,総数,Tokyo-to,4025,2725,227,3,4,1066,180,170,1875,20297,442,88,808,6116531
平成31･令和元,2019,0,13000,,総数,Tokyo-to,4116,2919,206,1,5,985,206,172,1972,18824,782,108,703,7757182
平成31･令和元,2019,1,13100,,区部,All ku　,3049,2230,138,1,-,680,138,133,1498,11971,-,79,536,5716937
平成31･令和元,2019,2,13101,1,千代田区,Chiyoda-ku ,158,124,7,-,-,27,2,-,15,61,-,-,23,30157
平成31･令和元,2019,2,13102,2,中央区,Chuo-ku,131,97,6,-,-,28,1,-,28,66,-,-,8,36528
平成31･令和元,2019,2,13103,3,港区,Minato-ku,176,145,2,-,-,29,2,1,42,109,-,-,25,345423
平成31･令和元,2019,2,13104,4,新宿区,Shinjuku-ku,215,158,5,-,-,52,3,3,98,478,-,2,40,338106
平成31･令和元,2019,2,13105,5,文京区,Bunkyo-ku,67,51,3,-,-,13,3,2,36,521,-,5,14,447424
平成31･令和元,2019,2,13106,6,台東区,Taito-ku,97,71,3,-,-,23,1,-,30,107,-,-,6,84055
平成31･令和元,2019,2,13107,7,墨田区,Sumida-ku,81,54,6,-,-,21,6,7,48,325,-,1,11,40999
平成31･令和元,2019,2,13108,8,江東区,Koto-ku,169,109,8,-,-,52,3,4,51,616,-,1,24,258631
平成31･令和元,2019,2,13109,9,品川区,Shinagawa-ku ,107,84,3,-,-,20,6,7,59,300,-,3,24,75250
平成31･令和元,2019,2,13110,10,目黒区,Meguro-ku,67,47,5,-,-,15,-,4,24,260,-,-,11,49395
平成31･令和元,2019,2,13111,11,大田区,Ota-ku,171,124,11,-,-,36,6,10,75,1115,-,4,39,1895015
平成31･令和元,2019,2,13112,12,世田谷区,Setagaya-ku,212,162,16,-,-,34,13,9,133,883,-,10,36,397847
平成31･令和元,2019,2,13113,13,渋谷区,Shibuya-ku,140,106,10,-,-,24,2,-,37,102,-,2,17,27840
平成31･令和元,2019,2,13114,14,中野区,Nakano-ku,101,76,1,-,-,24,12,13,72,257,-,3,10,67892
平成31･令和元,2019,2,13115,15,杉並区,Suginami-ku,125,97,7,-,-,21,9,7,88,583,-,8,29,125889
平成31･令和元,2019,2,13116,16,豊島区,Toshima-ku,118,101,-,-,-,17,5,16,64,389,-,2,29,231893
平成31･令和元,2019,2,13117,17,北区,Kita-ku,76,54,-,-,-,22,3,10,36,201,-,4,24,52875
平成31･令和元,2019,2,13118,18,荒川区,Arakawa-ku,63,47,3,-,-,13,5,1,38,391,-,3,11,67854
平成31･令和元,2019,2,13119,19,板橋区,Itabashi-ku,158,104,11,-,-,43,15,2,126,1578,-,6,35,448186
平成31･令和元,2019,2,13120,20,練馬区,Nerima-ku,140,108,6,-,-,26,8,4,107,671,-,7,32,110616
平成31･令和元,2019,2,13121,21,足立区,Adachi-ku,190,119,13,1,-,57,16,20,100,1738,-,8,44,387468
平成31･令和元,2019,2,13122,22,葛飾区,Katsushika-ku,122,78,5,-,-,39,6,5,70,663,-,7,20,102889
平成31･令和元,2019,2,13123,23,江戸川区,Edogawa-ku ,165,114,7,-,-,44,11,8,121,557,-,3,24,94705
平成31･令和元,2019,1,13200,,市部,All shi ,1029,675,64,-,2,288,65,36,471,6218,30,29,161,2003976
平成31･令和元,2019,2,13201,1,八王子市,Hachioji-shi,159,95,16,-,1,47,10,8,55,1079,-,7,27,323119
平成31･令和元,2019,2,13202,2,立川市,Tachikawa-shi,50,36,2,-,-,12,2,1,21,91,-,2,5,29607
平成31･令和元,2019,2,13203,3,武蔵野市,Musashino-shi,46,34,1,-,-,11,1,-,9,75,-,1,7,46814
平成31･令和元,2019,2,13204,4,三鷹市,Mitaka-shi,53,36,4,-,-,13,2,-,23,111,-,2,6,41186
平成31･令和元,2019,2,13205,5,青梅市,Ome-shi,26,18,3,-,1,4,1,1,15,220,30,-,6,18730
平成31･令和元,2019,2,13206,6,府中市,Fuchu-shi,59,39,6,-,-,14,5,-,25,75,-,2,9,29828
平成31･令和元,2019,2,13207,7,昭島市,Akishima-shi,32,22,2,-,-,8,-,-,16,466,-,-,3,29200
平成31･令和元,2019,2,13208,8,調布市,Chofu-shi,59,42,3,-,-,14,2,2,25,203,-,2,11,30018
平成31･令和元,2019,2,13209,9,町田市,Machida-shi,104,65,2,-,-,37,13,9,41,919,-,3,14,324582
平成31･令和元,2019,2,13210,10,小金井市,Koganei-shi,35,28,1,-,-,6,-,3,15,232,-,1,8,25110
平成31･令和元,2019,2,13211,11,小平市,Kodaira-shi,39,26,2,-,-,11,1,1,20,198,-,1,3,49752
平成31･令和元,2019,2,13212,12,日野市,Hino-shi ,47,30,3,-,-,14,4,3,33,395,-,5,8,57544
平成31･令和元,2019,2,13213,13,東村山市,Higashimurayama-shi,27,18,3,-,-,6,-,1,13,21,-,-,7,14202
平成31･令和元,2019,2,13214,14,国分寺市,Kokubunji-shi,25,17,1,-,-,7,1,-,10,82,-,1,7,10837
平成31･令和元,2019,2,13215,15,国立市,Kunitachi-shi,18,13,-,-,-,5,3,-,11,268,-,-,1,29277
平成31･令和元,2019,2,13218,16,福生市,Fussa-shi,10,6,1,-,-,3,-,-,5,10,-,-,-,3176
平成31･令和元,2019,2,13219,17,狛江市,Komae-shi,19,12,3,-,-,4,2,-,11,161,-,1,3,9162
