"種別大","種別中","種別小","種別細","単価[円]","対象数[人][世帯]","支給総額[円]","備考"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,,,"58人",,"小･中･高生同一単価（１人当たり）"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,"学童服","11400",,"661200","小･中･高生同一単価（１人当たり）"
"生活保護世帯の援護","学童・生徒に対する学童服及び運動衣の購入費（通学用服、小学校１年・中学校１年・高校１年生を除く）",,"運動衣","4100",,"237800","小･中･高生同一単価（１人当たり）"
"生活保護世帯の援護","夏休み中の学童・生徒に対する夏季健全育成費",,,"3300","85人","280500","小･中･高生同一単価（１人当たり）"
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季",,,"1520世帯","7966000",
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","居宅単身世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","居宅複数世帯","7000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","単身入院世帯","3000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","夏季","施設入所世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季",,,"1557世帯","8149000",
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","居宅単身世帯","5000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","居宅複数世帯","7000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","単身入院世帯","3000",,,
"生活保護世帯の援護","居宅世帯に対する見舞金","冬季","施設入所世帯","5000",,,
"生活保護世帯の援護","出産祝品",,,,"0世帯","0","5000円相当の祝品を支給"
"生活保護世帯の援護","修学旅行支度金",,"小学生","4300","0人","0",
"生活保護世帯の援護","修学旅行支度金",,"中学生・高校生","8500","2人","17000",
"生活保護世帯の援護","高校学習支援金・就職支度金",,,"51500","6人","309000",
"その他の援護","原爆被爆者に対する見舞金",,,"12000","73人","876000",

"令和5年度港区行政資料集　法外援護","Ver202303",,,,,,
