,総数,１年以内,３年以内,５年以内,時期は特に決まっていない
病院内で外国語ができるスタッフが対応／n,14,1,0,1,12
病院内で外国語ができるスタッフが対応／%,100,7.1,0,7.1,85.7
医療通訳を院内に配置して対応／n,0,0,0,0,0
医療通訳を院内に配置して対応／%,0,0,0,0,0
医療通訳会社に医療通訳の派遣を依頼して対応／n,1,0,0,0,1
医療通訳会社に医療通訳の派遣を依頼して対応／%,100,0,0,0,100
医療通訳会社に電話またはテレビ電話による通訳を依頼して対応／n,2,1,0,0,1
医療通訳会社に電話またはテレビ電話による通訳を依頼して対応／%,100,50,0,0,50
東京都の電話による救急通訳サービスを利用／n,4,1,0,0,3
東京都の電話による救急通訳サービスを利用／%,100,25,0,0,75
簡易通訳アプリや翻訳ソフトを活用／n,11,0,2,1,8
簡易通訳アプリや翻訳ソフトを活用／%,100,0,18.2,9.1,72.7
日本語ができる友人や家族の付添を依頼／n,8,1,1,0,6
日本語ができる友人や家族の付添を依頼／%,100,12.5,12.5,0,75
診療や検査、受付等における会話集や図などの外国語補助資料を作成し対応／n,4,2,1,0,1
診療や検査、受付等における会話集や図などの外国語補助資料を作成し対応／%,100,50,25,0,25
問診票や同意書等の様式の多言語化／n,5,1,2,0,2
問診票や同意書等の様式の多言語化／%,100,20,40,0,40
院内の表示の多言語化／n,4,1,1,1,1
院内の表示の多言語化／%,100,25,25,25,25
その他／n,0,0,0,0,0
その他／%,0,0,0,0,0
