"収入／科目","収入／収入額(円)","収入／(再掲)介護分(円)","収入／(再掲)後期高齢者支援金等分(円)"
"保険料・税／一般分／医療給付費分","58502402360","",""
"保険料・税／一般分／後期高齢者支援金等分","19261005380","","19261005380"
"保険料・税／一般分／介護納付金分","7775765133","7775765133",""
"保険料・税／一般分／一般被保険者分計","85539172873","7775765133","19261005380"
"保険料・税／退職分／医療給付費分","2191296971","",""
"保険料・税／退職分／後期高齢者支援金等分","724137911","","724137911"
"保険料・税／退職分／介護納付金分","720445113","720445113",""
"保険料・税／退職分／退職被保険者等分計","3635879995","720445113","724137911"
"保険料・税／計","89175052868","8496210246","19985143291"
"国庫支出金／事務費負担金","0","0","0"
"国庫支出金／療給費等負担金","78528382291","7546956701","18792145285"
"国庫支出金／高額医療費共同事業負担金","2492489629","",""
"国庫支出金／特定健康診査等負担金","816774000","",""
"国庫支出金／普通調整交付金","8123573000","1133022000","3264587000"
"国庫支出金／特別調整交付金","1530613000","","0"
"国庫支出金／出産育児一時金","22984000","",""
"国庫支出金／特別対策補助金","0","0","0"
"国庫支出金／計","91514815920","8679978701","22056732285"
"療養給付費等交付金","12243464024","","1742381990"
"前期高齢者交付金","105630040488","",""
"都道府県支出金／高額医療費共同事業負担金","2492489629","",""
"都道府県支出金／特定健康診査等負担金","827117000","",""
"都道府県支出金／第一号都道府県調整交付金","19517053000","1900532000",""
"都道府県支出金／第二号都道府県調整交付金","4366568000","",""
"都道府県支出金／広域化等支援支援基金支出金","0","",""
"都道府県支出金／その他","3412157936","0","0"
"連合会支出金","0","",""
"共同事業交付金／高額医療費共同事業交付金","10110556187","",""
"共同事業交付金／保険財政共同安定化事業交付金","99248682764","",""
"繰入金／一般会計[市町村補助]／保険基盤安定(保険税軽減分)","8578275956","812579130",""
"繰入金／一般会計[市町村補助]／保険基盤安定(保険者支援分)","5541939067","464631216",""
"繰入金／一般会計[市町村補助]／基準超過費用","0","",""
"繰入金／一般会計[市町村補助]／職員給与費等","4244415683","",""
"繰入金／一般会計[市町村補助]／出産育児一時金","1302230941","",""
"繰入金／一般会計[市町村補助]／財政安定化支援事業","134897992","",""
"繰入金／一般会計[市町村補助]／その他","42960785928","",""
"繰入金／直診勘定","0","",""
"その他の収入","1358063699","",""
"小計（単年度収入）","502658607082","20353931293","43784257566"
"基金等繰入金","942213000","",""
"繰越金","5622127101","",""
"市町村債(組合債)","0","",""
"収入合計","509222947183","",""
