"収入／科目","収入／収入額(円)","収入／(再掲)介護分(円)","収入／(再掲)後期高齢者支援金等分(円)"
"保険料・税／一般分／医療給付費分","167713552383","",""
"保険料・税／一般分／後期高齢者支援金等分","52832221021","","52832221021"
"保険料・税／一般分／介護納付金分","21119964082","21119964082",""
"保険料・税／一般分／一般被保険者分計","241665737486","21119964082","52832221021"
"保険料・税／退職分／医療給付費分","4283906711","",""
"保険料・税／退職分／後期高齢者支援金等分","1357192313","","1357192313"
"保険料・税／退職分／介護納付金分","1223173811","1223173811",""
"保険料・税／退職分／退職被保険者等分計","6864272835","1223173811","1357192313"
"保険料・税／計","248530010321","22343137893","54189413334"
"国庫支出金／事務費負担金","0","0","0"
"国庫支出金／療給費等負担金","190264663330","17365154969","42045225894"
"国庫支出金／高額医療費共同事業負担金","6373176117","",""
"国庫支出金／特定健康診査等負担金","1414992000","",""
"国庫支出金／普通調整交付金","12884330000","861541000","4137323000"
"国庫支出金／特別調整交付金","3076386000","","0"
"国庫支出金／出産育児一時金","87544120","",""
"国庫支出金／特別対策補助金","0","0","0"
"国庫支出金／計","214101091567","18226695969","46182548894"
"療養給付費等交付金","17691308419","","1985921837"
"前期高齢者交付金","166285303661","",""
"都道府県支出金／高額医療費共同事業負担金","6373176117","",""
"都道府県支出金／特定健康診査等負担金","1442344000","",""
"都道府県支出金／第一号都道府県調整交付金","45787169000","4185126000",""
"都道府県支出金／第二号都道府県調整交付金","3136581000","",""
"都道府県支出金／広域化等支援支援基金支出金","0","",""
"都道府県支出金／その他","2749037519","0","0"
"連合会支出金","0","",""
"共同事業交付金／高額医療費共同事業交付金","25507869330","",""
"共同事業交付金／保険財政共同安定化事業交付金","241821679453","",""
"繰入金／一般会計[市町村補助]／保険基盤安定(保険税軽減分)","25567715130","2375450910",""
"繰入金／一般会計[市町村補助]／保険基盤安定(保険者支援分)","16102809480","1273148685",""
"繰入金／一般会計[市町村補助]／基準超過費用","0","",""
"繰入金／一般会計[市町村補助]／職員給与費等","15519235688","",""
"繰入金／一般会計[市町村補助]／出産育児一時金","4001216276","",""
"繰入金／一般会計[市町村補助]／財政安定化支援事業","0","",""
"繰入金／一般会計[市町村補助]／その他","73947795403","",""
"繰入金／直診勘定","0","",""
"その他の収入","1170617223","",""
"小計（単年度収入）","1109734959587","48403559457","102357884065"
"基金等繰入金","0","",""
"繰越金","22156494690","",""
"市町村債(組合債)","0","",""
"収入合計","1131891454277","",""
