,総数,整備している,今後整備する予定,今後整備する予定はない,無回答
総数／n,315,85,31,195,4
総数／%,100,27,9.8,61.9,1.3
病床規模別／20～49床／n,40,10,1,28,1
病床規模別／20～49床／%,100,25,2.5,70,2.5
病床規模別／50～99床／n,68,12,7,49,0
病床規模別／50～99床／%,100,17.6,10.3,72.1,0
病床規模別／100～199床／n,87,21,7,58,1
病床規模別／100～199床／%,100,24.1,8,66.7,1.1
病床規模別／200～299床／n,34,7,7,20,0
病床規模別／200～299床／%,100,20.6,20.6,58.8,0
病床規模別／300～499床／n,48,13,4,30,1
病床規模別／300～499床／%,100,27.1,8.3,62.5,2.1
病床規模別／500～999床／n,29,16,3,9,1
病床規模別／500～999床／%,100,55.2,10.3,31,3.4
病床規模別／1000床以上／n,9,6,2,1,0
病床規模別／1000床以上／%,100,66.7,22.2,11.1,0
