項目,内容,回答,回答(％),回答,回答(％),回答,回答(％)
1,予防接種台帳を電子化していますか。（※）,している,している,していない,していない,,
1,予防接種台帳を電子化していますか。（※）,60,96.8,2,3.2,,
2,電子化の予定はありますか。ある場合は時期についても御回答ください。（１で「していない」と答えた場合のみ回答）,ある,ある,ない,ない,,
2,電子化の予定はありますか。ある場合は時期についても御回答ください。（１で「していない」と答えた場合のみ回答）,1,50,1,50,,
3,接種記録の台帳への転記は、接種後どれくらいの時期に行っていますか。回答欄に御記入ください。（管内医療機関で実施した場合）,1か月以内,1か月以内,１か月～2か月後,１か月～2か月後,2か月～半年後,2か月～半年後
3,接種記録の台帳への転記は、接種後どれくらいの時期に行っていますか。回答欄に御記入ください。（管内医療機関で実施した場合）,11,17.7,44,71,7,11.3
4,麻しん・風しん第２期接種について、予防接種台帳を利用した、未接種者への個別通知による再度の接種勧奨を実施していますか。,している,している,していない,していない,,
4,麻しん・風しん第３期接種について、予防接種台帳を利用した、未接種者への個別通知による再度の接種勧奨を実施していますか。,50,80.6,12,19.4,,
5,次年度以降、麻しん・風しん第２期接種について、未接種者への再度の接種勧奨を実施する予定はありますか。（４で「していない」と答えた場合のみ回答）,ある,ある,ない,ない,,
5,次年度以降、麻しん・風しん第２期接種について、未接種者への再度の接種勧奨を実施する予定はありますか。（４で「していない」と答えた場合のみ回答）,6,50,6,50,,
