保険者番号,保険者別,料(税)率／所得割(%),料(税)率／資産割(%),料(税)率／均等割(円),料(税)率／平等割(円),料(税)率／その他,賦課限度額(千円),賦課期日現在／所得割の課税対象額(千円),賦課期日現在／資産割の課税対象額(千円),賦課期日現在／課税対象世帯数(世帯),賦課期日現在／課税対象被保険者数(人),賦課期日現在／軽減世帯数(世帯),賦課期日現在／災害等による減免世帯数(世帯),賦課期日現在／その他の減免世帯数(世帯),賦課期日現在／限度額を超える世帯数(世帯),所得割の算定基礎,資産割の算定基礎,備考
,公営計,62,8,62,11,,,3518178957,132270,2291872,3488183,954557,235,13661,63437,,,
,特別区計,23,,23,,,,2560774786,,1622408,2411760,666566,110,8486,50548,,,
,市町村計,39,8,39,11,,,957404171,132270,669464,1076423,287991,125,5175,12889,,,
,多摩計,30,,30,2,,,949614314,,662777,1065559,284992,125,5172,12854,,,
,島しょ計,9,8,9,9,,,7789857,132270,6687,10864,2999,0,3,35,,,
,組合計,,,,,22,,,,602253,1196437,,432,695,0,,,
1,千代田区,1.98,,10800,,,170,28792343,,8162,11819,2879,0,45,730,イ,,-課税(賦課)標準-
2,中央区,1.98,,10800,,,170,43158615,,21652,30485,8110,0,0,1122,イ,,
3,港区,1.98,,10800,,,170,160625443,,44262,62625,16321,3,217,3108,イ,,所得割の算定基礎
4,新宿区,1.98,,10800,,,170,102062187,,78893,104406,32969,4,293,1744,イ,,
5,文京区,1.98,,10800,,,170,60993120,,33099,47401,11978,2,214,1675,イ,,イ 旧ただし書方式による基礎控除後の金額
6,台東区,1.98,,10800,,,170,57873019,,39957,58724,16702,3,103,1220,イ,,
7,墨田区,1.98,,10800,,,170,57536139,,45751,69234,20538,0,91,948,イ,,
8,江東区,1.98,,10800,,,170,103061035,,78660,120287,34582,15,293,1973,イ,,
9,品川区,1.98,,10800,,,170,96394105,,62013,90269,25214,1,214,1983,イ,,ロ 本文方式による所得控除及び基礎控除後の金額
10,目黒区,1.98,,10800,,,170,106608233,,48311,68956,16984,0,355,2076,イ,,
11,大田区,1.98,,10800,,,170,171530584,,111616,168852,44885,11,692,3499,イ,,
12,世田谷区,1.98,,10800,,,170,294155226,,147223,216575,53205,7,1031,6610,イ,,
13,渋谷区,1.98,,10800,,,170,120157609,,46159,62952,16964,1,374,2837,イ,,
14,中野区,1.98,,10800,,,170,90878035,,66215,90213,26719,10,277,1556,イ,,ハ 市町村民税の所得割額
15,杉並区,1.98,,10800,,,170,162341240,,100149,140732,36646,6,825,3079,イ,,
16,豊島区,1.98,,10800,,,170,84246047,,63297,86039,27389,5,200,1634,イ,,ニ 市町村民税額等
17,北区,1.98,,10800,,,170,67957431,,63238,92956,29594,5,188,1221,イ,,
18,荒川区,1.98,,10800,,,170,47939200,,40731,62453,18381,0,0,834,イ,,ホ その他
19,板橋区,1.98,,10800,,,170,124293322,,96943,145678,42190,1,442,2260,イ,,
20,練馬区,1.98,,10800,,,170,180038501,,115222,178176,46842,10,603,3455,イ,,
21,足立区,1.98,,10800,,,170,154974981,,121914,199468,54265,13,947,2807,イ,,－資産割の算定基礎－
22,葛飾区,1.98,,10800,,,170,98130080,,78325,124670,35031,3,254,1612,イ,,
23,江戸川区,1.98,,10800,,,170,147028291,,110616,178790,48178,10,828,2565,イ,,イ 固定資産税額等
24,八王子市,1.7,,10500,,,160,120728893,,92138,150352,39934,6,664,1812,イ,,ロ 固定資産税のうち土地家屋に係る部分の額
25,立川市,2.14,,10700,,,170,40554005,,28779,45760,12897,1,145,874,イ,,
26,武蔵野市,1.7,,8000,,,140,45391079,,23260,34212,8820,4,206,1100,イ,,
27,三鷹市,1.2,,7900,,,160,53234981,,28438,43619,11098,4,293,553,イ,,
28,青梅市,1.65,,7800,,,170,27307662,,22505,37528,10325,1,121,236,イ,,ハ その他
29,府中市,1.42,,6840,,,140,55376739,,38093,60796,16163,0,292,791,イ,,
30,昭島市,1.9,,11000,,,170,23003308,,18374,29856,8409,0,62,349,イ,,
31,調布市,1.35,,7200,,,160,53487031,,35117,54128,14390,2,367,607,イ,,
32,町田市,1.38,,6800,3000,,170,97659338,,65915,108002,27561,8,809,962,イ,,
33,福生市,1.8,,11000,,,170,12864415,,11569,18049,5549,0,29,154,イ,,
34,羽村市,1.4,,7800,,,170,11824911,,9245,15422,3908,0,44,110,イ,,
35,瑞穂町,1.26,,5800,,,170,9083635,,6050,10904,2645,3,4,61,イ,,
36,あきる野市,1.62,,9000,,,170,17586519,,13428,23433,5773,0,102,171,イ,,
37,日の出町,1.45,,8000,,,170,3630784,,2819,5048,1175,0,28,23,イ,,
39,檜原村,1.3,,8000,,,170,419068,,467,750,249,0,0,1,イ,,
