質問,回答,回答,比率(％)
感染症の知識を得るのに役にたちましたか？,とても役に立った。,35,42
感染症の知識を得るのに役にたちましたか？,役に立った。,45,54
感染症の知識を得るのに役にたちましたか？,あまり役に立たなかった。,3,4
感染症の知識を得るのに役にたちましたか？,まったく役に立たなかった。,1,1
感染症の知識を得るのに役にたちましたか？,計,84,100
選択問題の解説はわかりやすかったですか？,とてもわかりやすかった。,18,21
選択問題の解説はわかりやすかったですか？,わかりやすかった。,39,46
選択問題の解説はわかりやすかったですか？,普通,25,30
選択問題の解説はわかりやすかったですか？,わかりにくかった。,1,1
選択問題の解説はわかりやすかったですか？,とてもわかりにくかった。,1,1
選択問題の解説はわかりやすかったですか？,計,84,100
画面の表示は見やすかったですか？,とても見やすかった。,16,19
画面の表示は見やすかったですか？,見やすかった。,47,56
画面の表示は見やすかったですか？,普通,19,23
画面の表示は見やすかったですか？,見にくかった。,2,2
画面の表示は見やすかったですか？,とても見にくかった。,0,0
画面の表示は見やすかったですか？,計,84,100
