"支出／科目","支出／支出額(円)","支出／(再掲)介護分(円)","支出／(再掲)後期高齢者支援金等分(円)"
"総務費","20978500469","",""
"保険給付費／一般被保険者分／療養給付費","760631045013","",""
"保険給付費／一般被保険者分／療養費","14949775615","",""
"保険給付費／一般被保険者分／小計","775580820628","",""
"保険給付費／一般被保険者分／高額療養費","95422463049","",""
"保険給付費／一般被保険者分／高額介護合算療養費","84236780","",""
"保険給付費／一般被保険者分／移送費","1977585","",""
"保険給付費／一般被保険者分／出産育児諸費","6915981425","",""
"保険給付費／一般被保険者分／葬祭諸費","1051350000","",""
"保険給付費／一般被保険者分／育児諸費","0","",""
"保険給付費／一般被保険者分／その他","1006512189","",""
"保険給付費／一般被保険者分／計","880063341656","",""
"保険給付費／退職分／療養給付費療養費","24384103804","",""
"保険給付費／退職分／高額療養費","3704148954","",""
"保険給付費／退職分／高額介護合算療養費","4360767","",""
"保険給付費／退職分／移送費","58161","",""
"保険給付費／退職分／小計","28092671686","",""
"保険給付費／審査支払手数料","3239838020","",""
"保険給付費／計","911395851362","",""
"後期高齢者支援金等／後期高齢者支援金","193828969158","",""
"後期高齢者支援金等／事務費拠出金","12846021","",""
"後期高齢者支援金等／計","193841815179","","193841815179"
"前期高齢者納行金等／前期高齢者納付金","119676088","",""
"前期高齢者納行金等／事務費拠出金","13213039","",""
"前期高齢者納行金等／計","132889127","",""
"老人保健拠出金／医療費拠出金","12658","",""
"老人保健拠出金事務費拠出金","6704218","",""
"老人保健拠出金計","6716876","",""
"介護納付金","77850348964","77850348964",""
"共同事業拠出金／高額医療費共同事業拠出金","35479611349","",""
"共同事業拠出金／保険財政共同安定化事業拠出金","341134744009","",""
"共同事業拠出金／その他","200190","",""
"保健事業費／特定健康診査等事業費","12591943430","",""
"保健事業費／保健事業費","959813453","",""
"保健事業費／健康管理センター事業費","0","",""
"直診勘定繰出金","263968000","",""
"その他の支出","19227433612","112129944","78796864"
"小計（単年度支出）","1613863836020","77962478908","193920612043"
"単年度収支差引額","-1470269351","-9204988158","-47778470412"
"単年度黒字額（33）","4152013099","",""
"単年度赤字額（29）","5622282450","",""
"基金等積立金","353331701","",""
"前年度繰上充用金","1124767793","",""
"公債費(組合債費)","180749793","",""
"支出合計","1615522685327","",""
"収支状況／黒字額(59)","26234123634","",""
"収支状況／うち次年度への繰越金","25884155085","",""
"収支状況／うち基金等積立金","349968549","",""
"収支状況／赤字額(3)","642407501","",""
"収支状況／収支差引額","25591716133","",""
"基金等保有額","2024631592","",""
"市町村債(組合債)残高","0","",""
