"","支払義務額(円)","支払済額(円)","徴収金等(円)","戻入未済額(円)","未払額(円)"
"保険給付費／療養給付費／計","759463700655","760739014953","1157509910","117804388","0"
"保険給付費／療養給付費／現年度分（再掲）","759463700655","760739014953","1157509910","117804388","0"
"保険給付費／療養費／計","14930998833","14949775615","17988386","788396","0"
"保険給付費／療養費／現年度分（再掲）","14930998833","14949775615","17988386","788396","0"
"保険給付費／高額療養費","95357453913","95422146285","57035027","7657345","0"
"保険給付費／高額介護合算療養費","83967510","84236780","269270","0","0"
"保険給付費／移送費","1977585","1977585","0","0","0"
"保険給付費／その他の保険給付費","8949164230","8973792374","31742441","7185310","14299607"
"後期高齢者支援金","193828969158","193828969158","","","0"
"前期高齢者納付金","119676088","119676088","","","0"
"老人保健医療費拠出金","12658","12658","","","0"
"介護納付金","77850348964","77850348964","","","0"
