"支出／科目","支出／支出額(円)","支出／(再掲)介護分(円)","支出／(再掲)後期高齢者支援金等分(円)"
"総務費","5210799315","",""
"保険給付費／一般被保険者分／療養給付費","242177726087","",""
"保険給付費／一般被保険者分／療養費","3546826107","",""
"保険給付費／一般被保険者分／小計","245724552194","",""
"保険給付費／一般被保険者分／高額療養費","30459508177","",""
"保険給付費／一般被保険者分／高額介護合算療養費","22278253","",""
"保険給付費／一般被保険者分／移送費","583303","",""
"保険給付費／一般被保険者分／出産育児諸費","1834142881","",""
"保険給付費／一般被保険者分／葬祭諸費","273230000","",""
"保険給付費／一般被保険者分／育児諸費","0","",""
"保険給付費／一般被保険者分／その他","375132988","",""
"保険給付費／一般被保険者分／計","278689427796","",""
"保険給付費／退職分／療養給付費療養費","9201458114","",""
"保険給付費／退職分／高額療養費","1406605534","",""
"保険給付費／退職分／高額介護合算療養費","1987760","",""
"保険給付費／退職分／移送費","0","",""
"保険給付費／退職分／小計","10610051408","",""
"保険給付費／審査支払手数料","1089127427","",""
"保険給付費／計","290388606631","",""
"後期高齢者支援金等／後期高齢者支援金","60451716409","",""
"後期高齢者支援金等／事務費拠出金","3990272","",""
"後期高齢者支援金等／計","60455706681","","60455706681"
"前期高齢者納行金等／前期高齢者納付金","37514012","",""
"前期高齢者納行金等／事務費拠出金","4104273","",""
"前期高齢者納行金等／計","41618285","",""
"老人保健拠出金／医療費拠出金","0","",""
"老人保健拠出金事務費拠出金","2052586","",""
"老人保健拠出金計","2052586","",""
"介護納付金","23584239691","23584239691",""
"共同事業拠出金／高額医療費共同事業拠出金","9986906840","",""
"共同事業拠出金／保険財政共同安定化事業拠出金","101296273968","",""
"共同事業拠出金／その他","73063","",""
"保健事業費／特定健康診査等事業費","4397269973","",""
"保健事業費／保健事業費","453447383","",""
"保健事業費／健康管理センター事業費","0","",""
"直診勘定繰出金","263968000","",""
"その他の支出","5384565478","14674833","34866932"
"小計（単年度支出）","501465527894","23598914524","60490573613"
"単年度収支差引額","1193079188","-3244983231","-16706316047"
"単年度黒字額（22）","2434725261","",""
"単年度赤字額（17）","1241646073","",""
"基金等積立金","353331701","",""
"前年度繰上充用金","1124767813","",""
"公債費(組合債費)","180749793","",""
"支出合計","503124377201","",""
"収支状況／黒字額(36)","6740977483","",""
"収支状況／うち次年度への繰越金","6391008934","",""
"収支状況／うち基金等積立金","349968549","",""
"収支状況／赤字額(3)","642407501","",""
"収支状況／収支差引額","6098569982","",""
"基金等保有額","1866526821","",""
"市町村債(組合債)残高","0","",""
