"支出／科目","支出／支出額(円)","支出／(再掲)介護分(円)","支出／(再掲)後期高齢者支援金等分(円)"
"総務費","34309057664","",""
"保険給付費／一般被保険者分／療養給付費","944481345900","",""
"保険給付費／一般被保険者分／療養費","18053739470","",""
"保険給付費／一般被保険者分／小計","962535085370","",""
"保険給付費／一般被保険者分／高額療養費","112733900653","",""
"保険給付費／一般被保険者分／高額介護合算療養費","84377969","",""
"保険給付費／一般被保険者分／移送費","2011236","",""
"保険給付費／一般被保険者分／出産育児諸費","11766729013","",""
"保険給付費／一般被保険者分／葬祭諸費","1224676000","",""
"保険給付費／一般被保険者分／育児諸費","0","",""
"保険給付費／一般被保険者分／その他","6809539498","",""
"保険給付費／一般被保険者分／計","1095156319739","",""
"保険給付費／退職分／療養給付費療養費","24384103804","",""
"保険給付費／退職分／高額療養費","3704148954","",""
"保険給付費／退職分／高額介護合算療養費","4360767","",""
"保険給付費／退職分／移送費","58161","",""
"保険給付費／退職分／小計","28092671686","",""
"保険給付費／審査支払手数料","4318744990","",""
"保険給付費／計","1127567736415","",""
"後期高齢者支援金等／後期高齢者支援金","260729809329","",""
"後期高齢者支援金等／事務費拠出金","17463515","",""
"後期高齢者支援金等／計","260747272844","","260747272844"
"前期高齢者納行金等／前期高齢者納付金","26643668034","",""
"前期高齢者納行金等／事務費拠出金","17962456","",""
"前期高齢者納行金等／計","26661630490","",""
"老人保健拠出金／医療費拠出金","12658","",""
"老人保健拠出金／事務費拠出金","9277507","",""
"老人保健拠出金／計","9290165","",""
"介護納付金","109706321854","109706321854",""
"共同事業拠出金／高額医療費共同事業拠出金","40296887349","",""
"共同事業拠出金／保険財政共同安定化事業拠出金","341134744009","",""
"共同事業拠出金／その他","1965190","",""
"保健事業費／特定健康診査等事業費","14408405559","",""
"保健事業費／保健事業費","7596007544","",""
"保健事業費／健康管理センター事業費","1227838691","",""
"直診勘定繰出金","650167386","",""
"その他の支出","27244329229","115526944","87071664"
"小計（単年度支出）","1991561654389","109821848798","260834344508"
"単年度収支差引額","7745490511","-6955555881","-41973843467"
"単年度黒字額（45）","18654143068","",""
"単年度赤字額（39）","10908652557","",""
"基金等積立金","4105265376","",""
"前年度繰上充用金","1124767813","",""
"公債費(組合債費)","180749793","",""
"支出合計","1996972437371","",""
"収支状況／黒字額(80)","70819233141","",""
"収支状況／うち次年度への繰越金","62020030422","",""
"収支状況／うち基金等積立金","12721767621","",""
"収支状況／赤字額(4)","677483575","",""
"収支状況／収支差引額","70141749566","",""
"基金等保有額","109090136162","",""
"市町村債(組合債)残高","0","",""
