,同性のみ,主に同性,異性と同性同じくらい,小計／同性のみ＋主に同性十異性と同性同じくらい,その他の回答,合計
平成24年／人数,1335,515,121,1971,3176,5147
平成24年／セックスしたことが「ある」に占める割合(％),16,10,2.4,38.3,61.7,100
平成25年／人数,1404,559,136,2099,3247,5346
平成25年／セックスしたことが「ある」に占める割合(％),26.3,10.5,2.5,39.3,60.7,100
平成26年／人数,1462,618,142,2222,3324,5546
平成26年／セックスしたことが「ある」に占める割合(％),26.4,11.1,2.6,40.1,59.9,100
平成27年／人数,1464,571,136,2171,2777,4948
平成27年／セックスしたことが「ある」こ占める割合(％),29.6,11.5,2.7,43.9,56.1,100
平成28年／人数,1438,530,135,2103,2437,4540
平成28年／セックスしたことが「ある」に占める割合(％),31.7,11.7,3,46.3,53.7,100
