担当部署,電話番号,所管区市町村
千代田保健所 医務薬事衛生主査,03-5211-8167,千代田区
中央区保健所 医事薬事係,03-3541-5937,中央区
みなと保健所 医務・薬事係,03-6400-0044,港区
新宿区保健所 環境衛生第1係,03-5273-3845,新宿区
文京保健所 医薬係,03-5803-1226,文京区
台東保健所 医務薬事衛生,03-3847-9416,台東区
墨田区保健所 生活環境係,03-5608-6939,墨田区
江東区保健所 医薬衛生係,03-3647-5815,江東区
品川区保健所 医薬環境衛生担当,03-5742-9137,品川区
目黒区保健所 医薬係,03-5722-9529,目黒区
大田区保健所 医薬担当,03-5764-0692,大田区
世田谷保健所 医事・薬事係,03-5432-2902,世田谷
渋谷区保健所 医薬係,03-3463-2324,渋谷区
中野区保健所 医薬環境衛生担当,03-3382-6663,中野区
杉並区杉並保健所 保健衛生担当,03-3391-1991,杉並区
池袋保健所 医薬担当係,03-3987-4207,豊島区
北区保健所 医薬衛生,03-3919-0727,北区
荒川区保健所 環境衛生係,03-3802-3111,荒川区
板橋区保健所 医務・薬事グループ,03-3579-2332,板橋区
練馬区保健所 医務薬事係,03-5984-1352,練馬区
足立保健所 医薬衛生係,03-3880-5362,足立区
葛飾区保健所 医薬担当係,03-3602-1242,葛飾区
江戸川保健所 薬事衛生係,03-3658-3177,江戸川区
八王子市保健所 医薬指導担当,042-645-5114,八王子市
町田市保健所 保健医療係,042-722-6728,町田市
西多摩保健所 薬事指導担当,0428-22-6141,青梅市／福生市／羽村市／あきる野市／瑞穂町／日の出町／檜原村／奥多摩町
南多摩保健所 薬事指導担当,042-371-7661,日野市／多摩市／稲城市
多摩立川保健所 薬事指導担当,042-524-5171,立川市／昭島市／国分寺市／国立市／東大和市／武蔵村山市
多摩府中保健所 薬事指導担当,042-362-2334,武蔵野市／三鷹市／府中市／調布市／小金井市／狛江市
多摩小平保健所 薬事指導担当,042-450-3111,小平市／東村山市／清瀬市／東久留米市／西東京市
