自治体名／市役所・役場(代表電話）,市町村の子育て支援窓口／名称,市町村の子育て支援窓口／電話番号,市町村の子育て支援窓口／住所,市町村の子育て支援窓口／緯度,市町村の子育て支援窓口／経度,市町村の子育て支援窓口／座標系,東京都／担当する児童相談所／保健所
八王子市／042-626-3111,八王子市子ども家庭支援センター,042-656-8225,八王子市東町5-6クリエイトホール1階,35.658527,139.339554,JGD2011,八王子児童相談所／042-624-1141
八王子市／042-626-3111,保健センター,042-625-9128,八王子市平岡町18-3,35.663715,139.327057,JGD2011,八王子保健所／042-645-5111
八王子市／042-626-3111,西寺方分室,042-625-9128,八王子市西寺方町75-2,35.673256,139.263519,JGD2011,八王子保健所／042-645-5111
八王子市／042-626-3111,南大沢分室,042-625-9128,八王子市南大沢2-17-5,35.611408,139.382706,JGD2011,八王子保健所／042-645-5111
立川市／042-523-2111,立川市子ども家庭支援センター,042-528-6871,立川市曙町2-36-2立川市女性総合センター１階,35.701874,139.414169,JGD2011,立川児童相談所／042-523-1321
立川市／042-523-2111,健康会館,042-527-3272,立川市高松町3-22-9,35.702969,139.419434,JGD2011,多摩立川保健所／042-524-5171
武蔵野市／0422-51-5131,武蔵野市子育てSOS支援センター,0422-55-9002,武蔵野市緑町2-2-28武蔵野市役所3階,35.717346,139.562561,JGD2011,杉並児童相談所／03-5370-6001
武蔵野市／0422-51-5131,保健センター,0422-51-0700,武蔵野市吉祥寺北町4-8-10,35.7131,139.566345,JGD2011,多摩府中保健所／042-362-2334
三鷹市／0422-45-1151,三鷹市子ども家庭支援センター,0422-40-5925,三鷹市下連雀3-30-12三鷹市中央通りタウンプラザ3階,35.698235,139.561203,JGD2011,杉並児童相談所／03-5370-6001
三鷹市／0422-45-1151,総合保健センター,0422-46-3254,三鷹市新川6-35-28,35.683281,139.563385,JGD2011,多摩府中保健所／042-362-2334
青梅市／0428-22-1111,青梅市子ども家庭支援センター,0428-24-2126,青梅市東青梅1-2-5東青梅センタービル3階,35.789589,139.277374,JGD2011,立川児童相談所／042-523-1321
青梅市／0428-22-1111,健康センター,0428-23-2191,青梅市東青梅1-174-1,35.787659,139.272736,JGD2011,西多摩保健所／0428-22-6141
府中市／042-364-4111,府中市子ども家庭支援センター,042-354-8701~2,府中市宮町1-50くるる３階,35.671555,139.480728,JGD2011,多摩児童相談所／042-372-5600
府中市／042-364-4111,保健センター,042-368-5311,府中市府中町2-25,35.675854,139.482697,JGD2011,多摩府中保健所／042-362-2334
昭島市／042-544-5111,昭島市子ども家庭支援センター,042-543-9046,昭島市つつじが丘2-3-21児童センター内,35.712627,139.367706,JGD2011,立川児童相談所／042-523-1321
昭島市／042-544-5111,保健福祉センター「あいぽっく」,042-544-5126,昭島市昭和町4-7-1,35.711014,139.363541,JGD2011,多摩立川保健所／042-524-5171
調布市／0424-81-7111,調布市子ども家庭支援センター,0424-81-7731,調布市国領町3-1-38ココスクエア2階,35.649574,139.558685,JGD2011,多摩児童相談所／042-372-5600
調布市／0424-81-7111,保健センター,0424-41-6100,調布市小島町２-33-１,35.65147,139.541443,JGD2011,多摩府中保健所／042-362-2334
町田市／042-722-3111,町田市子ども家庭支援センター,042-710-1525,町田市森野3-11-16,35.553577,139.435806,JGD2011,八王子児童相談所／042-624-1141
町田市／042-722-3111,健康福祉会館,042-725-5471,町田市原町田5-8-21,35.545822,139.449951,JGD2011,町田保健所／042-722-0621
町田市／042-722-3111,鶴川分館,042-736-1600,町田市大蔵町1981－4,35.588741,139.467377,JGD2011,町田保健所／042-722-0621
小金井市／042-383-1111,小金井市子ども家庭支援センター,042-321-3146,小金井市貫井北町5-18-18保健センター1階,35.702,139.49025,JGD2011,小平児童相談所／0424-67-3711
小金井市／042-383-1111,保健センター,042-321-1240,小金井市貫井北町5-18-18,35.702,139.49025,JGD2011,多摩府中保健所／042-362-2334
小金井市／042-383-1111,福祉会館保健会場,042-383-1188,小金井市中町４-15-14,35.698227,139.507767,JGD2011,多摩府中保健所／042-362-2334
小平市／042-341-1211,小平市子ども家庭支援センター,042-348-2102,小平市小川東町4-2-1,35.73999,139.474518,JGD2011,小平児童相談所／0424-67-3711
小平市／042-341-1211,健康センター,042-346-3700,小平市学園東町１-19-12,35.727299,139.477875,JGD2011,多摩小平保健所／0424-50-3111
日野市／042-585-1111,日野市東部子ども家庭支援センター,042-586-1171,日野市万願寺2-24-7万願寺タウンビル2階,35.672852,139.421036,JGD2011,八王子児童相談所／042-624-1141
日野市／042-585-1111,日野市西部子ども家庭支援センター,042-589-1262,日野市多摩平2-9多摩平の森ふれあい館2階,35.66357,139.381699,JGD2011,八王子児童相談所／042-624-1141
日野市／042-585-1111,生活・保健センター,042-581-4111,日野市日野本町1-6-2,35.675922,139.400253,JGD2011,南多摩保健所／042-371-7661
日野市／042-585-1111,福祉支援センター,042-591-1551,日野市高幡1011,35.662033,139.415909,JGD2011,南多摩保健所／042-371-7661
東村山市／042-393-5111,東村山市子ども家庭支援センター,042-390-2271,東村山市本町1-2-3いきいきプラザ3階,35.75449,139.468414,JGD2011,小平児童相談所／0424-67-3711
東村山市／042-393-5111,保健福祉総合センター「いきいきプラザ」,042-393-5111,東村山市本町1-2-3,35.75449,139.468414,JGD2011,多摩小平保健所／0424-50-3111
国分寺市／042-325-0111,国分寺市子ども家庭支援センター,042-572-3171,国分寺市光町3-13-20,35.708,139.442963,JGD2011,小平児童相談所／0424-67-3711
国分寺市／042-325-0111,ひかり保健センター,042-321-1801,国分寺市光町3-13-20,35.708,139.442963,JGD2011,多摩立川保健所／042-524-5171
国分寺市／042-325-0111,いずみ保健センター,042-321-1801,国分寺市泉町2-3-8,35.696209,139.468216,JGD2011,多摩立川保健所／042-524-5171
国立市／042-576-2111,国立市子ども家庭支援センター,042-573-0965,国立市富士見台3-21-1,35.685879,139.43515,JGD2011,立川児童相談所／042-523-1321
国立市／042-576-2111,保健センター,042-572-6111,国立市富士見台3-16-5,35.686199,139.436752,JGD2011,多摩立川保健所／042-524-5171
西東京市／0424-64-1311,西東京市子ども家庭支援センター,0424-51-0808,西東京市田無町3-7-2コール田無3階,35.729088,139.543457,JGD2011,小平児童相談所／0424-67-3711
西東京市／0424-64-1311,保谷保健福祉総合センター,0424-64-1311,西東京市中町1-5-1,35.741821,139.557983,JGD2011,多摩小平保健所／0424-50-3111
西東京市／0424-64-1311,田無総合福祉センター,0424-66-1670,西東京市田無町5-5-12,35.731819,139.535995,JGD2011,多摩小平保健所／0424-50-3111
西東京市／0424-64-1311,母子保健センター,0424-62-9111,西東京市田無町4-17-14,35.729485,139.535355,JGD2011,多摩小平保健所／0424-50-3111
福生市／042-551-1511,福生市子ども家庭支援センター,042-539-2555,福生市南田園2-13-1福生市福祉センター2階,35.727993,139.332336,JGD2011,立川児童相談所／042-523-1321
福生市／042-551-1511,保健センター,042-552-0061,福生市大字福生2125-3,35.743938,139.332703,JGD2011,西多摩保健所／0428-22-6141
狛江市／03-3430-1111,狛江市子ども家庭支援センター,03-5438-6605,狛江市岩戸南3-15-1,35.629326,139.587936,JGD2011,世田谷児童相談所／03-5477-6301
狛江市／03-3430-1111,保健センター（あいとぴあセンター）,03-3488-1181,狛江市元和泉2-35-１,35.6334,139.567413,JGD2011,多摩府中保健所／042-362-2334
