,件数(件),費用額(円),保険者負担分(円),一部負担金(円),他法負担分(円),被保険者１人当たりの費用額(計)(円),被保険者１人当たりの医療給付額(高額含む)(円)
療養の給付等,69089449,1.29811E+12,9.4281E+11,3.06646E+11,48653170673,,
食事療養・生活療養(再掲),711781,17543425365,11556429129,5809039954,177956282,,
療養費等／食事療養・生活療養,874,,4572149,-4572149,0,,
療養費等／療養費／療養費,47684,870856164,619259698,242331218,9265248,,
療養費等／療養費／補装具,34787,1317869880,964689207,304081025,49099648,,
療養費等／療養費／柔道整復師,2360939,19645808940,14177259164,5052523345,416026431,,
療養費等／療養費／アンマ・マッサージ,65266,2032735443,1501658410,464482844,66594189,,
療養費等／療養費／ハリ・キュウ,76534,1037387138,758301315,250777404,28308419,,
療養費等／療養費／その他,392,8507510,7011539,1369809,126162,,
療養費等／療養費／小計,2585602,24913165075,18028179333,6315565645,569420097,,
療養費等／療養費／海外療養費（再掲）,3954,175886722,124364304,45750906,5771512,,
療養費等／移送費,39,2011236,2011236,0,0,,
計,71675964,1.32302E+12,9.60845E+11,3.12957E+11,49222590770,278592,226042
