"","保険料 保険税の別／(1)科","保険料 保険税の別／(2)科","保険料(税)賊課方式／(1)4方式","保険料(税)賊課方式／(2)3方式","保険料(税)賊課方式／(3)2方式","保険料(税)賊課方式／(4)その他","保険料(税)徴収回数(回)","保険料(税)算定額(千円)","保険料(税)軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賊課限度額額を超える額(千円)","符号／1増","符号／2減","増減額(千円)","保険料(税)調定額(千円)","保険料(税)算定額内訳／所得割(千円)","保険料(税)算定額内訳／所得割(%)","保険料(税)算定額内訳／資産割(千円)","保険料(税)算定額内訳／資産割(%)","保険料(税)算定額内訳／均等割(千円)","保険料(税)算定額内訳／均等割(%)","保険料(税)算定額内訳／平等割(千円)","保険料(税)算定額内訳／平等割(%)","料(税)率／所得割(%)","料(税)率／資産割(%)","料(税)率／均等割(%)","料(税)率／平等割(%)","課税対象額／所得割(千円)","課税対象額／資産割(千円)","課税対象世帯数","保険料(税)軽減世帯数","災害等による減免世帯数","その他の減免世帯数","賦課限度額額を超える世帯数","課税対象被保険者数","賦課限度額(千円)","所得割の算定基礎／(1)課税総所得金額(基礎控除)","所得割の算定基礎／(2)課税総所得金額(各種控除)","所得割の算定基礎／(3)市町村民税の所得割額","所得割の算定基礎／(4)市町村民税額等","所得割の算定基礎／(5)その他","資産割の算定基礎／(1)固定資産税額等","資産割の算定基礎／(2)固定資産税のうち土地家屋に係る部分の額","資産割の算定基礎／(3)その他"
"設定値","22","0","0","0","0","22","","22240108","0","11700","13450","0","11","11","511298","22726256","0","","0","","0","","0","","","","","","0","0","400024","0","271","116","0","580932","","0","0","0","0","0","0","0","0"
　　,11
電気を使用する道具・装置_電熱器_電気恒温器　　　　　　　　　,5
電気を使用する道具・装置_電熱器_電気工業用炉　　　　　　　　,2
電気を使用する道具・装置_電熱器_電気切断器（レーザ等含む）,1
電気を使用する道具・装置_電熱器_熱風機（ホットエアガン）,2
電気を使用する道具・装置_電熱器_電気布団,1
電気を使用する道具・装置_電熱器_電気毛布,3
電気を使用する道具・装置_電熱器_電気治療マット　　　　　　　,1
電気を使用する道具・装置_電熱器_電気接着器　　　　　　　　　,1
電気を使用する道具・装置_電熱器_ホットプレート,3
電気を使用する道具・装置_電熱器_ハロゲンヒータ（厨房器具）,2
電気を使用する道具・装置_電熱器_小型電気炉　　　　　　　　　,1
電気を使用する道具・装置_電熱器_半田ごて　　　　　　　　　　,1
電気を使用する道具・装置_電熱器_電気温水循環器　　　　　　　,1
電気を使用する道具・装置_電熱器_マントルヒータ　　　　　　,1
電気を使用する道具・装置_電熱器_吸入器　　　　　　　　　　　,1
電気を使用する道具・装置_電熱器_電気パン焼器,1
電気を使用する道具・装置_電気機器,638
電気を使用する道具・装置_電気機器_電気冷蔵庫　　　　　　　　　,8
電気を使用する道具・装置_電気機器_電磁調理器　　　　　　　　　,36
電気を使用する道具・装置_電気機器_電子レンジ　　　　　　　　　,65
電気を使用する道具・装置_電気機器_換気扇　　　　　　　　　　　,5
電気を使用する道具・装置_電気機器_冷凍庫　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_冷蔵ショーケース　　　　　　,6
電気を使用する道具・装置_電気機器_冷凍ショーケース　　　　　　,1
電気を使用する道具・装置_電気機器_冷凍機　　　　　　　　　　　,3
