保険者番号,保険者別,平成27年度保険料月額／医療分／組合員／事業主(円),平成27年度保険料月額／医療分／組合員／従業員(円),平成27年度保険料月額／医療分／家族(円),平成27年度保険料月額／後期高齢者支援金分(円),平成27年度保険料月額／介護分(円),平成27年度保険料月額／後期高齢者組合員分(円)
303,全国土木,第一種 基準報酬月額及び基準賞与額に対し組合員負担 31/1000 事業主負担 41/1000の額／第二種 賃金日額の等級別 組合員負担 1900～15400 事業主負担 2500～20300,第一種 基準報酬月額及び基準賞与額に対し組合員負担 31/1000 事業主負担 41/1000の額／第二種 賃金日額の等級別 組合員負担 1900～15400 事業主負担 2500～20300,0,第一種 基準報酬月額及び基準賞与額に対し組合員負担 8/1000 事業主負担 11/1000の額／第二種 賃金日額の等級別 組合員負担 500～4000 事業主負担 700～5500,第一種 基準報酬月額及び基準賞与額に対し組合員負担 6.5/1000 事業主負担 6.5/1000の額／第二種 賃金日額の等級別 組合員負担 400～3200 事業主負担 400～3200,第一種 組合員負担4050 事業主負担5250／第二種 組合員負担4050 事業主負担5250
304,東京理容,12700,7400(理容学生4900),4900,1900,2700,1000
306,東京芸能人,所得割 基礎控除後の総所得金額×0.44/100／[所得割最高限度額　月額28000]／[所得割最低限度額　月額1000]／均等割 3000　世帯別平等割1500,所得割 基礎控除後の総所得金額×0.44/100 [所得割最高限度額　月額28000] [所得割最低限度額　月額1000]／均等割 3000　世帯別平等割1500,3000,所得割 基礎控除後の総所得金額×0.12/100 [所得割最高限度額　月額5000] [所得割最低限度額　月額400]／均等割 1500,所得割 基礎控除後の総所得金額×0.08/100 [所得割最高限度額　月額4100] [所得割最低限度額　月額400]／均等割 1500,1500
307,文芸美術,13800,13800,5600,3100,3600,1000
309,料理飲食,19600,9500,5000,2000,3300,500
311,東京技芸,17200,9400,(賦課期日現在年齢区分)／65歳以上7700／15歳以下5300／その他6500,3000,3200,600
313,食品販売,16300,7700,3800,2600,3100,300
314,東京美容,18000,11500,7500,3500,3000,500
315,自転車商,15700,9300,6500／(5人目以上2000),2800,3000,1000
316,青果卸売,31700,17800,3400,2700,3200,
317,東京浴場,24000,7000,7000,3000,3500,500
318,写真材料,16300,12300,4300,2400,2400,500
319,東京弁護士,14900,14900,5900,3100,3500,
320,東京薬剤師,20300,15100,8900,3400,4000,1500
322,東京都医師,20500,10500,6500,3500,4000,1000
323,左官タイル,11900,9800,3000／6人目以降賦課せず,事業主 3300／従業員 2700／家族 800,2400,
324,建設職能,(毎年4月1日現在の年齢で区分) 法人事業主 個人事業主 従業員 20歳未満 5000( 7000) 5000( 7000) 5000( 7000) 20～24歳 8500(10500) 8500(10500) 8000(10000) 25～29歳 11000(13000) 11000(13000) 10500(12500) 30～34歳 16500(18500) 16500(18500) 14000(16000) 35～44歳 19000(21000) 18500(20500) 15000(17000) 45～54歳 23100(25100) 21100(23100) 16000(18000) 55～64歳 24000(26000) 21500(23500) 16000(18000) 65歳以上 24000(26000) 21500(23500) 16000(18000),(毎年4月1日現在の年齢で区分) 法人事業主 個人事業主 従業員 20歳未満 5000( 7000) 5000( 7000) 5000( 7000) 20～24歳 8500(10500) 8500(10500) 8000(10000) 25～29歳 11000(13000) 11000(13000) 10500(12500) 30～34歳 16500(18500) 16500(18500) 14000(16000) 35～44歳 19000(21000) 18500(20500) 15000(17000) 45～54歳 23100(25100) 21100(23100) 16000(18000) 55～64歳 24000(26000) 21500(23500) 16000(18000) 65歳以上 24000(26000) 21500(23500) 16000(18000),(毎年4月1日現在の年齢で区分)／男性25～59歳 8900(9400)／上記以外 3700(4200)／5人目以降賦課せず,(毎年4月1日現在の年齢で区分)／30歳以上 5000／25～29歳 3500／20～24歳 2000／20歳未満 1500／家族 1100,3000,1000
