保険者番号,保険者別,賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／計(千円),保険料（税）軽減額(千円),災害等による減免額(千円),その他の減免額(千円),賦課限度額を超える額(千円),増減額(千円),調定額(千円)
,公営計,2084931,67.58,347,0.01,991371,32.13,8622,0.28,3085271,202501,162,1969,429281,-415839,2035519
,特別区計,1416277,69.13,,,632525,30.87,,,2048802,135766,152,1951,330447,-251296,1329190
,市町村計,668654,64.52,347,0.03,358846,34.62,8622,0.83,1036469,66735,10,18,98834,-164543,706329
,多摩計,666980,64.62,,,357447,34.64,7590,0.74,1032017,66311,10,18,98834,-163433,703411
,島しょ計,1674,37.61,347,7.79,1399,31.42,1032,23.18,4452,424,0,0,0,-1110,2918
1,千代田区,6316,75.48,,,2052,24.52,,,8368,383,0,0,1579,-426,5980
2,中央区,15567,73.64,,,5573,26.36,,,21140,1243,0,160,2553,-1413,15771
3,港区,52692,81.37,,,12064,18.63,,,64756,2417,0,0,25843,-5226,31270
4,新宿区,43001,71.04,,,17528,28.96,,,60529,3879,73,6,9137,-9165,38269
5,文京区,62149,78.13,,,17399,21.87,,,79548,2995,42,0,28240,-10543,37728
6,台東区,21340,63.74,,,12139,36.26,,,33479,2931,3,0,2138,-3992,24415
7,墨田区,39166,60.79,,,25261,39.21,,,64427,5481,0,0,3222,-8692,47032
8,江東区,67703,62.13,,,41267,37.87,,,108970,9136,0,1758,8131,-12561,77384
9,品川区,50419,65.44,,,26622,34.56,,,77041,6016,0,0,9107,-11382,50536
10,目黒区,57567,74.56,,,19645,25.44,,,77212,3534,0,5,9919,-17606,46148
11,大田区,94113,65.5,,,49572,34.5,,,143685,11062,0,0,12583,-16995,103045
12,世田谷区,188263,75.55,,,60923,24.45,,,249186,10750,0,0,68633,-25213,144590
13,渋谷区,39352,72.81,,,14699,27.19,,,54051,2723,0,0,6118,-7638,37572
14,中野区,46239,75.24,,,15217,24.76,,,61456,3402,5,0,3910,-14176,39963
15,杉並区,74488,73.5,,,26860,26.5,,,101348,5774,0,0,15044,-994,79536
16,豊島区,37962,67.12,,,18598,32.88,,,56560,3910,0,0,5610,-8054,38986
17,北区,42166,61.3,,,26622,38.7,,,68788,6861,0,0,4805,-9555,47567
18,荒川区,22169,63.95,,,12496,36.05,,,34665,3011,0,0,2302,-5541,23811
19,板橋区,74110,64.9,,,40079,35.1,,,114189,9729,0,0,15533,-12546,76381
20,練馬区,96974,71.85,,,37984,28.15,,,134958,8496,0,0,36349,-11348,78765
21,足立区,101068,64.9,,,54659,35.01,,,155727,12078,29,22,14523,-26691,102384
22,葛飾区,96120,67.54,,,46202,32.46,,,142322,10106,0,0,31640,-14045,86531
23,江戸川区,87333,64.03,,,49064,35.97,,,136397,9849,0,0,13528,-17494,95526
24,八王子市,103707,60.19,,,68586,39.81,,,172293,11942,0,0,11477,-24861,124013
25,立川市,30366,65.6,,,15922,34.4,,,46288,3174,0,0,3543,-5516,34055
26,武蔵野市,12842,75.04,,,4272,24.96,,,17114,723,0,0,3658,-2184,10549
27,三鷹市,19511,62.82,,,11550,37.18,,,31061,2227,0,0,3025,-3735,22074
28,青梅市,23220,64.58,,,12737,35.42,,,35957,2431,0,1,1723,-5188,26614
