保険者番号,保険者別,税・料別,賦課算定方式,徴収回数(回),賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／計(千円),保険料（税）軽減額(千円),災害等による減免額(千円),その他の減免額(千円),賦課限度額を超える額(千円),増減額(千円),調定額(千円)
,公営計,,,,24173516,57.88,5894,0.01,17434580,41.75,149591,0.36,41763581,3444601,1873,29362,5216724,-838613,32232408
,特別区計,,,,17834630,57.65,,,13098980,42.35,,,30933610,2550326,1062,12303,4063289,-557925,23748705
,市町村計,,,,6338886,58.54,5894,0.05,4335600,40.03,149591,1.38,10829971,894275,811,17059,1153435,-280688,8483703
,多摩計,,,,6294824,58.67,,,4301828,40.09,132854,1.24,10729506,884168,811,17059,1150604,-279077,8397787
,島しょ計,,,,44062,43.85,5894,5.87,33772,33.62,16737,16.66,100465,10107,0,0,2831,-1611,85916
,組合計,,,,,,,,,,,,22240108,,11700,13450,0,511298,22726256
1,千代田区,料,2方式,10,93051,57.79,,,67973,42.21,,,161024,11554,0,0,26497,-2514,120459
2,中央区,料,2方式,10,217468,54.55,,,181207,45.45,,,398675,34993,0,77,56562,8881,315924
3,港区,料,2方式,10,858836,69.84,,,370866,30.16,,,1229702,71830,4,12,444994,-9551,703311
4,新宿区,料,2方式,10,613745,54.83,,,505518,45.17,,,1119263,100357,61,43,159311,36347,895838
5,文京区,料,2方式,9,372221,58.5,,,264071,41.5,,,636292,44632,46,12,86929,-15846,488827
6,台東区,料,2方式,10,458395,58.07,,,330985,41.93,,,789380,64631,32,4,83748,-9790,631175
7,墨田区,料,2方式,10,481020,55.37,,,387698,44.63,,,868718,82513,0,12,84456,-22355,679382
8,江東区,料,2方式,10,720822,52.4,,,654665,47.6,,,1375487,133848,155,10281,80287,-23909,1127007
9,品川区,料,2方式,10,623330,55.43,,,501270,44.57,,,1124600,98881,0,0,114731,-21485,889503
10,目黒区,料,2方式,10,640284,62.69,,,381112,37.31,,,1021396,71335,0,54,216424,-31818,701765
11,大田区,料,2方式,10,1071078,53.57,,,928452,46.43,,,1999530,175134,38,70,164598,-39700,1619990
12,世田谷区,料,2方式,9,2200796,64.53,,,1209545,35.47,,,3410341,219367,0,0,692000,-43931,2455043
13,渋谷区,料,2方式,10,656718,64.4,,,363046,35.6,,,1019764,71260,65,131,244126,-21848,682334
14,中野区,料,2方式,10,646435,57.06,,,486423,42.94,,,1132858,97024,106,0,140395,-20936,874397
15,杉並区,料,2方式,10,1118444,59.06,,,775322,40.94,,,1893766,141152,109,224,255186,-70182,1426913
16,豊島区,料,2方式,10,606417,58.61,,,428285,41.39,,,1034702,85425,5,3,155906,-17734,775629
17,北区,料,2方式,10,496981,50.98,,,477897,49.02,,,974878,106108,33,1,71126,6753,804363
18,荒川区,料,2方式,10,390923,54.08,,,331926,45.92,,,722849,68404,0,0,45897,-30496,578052
19,板橋区,料,2方式,10,948551,55.39,,,763871,44.61,,,1712422,154682,0,432,148690,-36139,1372479
20,練馬区,料,2方式,10,1298149,57.47,,,960748,42.53,,,2258897,183446,164,16,287124,-40242,1747905
21,足立区,料,2方式,10,1314362,54.66,,,1090108,45.34,,,2404470,214207,202,886,182597,-50180,1956398
22,葛飾区,料,2方式,10,900043,56.63,,,689342,43.37,,,1589385,138530,4,17,152443,-38371,1260020
23,江戸川区,料,2方式,10,1106561,53.84,,,948650,46.16,,,2055211,181013,38,28,169262,-62879,1641991
24,八王子市,税,2方式,9,845121,59.87,,,566555,40.13,,,1411676,113915,45,1,127055,-36081,1134579
25,立川市,料,2方式,9,283099,55.32,,,228674,44.68,,,511773,47796,0,110,45034,-14573,404260
26,武蔵野市,税,2方式,8,293024,67.1,,,143697,32.9,,,436721,27100,122,13,90601,-13411,305474
27,三鷹市,税,2方式,8,357441,63.76,,,203125,36.24,,,560566,38799,96,217,109243,-7123,405088
28,青梅市,税,2方式,8,201420,62.28,,,121988,37.72,,,323408,24944,3,9,23846,-8739,265867
29,府中市,税,2方式,9,396106,65.93,,,204721,34.07,,,600827,40826,0,213,76870,-9965,472953
30,昭島市,税,2方式,8,163514,52.28,,,149240,47.72,,,312754,32061,0,0,21405,-8415,250873
31,調布市,税,2方式,8,340954,64.46,,,188018,35.54,,,528972,37247,3,201,68079,-9725,413717
32,町田市,税,3方式,8,524747,56.56,,,311455,33.57,91611,9.87,927813,78621,180,17,91421,-22610,734964
33,福生市,税,2方式,8,80734,53.16,,,71148,46.84,,,151882,15766,0,0,7347,-4689,124080
34,羽村市,税,2方式,8,69142,53.82,,,59323,46.18,,,128465,11058,0,0,8237,-3947,105223
35,瑞穂町,税,2方式,8,58524,55.92,,,46136,44.08,,,104660,8494,18,38,6234,-3387,86489
36,あきる野市,税,2方式,8,114027,54.69,,,94476,45.31,,,208503,18450,0,15461,7346,10005,177251
37,日の出町,税,2方式,8,17518,51.9,,,16233,48.1,,,33751,3088,0,0,872,-686,29105
39,檜原村,税,2方式,8,2631,43.71,,,3388,56.29,,,6019,783,0,0,106,62,5192
