"収入／科目","収入／収入額(円)","収入／(再掲)介護分(円)","収入／(再掲)後期高齢者支援金等分(円)"
"保険料・税／一般分／医療給付費分","180466357020","",""
"保険料・税／一般分／後期高齢者支援金等分","48670194643","","48670194643"
"保険料・税／一般分／介護納付金分","22726153444","22726153444",""
"保険料・税／一般分／一般被保険者分計","251862705107","",""
"保険料・税／退職分／医療給付費分","0","",""
"保険料・税／退職分／後期高齢者支援金等分","0","","0"
"保険料・税／退職分／介護納付金分","0","0",""
"保険料・税／退職分／退職被保険者等分計","0","0","0"
"保険料・税／計","251862705107","22726153444","48670194643"
"国庫支出金／事務費負担金","906178580","29494415","0"
"国庫支出金／療給費等負担金","117549060962","11353154308","24048164767"
"国庫支出金／高額医療費共同事業負担金","933155000","",""
"国庫支出金／特定健康診査等負担金","247291000","",""
"国庫支出金／普通調整交付金","0","0","0"
"国庫支出金／特別調整交付金","0","","0"
"国庫支出金／出産育児一時金","1379185000","",""
"国庫支出金／特別対策補助金","0","0","0"
"国庫支出金／計","121014870542","11382648723","24048164767"
"療養給付費等交付金","0","","0"
"前期高齢者交付金","1717215411","",""
"都道府県支出金／高額医療費共同事業負担金","0","",""
"都道府県支出金／特定健康診査等負担金","115123000","",""
"都道府県支出金／第一号都道府県調整交付金","0","0",""
"都道府県支出金／第二号都道府県調整交付金","0","",""
"都道府県支出金／広域化等支援支援基金支出金","0","",""
"都道府県支出金／その他","5368209545","0","0"
"連合会支出金","0","",""
"共同事業交付金／高額医療費共同事業交付金","4643111000","",""
"共同事業交付金／保険財政共同安定化事業交付金","0","",""
"繰入金／一般会計[市町村補助]／保険基盤安定(保険税軽減分)","0","0",""
"繰入金／一般会計[市町村補助]／保険基盤安定(保険者支援分)","0","0",""
"繰入金／一般会計[市町村補助]／基準超過費用","0","",""
"繰入金／一般会計[市町村補助]／職員給与費等","0","",""
"繰入金／一般会計[市町村補助]／出産育児一時金","0","",""
"繰入金／一般会計[市町村補助]／財政安定化支援事業","0","",""
"繰入金／一般会計[市町村補助]／その他","0","",""
"繰入金／直診勘定","0","",""
"その他の収入","2192343626","",""
"小計（単年度収入）","386913578231","34108802167","72718359410"
"基金等繰入金","4984489692","",""
"繰越金","34101717554","",""
"市町村債(組合債)","0","",""
"収入合計","425999785477","",""
