地区,薬事担当部署の名称,所在地,緯度,経度,座標系,電話番号
千代田区,千代田保健所生活衛生課医務薬事係,〒102-0073 九段北1-2-14,35.696075,139.752243,JGD2011,03-5211-8167
中央区,中央区保健所生活衛生課医事薬事係,〒104-0044 明石町12-1,35.666866,139.776306,JGD2011,03-3541-5937
港区,みなと保健所生活衛生課医務・薬事係,〒108-8315 三田1-4-10,35.653156,139.742737,JGD2011,03-6400-0044
新宿区,新宿区保健所衛生課医薬衛生係,〒160-0022 新宿5-18-21,35.693802,139.706436,JGD2011,03-5273-3845
文京区,文京保健所生活衛生課医薬係,〒112-8555 春日1－16－21 （シビックセンター8階南側）,35.708336,139.752411,JGD2011,03-5803-1226
台東区,台東保健所生活衛生課医務薬事衛生担当,〒110-0015 東上野4-22-8,35.714512,139.781723,JGD2011,03-3847-9416
墨田区,墨田区保健所生活衛生課生活環境係,〒130-8640 吾妻橋1-23-20,35.710602,139.801895,JGD2011,03-5608-6939
江東区,江東区保健所生活衛生課医薬衛生係,〒135-0016 東陽2-1-1,35.665688,139.813797,JGD2011,03-3647-5815
品川区,品川区保健所生活衛生課医薬環境衛生担当,〒140-8715 広町2-1-36,35.608299,139.730957,JGD2011,03-5742-9137
目黒区,目黒区保健所生活衛生課医薬係,〒153-8573 上目黒2-19-15（目黒区総合庁舎3階）,35.640465,139.6987,JGD2011,03-5722-9529
大田区,大田区保健所生活衛生課医薬担当,〒143-0015 大森西1-12-1（大森地域庁舎　6階）,35.578598,139.722992,JGD2011,03-5764-0692
世田谷区,世田谷保健所生活保健課医事・薬事係,〒154-8504 世田谷4-22-35,35.646118,139.652161,JGD2011,03-5432-2902
渋谷区,渋谷区保健所生活衛生課医事・薬事係,〒150-8010 宇田川町1-1　7階,35.663475,139.697189,JGD2011,03-3463-2324
中野区,中野区保健所生活衛生課医薬環境衛生係,〒164-0001 中野2-17-4,35.70274,139.66925,JGD2011,03-3382-6663
杉並区,杉並保健所生活衛生課保健衛生担当,〒167-0051 荻窪5-20-1,35.701988,139.620255,JGD2011,03-3391-1991
豊島区,池袋保健所生活衛生課医務・薬事グループ,〒170-0013 東池袋4-42-16,35.727962,139.720795,JGD2011,03-3987-4207
北区,北区保健所生活衛生課医薬衛生,〒114-0001 東十条2-7-3,35.763081,139.730316,JGD2011,03-3919-0727
荒川区,荒川区保健所生活衛生課環境衛生係,〒116-8502 荒川2-11-1,35.736961,139.783173,JGD2011,03-3802-3111
板橋区,板橋区保健所生活衛生課医務・薬事グループ,〒173-0014 大山東町32-15,35.750546,139.708221,JGD2011,03-3579-2124
練馬区,練馬区保健所生活衛生課医務薬事係,〒176-8501 豊玉北6-12-1（練馬区役所東庁舎6階）,35.744373,139.653809,JGD2011,03-5984-1352
足立区,足立保健所生活衛生課医薬衛生係,〒120-0011 中央本町1-5-3,35.771118,139.803574,JGD2011,03-3880-5362
葛飾区,葛飾区保健所生活衛生課医薬担当係,〒125-0062 青戸4-15-14,35.751595,139.850891,JGD2011,03-3602-1242
江戸川区,江戸川保健所生活衛生課薬事衛生係,〒133-0052 東小岩3-23-3（小岩健康サポートセンター内）,35.733902,139.893646,JGD2011,03-3658-3177
