,総数,英語,中国語（簡体）,台湾語（繁体）,韓国語,その他,対応はしていない,無回答
(1)院内の案内表示／n,85,26,8,0,4,2,49,6
(1)院内の案内表示／%,,30.6,9.4,0,4.7,2.4,57.6,7.1
(2)病院ホームページ／n,85,25,11,1,5,5,54,4
(2)病院ホームページ／%,,29.4,12.9,1.2,5.9,5.9,63.5,4.7
(3)電話（問合せ・予約）対応／n,85,23,11,0,3,7,53,5
(3)電話（問合せ・予約）対応／%,,27.1,12.9,0,3.5,8.2,62.4,5.9
(4)問診票・同意書等の記入様式／n,85,26,6,0,3,4,49,7
(4)問診票・同意書等の記入様式／%,,30.6,7.1,0,3.5,4.7,57.6,8.2
(5)問診票・同意書等の記入様式に関する説明資料／n,85,18,3,0,0,3,57,8
(5)問診票・同意書等の記入様式に関する説明資料／%,,21.2,3.5,0,0,3.5,67.1,9.4
(6)診断書の発行／n,85,51,2,0,2,6,25,5
(6)診断書の発行／%,,60,2.4,0,2.4,7.1,29.4,5.9
(7)その他対応／n,85,8,3,0,3,4,21,54
(7)その他対応／%,,9.4,3.5,0,3.5,4.7,24.7,63.5
