問合せ内容,問合せ先,電話
誤って家庭用品を飲んでしまった場合（タバコ、家庭用品などの急性中毒）,公益財団法人日本中毒情報センター大阪中毒110番,072-727-2499
商品やサービス等の苦情や問合せ,東京都消費生活総合センター,03-3235-1155
有害物質を含んだ家庭用品の問合せ,各区保健所等、八王子市保健所、町田市保健所、東京都保健所,
ネズミ・生活害虫の駆除を依頼したいとき,公益社団法人東京都ペストコントロール協会,03-3254-0014
浄化槽の相談／23区・八王子市・町田市,区、八王子市、町田市の浄化槽担当部署,
浄化槽の相談／多摩地域（八王子市及び町田市を除く）,東京都多摩環境事務所廃棄物対策課,042-528-2692
浄化槽の相談／島しょ地域,東京都環境局資源循環推進部一般廃棄物対策課,03-5388-3583
ゴミ・リサイクルに関する問合せ,区市町村の清掃・リサイクル担当部署,
騒音・振動・悪臭の相談,区市町村の公害担当窓口,
住宅の工事（新築・リフォーム）、住宅の購入、マンションの建替え等に関する相談,公益財団法人住宅リフォーム・紛争処理支援センター（住まいるダイヤル）,0570-016-100
飲み水の水質検査を依頼したいとき／直結方式で水道水に異常をみとめたとき,東京都水道局お客様センター（23区）／東京都水道局多摩お客様センター／市町村の水道担当部署,03-5326-1101／0570-091-101
飲み水の水質検査を依頼したいとき／その他、貯水槽式給水方式や井戸水などの施設で水質検査を実施したいとき,「建築物の衛生的環境の確保に関する法律」に基づく水質検査機関などがあります。※詳しくは保健所にお問合せください。,
漏水等の緊急時に給水配管等の工事を依頼したいときの相談,東京都水道局お客様センター（23区）／東京都水道局多摩お客様センター／市町村の水道担当部署,03-5326-1101／0570-091-101
