項目,内容,料金(円)
胸部Ｘ線撮影,ＣＲ（デジタル）,1680
尿検査,尿定性試験（糖・タンパク・ウロビリノーゲン・潜血）,200
生理検査,心電図検査,1040
生理検査,聴力検査／オージオメーター,880
生理検査,聴力検査／会話法,320
貧血検査,末しょう血液一般検査,160
生化学検査（血液検査）,AST(GOT),130
生化学検査（血液検査）,ALT(GPT),130
生化学検査（血液検査）,γ-GT（γ-GTP）,80
生化学検査（血液検査）,LDL-コレステロール,140
生化学検査（血液検査）,HDL-コレステロール,130
生化学検査（血液検査）,中性脂肪（トリグリセライド）,80
生化学検査（血液検査）,血糖（Ｇｌｕ）,80
生化学検査（血液検査）,尿酸（ＵＡ）,80
生化学検査（血液検査）,尿素窒素（ＢＵＮ）,80
生化学検査（血液検査）,総たんぱく（ＴＰ）,80
生化学検査（血液検査）,クレアチニン（Ｃｒ）,80
ふん便検査,細菌培養（赤痢・チフス・パラチフス・その他サルモネラ）,480
ふん便検査,細菌培養（O-157）,480
肝炎ウイルス検査,Ｂ型肝炎  HBs抗原（精密測定検査）,700
肝炎ウイルス検査,Ｃ型肝炎  HCV抗体価（定性・定量）,860
エイズ検査,HIV-1・2抗体検査（免疫血清）,無料
水質検査,飲料水（一般細菌・大腸菌）,8100
診断書発行,持参診断書、健康診断書,1500
