区名,名称,電話番号
千代田区,千代田保健所,03-5211-8167
中央区,中央区保健所,03-3541-5937
港区,みなと保健所,03-6400-0044
新宿区,新宿区保健所,03-5273-3845
文京区,文京保健所,03-5803-1226
台東区,台東保健所,03-3847-9416
墨田区,墨田区保健所,03-5608-6939
江東区,江東区保健所,03-3647-5815
品川区,品川区保健所,03-5742-9137
目黒区,目黒区保健所,03-5722-9529
大田区,大田区保健所,03-5764-0692
世田谷区,世田谷保健所,03-5432-2902
渋谷区,渋谷区保健所,03-3463-2324
中野区,中野区保健所,03-3382-6663
杉並区,杉並保健所,03-3391-1991
豊島区,池袋保健所,03-3987-4207
北区,北区保健所,03-3919-0727
荒川区,荒川区保健所,03-3802-3111
板橋区,板橋区保健所,03-3579-2124
練馬区,練馬区保健所,03-5984-1352
足立区,足立保健所,03-3880-5362
葛飾区,葛飾区保健所,03-3602-1242
江戸川区,江戸川保健所,03-3658-3177
