保険者番号,保険者別,賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円),賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%),賦課期日現在の保険料（税）算定額及びその構成割合／計(千円),保険料（税）軽減額(千円),災害等による減免額(千円),その他の減免額(千円),賦課限度額を超える額(千円),増減額(千円),調定額(千円)
,公営計,6679312,68.69,37846,0.39,2917592,30.01,88796,0.91,9723546,612246,529,6414,1419238,-1318327,6366792
,特別区計,4613631,69.91,,,1985422,30.09,,,6599053,426148,489,6353,1112868,-813327,4239868
,市町村計,2065681,66.12,37846,1.21,932170,29.83,88796,2.84,3124493,186098,40,61,306370,-505000,2126924
,多摩計,2059020,66.22,36272,1.17,928354,29.86,85409,2.75,3109055,184876,40,61,306370,-501811,2115897
,島しょ計,6661,43.14,1574,10.2,3816,24.72,3387,21.94,15438,1222,0,0,0,-3189,11027
1,千代田区,20573,76.16,,,6441,23.84,,,27014,1203,0,0,5419,-1384,19008
2,中央区,50712,74.35,,,17492,25.65,,,68204,3902,0,520,8821,-4692,50269
3,港区,171650,81.93,,,37866,18.07,,,209516,7587,0,0,86203,-16588,99138
4,新宿区,140078,71.8,,,55020,28.2,,,195098,12177,235,19,30944,-29838,121885
5,文京区,202455,78.76,,,54613,21.24,,,257068,9400,134,0,93110,-34106,120318
6,台東区,69516,64.59,,,38104,35.41,,,107620,9200,10,0,7626,-12742,78042
7,墨田区,127585,61.67,,,79292,38.33,,,206877,17204,0,0,11304,-27947,150422
8,江東区,220546,63,,,129532,37,,,350078,28676,0,5729,27658,-40547,247468
9,品川区,164245,66.28,,,83564,33.72,,,247809,18882,0,0,30939,-36403,161585
10,目黒区,187528,75.25,,,61664,24.75,,,249192,11092,0,14,33222,-57821,147043
11,大田区,306580,66.33,,,155601,33.67,,,462181,34724,0,0,43424,-54941,329092
12,世田谷区,613283,76.23,,,191230,23.77,,,804513,33744,0,0,230177,-80659,459933
13,渋谷区,128193,73.53,,,46138,26.47,,,174331,8546,0,1,21661,-24823,119300
14,中野区,150629,75.92,,,47765,24.08,,,198394,10679,17,0,13282,-47023,127393
15,杉並区,242649,74.21,,,84309,25.79,,,326958,18123,0,0,51732,-3827,253276
16,豊島区,123664,67.93,,,58376,32.07,,,182040,12272,0,0,19527,-25821,124420
17,北区,137360,62.18,,,83564,37.82,,,220924,21537,0,0,16472,-31021,151894
18,荒川区,72217,64.8,,,39222,35.2,,,111439,9451,0,0,7878,-17990,76120
19,板橋区,241418,65.74,,,125803,34.26,,,367221,30537,0,0,52508,-40574,243602
20,練馬区,315902,72.6,,,119226,27.4,,,435128,26669,0,0,120897,-36674,250888
21,足立区,329235,65.74,,,171568,34.26,,,500803,37910,93,70,48928,-86566,327236
22,葛飾区,313118,68.35,,,145024,31.65,,,458142,31720,0,0,104724,-45353,276345
23,江戸川区,284495,64.88,,,154008,35.12,,,438503,30913,0,0,46412,-55987,305191
24,八王子市,286718,64.18,,,160034,35.82,,,446752,27864,0,0,26689,-65948,326251
25,立川市,85989,66.82,,,42706,33.18,,,128695,8512,0,0,9480,-15542,95161
26,武蔵野市,35503,74.71,,,12015,25.29,,,47518,2034,0,0,8382,-6044,31058
27,三鷹市,76417,68.17,,,35673,31.83,,,112090,6878,0,0,13196,-13457,78559
28,青梅市,73881,64.14,,,41315,35.86,,,115196,7886,0,3,5681,-16547,85079
