,総数,医療機関の紹介,医療機関への事前連絡,医療機関への同行,宿泊者が記入した緊急連絡先への連絡,医療機関の受信希望はない,医療機関等受信の流れについての説明,医療機関などの診療・検査等への同行,医療通訳サービスの手配,その他,無回答
総数／n,274,237,113,31,17,16,12,7,4,16,5
総数／%,,86.5,41.2,11.3,6.2,5.8,4.4,2.6,1.5,5.8,1.8
業態別／シティホテル／n,36,34,28,13,1,0,6,4,1,2,0
業態別／シティホテル／%,,94.4,77.8,36.1,2.8,0,16.7,11.1,2.8,5.6,0
業態別／ビジネスホテル／n,188,171,70,9,10,6,5,1,3,9,3
業態別／ビジネスホテル／%,,91,37.2,4.8,5.3,3.2,2.7,0.5,1.6,4.8,1.6
業態別／旅館／n,22,16,7,5,3,3,0,2,0,2,1
業態別／旅館／%,,72.7,31.8,22.7,13.6,13.6,0,9.1,0,9.1,4.5
業態別／その他／n,27,15,8,4,3,7,1,0,0,3,1
業態別／その他／%,,55.6,29.6,14.8,11.1,25.9,3.7,0,0,11.1,3.7
