"年度[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"2022","あなたご自身のことについて、お伺いします","F1. あなたの年代は次のどれにあたりますか。（○は１つ）","１９歳以下","1","0.2"
"2022","あなたご自身のことについて、お伺いします","F1. あなたの年代は次のどれにあたりますか。（○は１つ）","２０～２９歳","7","1.3"
"2022","あなたご自身のことについて、お伺いします","F1. あなたの年代は次のどれにあたりますか。（○は１つ）","３０～３９歳","31","5.7"
"2022","あなたご自身のことについて、お伺いします","F1. あなたの年代は次のどれにあたりますか。（○は１つ）","４０～４９歳","88","16.3"
"2022","あなたご自身のことについて、お伺いします","F1. あなたの年代は次のどれにあたりますか。（○は１つ）","５０～５９歳","121","22.4"
"2022","あなたご自身のことについて、お伺いします","F1. あなたの年代は次のどれにあたりますか。（○は１つ）","６０～６９歳","110","20.3"
"2022","あなたご自身のことについて、お伺いします","F1. あなたの年代は次のどれにあたりますか。（○は１つ）","７０歳以上","181","33.5"
"2022","あなたご自身のことについて、お伺いします","F1. あなたの年代は次のどれにあたりますか。（○は１つ）","無回答","2","0.4"
"2022","あなたご自身のことについて、お伺いします","F2. あなたの性別は次のどれにあたりますか。（○は１つ）","男性","244","45.1"
"2022","あなたご自身のことについて、お伺いします","F2. あなたの性別は次のどれにあたりますか。（○は１つ）","女性","294","54.3"
"2022","あなたご自身のことについて、お伺いします","F2. あなたの性別は次のどれにあたりますか。（○は１つ）","回答したくない","0","0.0"
"2022","あなたご自身のことについて、お伺いします","F2. あなたの性別は次のどれにあたりますか。（○は１つ）","無回答","3","0.6"
"2022","あなたご自身のことについて、お伺いします","F3. あなたのご職業は次のどれにあたりますか。（○は１つ）","自営業・家族従事者","69","12.8"
"2022","あなたご自身のことについて、お伺いします","F3. あなたのご職業は次のどれにあたりますか。（○は１つ）","会社員・公務員・パートなど勤め人","233","43.1"
"2022","あなたご自身のことについて、お伺いします","F3. あなたのご職業は次のどれにあたりますか。（○は１つ）","学生","3","0.6"
"2022","あなたご自身のことについて、お伺いします","F3. あなたのご職業は次のどれにあたりますか。（○は１つ）","家事専業","78","14.4"
"2022","あなたご自身のことについて、お伺いします","F3. あなたのご職業は次のどれにあたりますか。（○は１つ）","無職","123","22.7"
"2022","あなたご自身のことについて、お伺いします","F3. あなたのご職業は次のどれにあたりますか。（○は１つ）","その他","31","5.7"
"2022","あなたご自身のことについて、お伺いします","F3. あなたのご職業は次のどれにあたりますか。（○は１つ）","無回答","4","0.7"
"2022","あなたご自身のことについて、お伺いします","F4. あなたの世帯は次のどれにあたりますか。（○は１つ）","単身","112","20.7"
"2022","あなたご自身のことについて、お伺いします","F4. あなたの世帯は次のどれにあたりますか。（○は１つ）","２人以上","423","78.2"
"2022","あなたご自身のことについて、お伺いします","F4. あなたの世帯は次のどれにあたりますか。（○は１つ）","無回答","6","1.1"
"2022","あなたご自身のことについて、お伺いします","F5. あなたのお住まいはどの地区ですか。（〇は１つ）","芝","90","16.6"
"2022","あなたご自身のことについて、お伺いします","F5. あなたのお住まいはどの地区ですか。（〇は１つ）","麻布","106","19.6"
"2022","あなたご自身のことについて、お伺いします","F5. あなたのお住まいはどの地区ですか。（〇は１つ）","赤坂","61","11.3"
"2022","あなたご自身のことについて、お伺いします","F5. あなたのお住まいはどの地区ですか。（〇は１つ）","高輪","148","27.4"
"2022","あなたご自身のことについて、お伺いします","F5. あなたのお住まいはどの地区ですか。（〇は１つ）","芝浦港南","134","24.8"
"2022","あなたご自身のことについて、お伺いします","F5. あなたのお住まいはどの地区ですか。（〇は１つ）","無回答","2","0.4"
"2022","あなたご自身のことについて、お伺いします","F6. あなたは港区に住んで何年になりますか。（○は１つ）","１年未満","1","0.2"
"2022","あなたご自身のことについて、お伺いします","F6. あなたは港区に住んで何年になりますか。（○は１つ）","１～３年未満","6","1.1"
"2022","あなたご自身のことについて、お伺いします","F6. あなたは港区に住んで何年になりますか。（○は１つ）","３～５年未満","19","3.5"
"2022","あなたご自身のことについて、お伺いします","F6. あなたは港区に住んで何年になりますか。（○は１つ）","５～１０年未満","62","11.5"
"2022","あなたご自身のことについて、お伺いします","F6. あなたは港区に住んで何年になりますか。（○は１つ）","１０～２０年未満","149","27.5"
"2022","あなたご自身のことについて、お伺いします","F6. あなたは港区に住んで何年になりますか。（○は１つ）","２０年以上","300","55.5"
"2022","あなたご自身のことについて、お伺いします","F6. あなたは港区に住んで何年になりますか。（○は１つ）","無回答","4","0.7"

"令和4年度（2022年度）区政モニターアンケート・あなたご自身のことについてお伺いします","Ver202301",,,,
