"職種","現員 統括参事[人]","現員 参事[人]","現員 統括課長[人]","現員 副参事[人]","現員 課長補佐[人]","現員 係長[人]","現員 主査[人]","現員 主任[人]","現員 主事[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 派遣法による派遣[人]","定数外 派遣交流[人]","定数外 配偶者同行休業[人]"
"事務","0","14","18","33","46","161","25","351","370","10","12","23","5","0","1"
"社会教育","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(a)事務系計","0","14","18","33","46","162","25","351","370","10","12","23","5","0","1"
"福祉 福祉","0","0","1","2","3","18","12","20","15","0","1","1","2","0","0"
"福祉 児童指導","0","0","0","0","1","4","7","17","7","0","2","1","0","0","0"
"福祉 保育士","0","0","0","0","9","7","31","119","159","0","1","20","0","0","0"
"心理","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0"
"(b)福祉系計","0","0","1","2","13","29","51","156","186","0","4","22","2","0","0"
"土木造園 土木技術","0","1","1","6","5","24","0","17","28","1","0","1","0","0","0"
"土木造園 造園技術","0","0","0","1","0","1","0","5","2","0","0","1","0","0","0"
"建築","0","2","0","9","3","15","0","22","28","1","0","4","0","0","0"
"機械","0","0","0","0","0","1","0","5","2","0","0","0","0","0","0"
"電気","0","0","0","1","0","1","0","4","1","1","1","0","0","0","0"
"衛生監視 保健衛生","0","0","0","0","0","4","2","9","9","0","0","0","0","1","0"
"衛生監視 食品衛生","0","0","0","1","2","3","1","7","9","0","0","1","0","1","0"
"衛生監視 化学技術","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"学芸研究","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"(c)一般技術系計","0","3","1","18","10","49","3","69","81","3","1","7","0","2","0"
"医師","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"診療放射線","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"歯科衛生","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"理学療法","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"作業療法","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"検査技術","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"栄養士","0","0","0","0","0","1","3","2","2","0","0","0","0","0","0"
"保健師","0","0","0","0","1","3","5","14","9","0","0","1","0","0","0"
"看護師","0","0","0","0","0","0","3","5","7","0","0","0","0","0","0"
"(d)医療技術系計","0","1","0","1","1","5","12","24","20","0","1","1","0","0","0"
"Ⅰ 自動車運転","0","0","0","0","0","4","0","6","0","0","0","0","0","0","0"
"Ⅱ 警備","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Ⅱ 作業Ⅰ","0","0","0","0","0","1","0","2","10","0","1","0","0","0","0"
"Ⅲ 調理","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"Ⅲ 用務","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Ⅲ 作業Ⅱ","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Ⅳ 家庭奉仕","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Ⅴ 自動車運転Ⅱ","0","0","0","0","0","3","0","13","1","0","0","1","0","0","0"
"Ⅴ 自動車整備","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Ⅵ 作業Ⅲ","0","0","0","0","1","8","0","54","19","0","0","0","0","0","0"
"(e)技能系計","0","0","0","0","1","16","0","82","32","0","2","1","0","0","0"
"事務（業務）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(f)業務系計","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(1)(a)～(f)一般関係計","0","18","20","54","71","261","91","682","689","13","20","54","7","2","1"

"平成30年度港区行政資料集　一般関係職員（常勤職員）・再任用フルタイム勤務職員を含む","Ver201804",,,,,,,,,,,,,,
