会計,款,項,目,細目,事業名,所管部署,決算額（千円）,カルテ作成
国保,1,1,1,33,職員人件費等,人事課（人件費）,190913,×
国保,1,1,1,724,国民健康保険事務経費,保険年金課,36360,※
国保,1,1,2,725,国民健康保険団体連合会負担金,保険年金課,2006,×
国保,1,2,1,726,国民健康保険税賦課徴収事務費,保険年金課,28409,○
国保,1,3,1,728,国民健康保険運営協議会費,保険年金課,1035,○
国保,2,1,1,729,保険給付に要する経費,保険年金課,8769339,●
国保,2,1,2,730,退職被保険者等保険給付に要する経費,保険年金課,4795,△
国保,2,1,3,731,保険給付に要する経費,保険年金課,90052,●
国保,2,1,4,732,退職被保険者等保険給付に要する経費,保険年金課,134,△
国保,2,1,5,733,保険給付に要する経費,保険年金課,45452,×
国保,2,2,1,734,保険給付に要する経費,保険年金課,1227926,●
国保,2,2,2,735,退職被保険者等保険給付に要する経費,保険年金課,140,△
国保,2,2,3,736,保険給付に要する経費,保険年金課,809,●
国保,2,2,4,737,退職被保険者等保険給付に要する経費,保険年金課,0,△
国保,2,3,1,739,保険給付に要する経費,保険年金課,0,●
国保,2,3,2,740,退職被保険者等保険給付に要する経費,保険年金課,0,△
国保,2,4,1,741,保険付加給付に要する経費,保険年金課,34820,◆
国保,2,5,1,743,保険付加給付に要する経費,保険年金課,10350,◆
国保,2,6,1,744,保険付加給付に要する経費,保険年金課,17392,◆
国保,3,1,1,956,一般被保険者医療費給付分,保険年金課,3105679,×
国保,3,1,2,957,退職被保険者等医療費給付分,保険年金課,3414,×
国保,3,2,1,958,一般被保険者後期高齢者支援金分,保険年金課,1066070,×
国保,3,2,2,959,退職被保険者等後期高齢者支援金等分,保険年金課,1182,×
国保,3,3,1,748,介護納付金に要する経費,保険年金課,322214,×
国保,5,1,2,758,国民健康保険総合健康診査料助成に要する経費,保険年金課,7782,◆
国保,5,1,2,869,医療費分析等に要する経費,保険年金課,2912,○
国保,5,1,2,872,疾病予防に要する経費,保険年金課,5221,○
国保,5,2,1,760,特定健康診査に要する経費,保険年金課,157741,○
国保,5,2,1,761,特定保健指導に要する経費,保険年金課,4976,○
国保,6,1,1,762,国民健康保険財政運営基金,保険年金課,139,×
国保,8,1,1,764,一般被保険者保険税還付金,保険年金課,20101,×
国保,8,1,6,979,保険給付費等償還金,保険年金課,315411,×
国保,9,1,1,751,退職者医療共同事業に要する拠出金,保険年金課,2,×
