会計,款,項,目,細目,事業名,所管部署,決算額（千円）,カルテ作成
介護,1,1,1,35,職員人件費等,人事課（人件費）,134005,×
介護,1,1,1,789,介護保険事務経費,介護保険課,42330,×
介護,1,1,1,790,介護保険サービス推進事業,介護保険課,522,※
介護,1,1,1,993,介護サービス事業所等に対する指導検査等事業,介護保険課,657,×
介護,1,1,2,791,介護保険運営協議会費,介護保険課,516,※
介護,1,1,2,874,地域包括支援センター運営協議会費,高齢支援課,93,※
介護,1,1,3,792,国民健康保険団体連合会負担金,介護保険課,13,×
介護,1,2,1,793,介護保険料賦課徴収事務経費,介護保険課,2569,※
介護,1,3,1,794,介護認定審査会運営費,介護保険課,9903,●
介護,1,3,2,795,介護認定調査事業,介護保険課,57294,●
介護,2,1,1,804,介護サービス等諸費,介護保険課,8092143,△
介護,2,2,1,811,介護予防サービス等諸費,介護保険課,243481,△
介護,2,3,1,812,審査支払に要する経費,介護保険課,9535,△
介護,2,4,1,815,高額介護サービス等費,介護保険課,262932,△
介護,2,5,1,817,高額医療合算介護サービス等費,介護保険課,35161,△
介護,2,6,1,816,特定入所者介護サービス等費,介護保険課,220509,△
介護,2,7,1,870,市町村特別給付費,介護保険課,2527,△
介護,4,1,1,36,職員人件費等,人事課（人件費）,28452,×
介護,4,1,1,831,地域包括支援センター運営事業,高齢支援課,209550,○
介護,4,1,1,902,在宅医療・介護連携推進事業,高齢支援課,4717,○
介護,4,1,1,903,認知症施策推進事業,高齢支援課,10760,○
介護,4,1,1,904,生活支援体制整備事業,高齢支援課,18881,○
介護,4,1,1,916,介護給付費等費用適正化事業,介護保険課,432,×
介護,4,1,1,924,地域ケア会議推進事業,高齢支援課,91,×
介護,4,1,2,940,短期集中予防サービス事業,高齢支援課,29756,○
介護,4,1,2,941,指定型訪問・通所サービス費,介護保険課,253640,●
介護,4,1,2,942,介護予防ケアマネジメント事業,介護保険課,31291,●
介護,4,1,2,943,高額介護予防・生活支援サービス費,介護保険課,353,●
介護,4,1,2,944,高額医療合算介護予防・生活支援サービス費,介護保険課,239,●
介護,4,1,3,945,一般介護予防事業,高齢支援課,15549,○
介護,4,1,4,946,地域支援事業に係る審査支払に要する経費,介護保険課,707,●
介護,5,1,1,820,介護保険給付準備基金積立金,介護保険課,311357,×
介護,7,1,1,823,第１号被保険者保険料還付金,介護保険課,3351,×
介護,7,1,3,824,国庫支出金等返還に要する経費,介護保険課,79968,×
介護,7,3,1,826,他会計繰出金,介護保険課,546,×
