年度,年度西暦,歳入歳出区分,会計区分,款,項,目,細目,事業名,所管部署
令和2年度,2020,歳出,一般,1,1,1,1,議員人件費等,議会事務局
令和2年度,2020,歳出,一般,1,1,1,2,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,1,1,1,37,議会報発行経費,議会事務局
令和2年度,2020,歳出,一般,1,1,1,38,議会運営費等経費,議会事務局
令和2年度,2020,歳出,一般,2,1,1,3,職員人件費等,人事課（人件費）
令和2年度,2020,歳出,一般,2,1,1,39,秘書事務経費,秘書広報課
令和2年度,2020,歳出,一般,2,1,1,40,市渉外経費,秘書広報課
令和2年度,2020,歳出,一般,2,1,1,41,一般管理経費,総務契約課
令和2年度,2020,歳出,一般,2,1,1,42,表彰関係経費,総務契約課
令和2年度,2020,歳出,一般,2,1,1,43,争訟等関係経費,文書法制課
令和2年度,2020,歳出,一般,2,1,1,46,契約管理経費,総務契約課
令和2年度,2020,歳出,一般,2,1,1,47,生活事務経費,コミュニティ・生活課
令和2年度,2020,歳出,一般,2,1,1,49,文書管理経費,文書法制課
令和2年度,2020,歳出,一般,2,1,1,50,平和啓発事業,平和・人権課
令和2年度,2020,歳出,一般,2,1,1,51,総合オンブズマン制度運営経費,オンブズマン事務局
令和2年度,2020,歳出,一般,2,1,1,972,新型コロナウイルス感染症対策基金積立,財政課
令和2年度,2020,歳出,一般,2,1,2,54,人事管理経費,人事課
令和2年度,2020,歳出,一般,2,1,2,55,福利厚生事業,人事課
令和2年度,2020,歳出,一般,2,1,2,56,職員研修事業,人事課
令和2年度,2020,歳出,一般,2,1,3,57,広報活動費,秘書広報課
令和2年度,2020,歳出,一般,2,1,3,58,広聴活動費,秘書広報課
令和2年度,2020,歳出,一般,2,1,3,59,文書事務経費,文書法制課
令和2年度,2020,歳出,一般,2,1,3,60,事務機械経費,文書法制課
令和2年度,2020,歳出,一般,2,1,3,61,情報公開関係経費,文書法制課
令和2年度,2020,歳出,一般,2,1,3,890,シティセールス推進事業,秘書広報課
令和2年度,2020,歳出,一般,2,1,4,62,財政管理経費,財政課
令和2年度,2020,歳出,一般,2,1,5,63,会計管理経費,会計課
令和2年度,2020,歳出,一般,2,1,6,65,公共建築物等整備保全基金積立,財政課
令和2年度,2020,歳出,一般,2,1,6,67,電算機管理運営経費,情報システム課
令和2年度,2020,歳出,一般,2,1,6,68,情報政策事務経費,情報システム課
令和2年度,2020,歳出,一般,2,1,6,70,庁舎管理経費,総務契約課
令和2年度,2020,歳出,一般,2,1,6,71,庁舎対策事業,総務契約課
令和2年度,2020,歳出,一般,2,1,6,72,財産管理経費,行政管理課
令和2年度,2020,歳出,一般,2,1,6,73,車両管理経費,総務契約課
令和2年度,2020,歳出,一般,2,1,6,74,情報システム管理運営経費,情報システム課
