"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","広報みなと・ミナトマンスリー（英字広報紙）","区の公式ホームページ[人]","駅や街中での啓発ポスター等の掲示物[人]","路面シート[人]","環境美化キャンペーン[人]","巡回指導員（による指導）[人]","ちぃばすの車内テレビ[人]","デジタルサイネージでの動画放映[人]","見かけたり聞いたりしたことはない[人]","その他[人]"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","全体",,"658","158","76","295","214","49","114","103","6","160","8"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","男性（計）","248","59","36","112","90","24","51","30","2","62","4"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","男性 18～29歳","23","2","1","6","5","0","1","3","0","11","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","男性 30～39歳","35","7","8","18","13","5","5","6","1","8","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","男性 40～49歳","41","9","6","21","14","2","9","3","1","10","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","男性 50～59歳","49","12","6","20","12","2","9","3","0","17","2"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","男性 60～69歳","39","11","9","17","21","7","15","4","0","4","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","男性 70歳以上","60","17","6","30","25","7","12","11","0","12","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","男性 無回答","1","1","0","0","0","1","0","0","0","0","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","女性（計）","400","94","40","179","121","24","63","71","4","96","4"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","女性 18～29歳","28","4","2","11","9","0","3","5","0","9","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","女性 30～39歳","65","14","4","28","18","7","7","16","1","20","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","女性 40～49歳","95","22","12","49","31","5","12","12","1","20","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","女性 50～59歳","82","16","8","36","24","4","16","12","1","23","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","女性 60～69歳","55","18","9","27","19","5","11","12","0","12","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","女性 70歳以上","75","20","5","28","20","3","14","14","1","12","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0","0","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","性・年代別","無回答","10","5","0","4","3","1","0","2","0","2","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","職業別","自営業主・家族従業","92","17","12","35","29","9","20","13","0","22","2"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","職業別","会社員・団体職員・公務員","280","64","28","134","90","20","42","37","4","82","4"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","職業別","アルバイト・パートタイマー","58","17","8","28","18","6","15","7","1","9","1"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","職業別","家事専業","94","25","12","40","25","7","15","18","1","25","0"
"202003","みなとタバコルール","Q17. 屋外の公共の場所での喫煙やポイ捨てを禁止する「みなとタバコルール」について、あなたは見かけたり聞いたりしたことがありますか。（○はいくつでも）","職業別","学生","20","1","2","7","8","0","2","7","0","7","0"
