"年度","区分","18～20歳[人]","21～30歳[人]","31歳以上[人]"
"2014","合計","10","8","21"
"2015","合計","9","11","21"
"2016","合計","10","11","22"
"2017","合計","5","16","24"
"2018","合計","5","17","25"
"2018","性別 男","2","12","9"
"2018","性別 女","3","5","16"
"2018","障害別 知的障害","5","17","25"
"2018","障害別 身体障害","4","10","18"
"2018","障害別 （重複障害）","4","10","18"
"2018","障害等級 愛の手帳 1・2度","5","16","23"
"2018","障害等級 愛の手帳 3・4度","0","1","2"
"2018","障害等級 愛の手帳 手帳なし","0","0","0"
"2018","障害等級 身体障害者手帳 1・2級","3","6","13"
"2018","障害等級 身体障害者手帳 3・4級","1","3","4"
"2018","障害等級 身体障害者手帳 5・6級","0","1","1"
"2018","障害等級 身体障害者手帳 手帳なし","1","7","7"

"平成30年度港区行政資料集　障害保健福祉センター生活介護事業利用状況","Ver201804",,,
