教科等,主な特徴　（　）内は学年
国語,漢字指導の改善、語感を磨き語彙を豊かにする指導の充実
社会,"ファイナンスパーク（市民科）との関連を図った指導（8）
卒業論文（9）の実施"
算数／数学,4位数の加法・減法（2）、角錐や円錐（5）正負の数（6）の単元を追加
理科,金属の性質と種類（3）、空気の重さ（6）の単元を追加
生活,第3学年の社会、理科との関連を明確化
音楽,"和楽器を含む我が国や郷土の音楽の学習を充実
箏の実技指導（5,7）を追加"
図画工作／美術,造形遊びをする活動（7～9）を追加
家庭／技術・家庭,プログラミング学習や情報セキュリティについて市民科と関連付けた指導
体育／保健体育,"品川スポーツトライアル、ワンミニッツエクササイズの取組による体力向上
オリンピック・パラリンピックの意義や価値等の学習"
英語,"英語科を実施（1～9）
9年間を通したリタラシーの学習の実施"
市民科,"国際理解、生命尊重、自然愛護（環境）などの教育課程を追加
一貫プランの設定
武道体験を追加"
"特別支援学級
特別支援教室",「各教科・市民科」、「自立活動」、「各教科等を合わせた指導」の内容を充実
