種類,期・回,予診票をお送りする時期,接種回数・間隔,　備考
四種混合,"1期
初回",生後2カ月,"生後3カ月から20日以上あけて3回
[標準］20～56日の間隔で3回","・ジフテリア
・百日せき
・破傷風
・不活化ポリオ"
四種混合,"1期
追加",満1歳,"1期初回完了後6カ月以上あけて1回
［標準］1年～1年半間隔 をあけて1回","・ジフテリア
・百日せき
・破傷風
・不活化ポリオ"
DT,2期,満11歳,1回,"・ジフテリア
・破傷風"
"MR
（麻しん・風しん混合)",1期,満1歳,1回,
"MR
（麻しん・風しん混合)",2期,5歳以上7歳未満で小学校就学1年前の年度の4月,1回,
日本脳炎 ,1期初回,満3歳,"6日以上あけて2回
［標準］6日から26日あけて2回",
日本脳炎 ,"1期追加
",満4歳,"1期初回完了後、6カ月以上あけて1回
［標準］1期初回完了後、1年から1年半あけて1回",
日本脳炎 ,2期,満9歳,1回,
Hib,初回,生後2カ月,"1.開始日が生後2カ月～6カ月…3回
［標準］27～56日の間隔で3回（生後12カ月まで） 
2.開始日が生後7カ月～1歳未満…2回 
［標準］27～56日の間隔で2回（生後12カ月まで） 
3.開始日が生後1歳以上5歳未満…1回のみ",
Hib,追加,満1歳,"初回接種1および2の方
［標準］初回完了後、7～13カ月の間隔をおいて1回",
"小児用
肺炎球菌",初回,生後2カ月,"1.開始日が生後2カ月～6カ月…3回 
［標準］生後12カ月 までに27日以上あけて3回
［遅れた場合］2回目・3回目は生後24カ月までに行う。
　2回目が生後12カ月を超えた場合は、3回目は接種しない。
2.開始日が生後7カ月～1歳未満…2回  
［標準］生後12カ月までに27日以上あけて2回
［遅れた場合］2回目は、生後24カ月までに行う。 
3.開始日が1歳（60日以上の間隔で）…2回 
4.開始日が生後2歳以上5歳未満…1回のみ",
"小児用
肺炎球菌",追加,満1歳,"初回接種1および2の方 
初回完了後、60日以上あけて1回
［標準］生後12カ月～15カ月までに1回",
B型肝炎,1～3回目,生後2カ月,"27日以上の間隔をおいて2回接種し、1回目の接種から139日以上の間隔をおいて3回目を接種
[標準]生後2カ月～8カ月の間に3回
※平成28年10月1日から定期予防接種になりました。",
ロタウイルス,－,生後2カ月,"ロタリックス：生後6週0日～24週0日までに2回経口接種
ロタテック：生後6週0日～32週0日までに3回経口接種

※1回目は生後14週6日までに開始。",
水痘,"1回目
2回目",満1歳,"・1回目は、生後12カ月から生後15カ月の間に接種
・2回目接種は、1回目接種終了後、6カ月から12カ月をあけて接種",
"ヒトパピローマウイルス感染症
（子宮頸がん）",－,小学6年生の4月,2回または3回 ,
BCG,－,満5カ月,1回,
