被害の種類,被害の種類,被災の程度,全壊・半壊,世帯,見舞金
火災による被害,住宅の焼失,住宅が全焼・半焼したもの,－,単身世帯,"20,000円"
火災による被害,住宅の焼失,住宅が全焼・半焼したもの,－,普通世帯,"30,000円
但し、2人を超える世帯の場合は
1人当たり1万円を追加支給する。"
風水害による被害,住宅の損壊等,住宅が全壊・半壊したもの,全壊,普通世帯,"60,000円"
風水害による被害,住宅の損壊等,住宅が全壊・半壊したもの,全壊,単身世帯,"50,000円"
風水害による被害,住宅の損壊等,住宅が全壊・半壊したもの,半壊,普通世帯,"50,000円"
風水害による被害,住宅の損壊等,住宅が全壊・半壊したもの,半壊,単身世帯,"40,000円"
風水害による被害,床上浸水,住宅の居住部分の床上以上に浸水したもの,－,普通世帯,"40,000円"
風水害による被害,床上浸水,住宅の居住部分の床上以上に浸水したもの,－,単身世帯,"30,000円"
風水害による被害,床下浸水,住宅の居住部分の床下に浸水したもの,－,－,"1世帯につき10,000円"
風水害による被害,事業所等浸水,店舗・事務所、工場等でおおむね床面が浸水し、かつ商品や業務に係わる設備に被害が生じた場合に支給する,－,－,"1世帯につき10,000円"
,,,,,
