校種,"小学校
1","小学校
2","小学校
3","小学校
4","小学校
5","小学校
6","小学校
小計","中学校
7","中学校
8","中学校
9","中学校
小計",合計
国語,315 ,315 ,245 ,245 ,175 ,175 ,1470 ,140 ,140 ,105 ,385 ,1855 
新学習指導要領,306 ,315 ,245 ,245 ,175 ,175 ,1461 ,140 ,140 ,105 ,385 ,1846 
社会,-,-,70 ,90 ,100 ,105 ,365 ,105 ,105 ,140 ,350 ,715 
新学習指導要領,-,-,70 ,90 ,100 ,105 ,365 ,105 ,105 ,140 ,350 ,715 
算数／数学,140 ,175 ,175 ,175 ,175 ,175 ,1015 ,140 ,105 ,140 ,385 ,1400 
新学習指導要領,136 ,175 ,175 ,175 ,175 ,175 ,1011 ,140 ,105 ,140 ,385 ,1396 
理科,-,-,90 ,105 ,105 ,105 ,405 ,105 ,140 ,140 ,385 ,790 
新学習指導要領,-,-,90 ,105 ,105 ,105 ,405 ,105 ,140 ,140 ,385 ,790 
生活,105 ,105 ,-,-,-,-,210 ,-,-,-,-,210 
新学習指導要領,102 ,105 ,-,-,-,-,207 ,-,-,-,-,207 
音楽,70 ,70 ,60 ,60 ,50 ,50 ,360 ,45 ,35 ,35 ,115 ,475 
新学習指導要領,68 ,70 ,60 ,60 ,50 ,50 ,358 ,45 ,35 ,35 ,115 ,473 
図画工作／美術,70 ,70 ,60 ,60 ,50 ,50 ,360 ,45 ,35 ,35 ,115 ,475 
新学習指導要領,68 ,70 ,60 ,60 ,50 ,50 ,358 ,45 ,35 ,35 ,115 ,473 
家庭／技術・家庭,-,-,-,-,60 ,55 ,115 ,70 ,70 ,35 ,175 ,290 
新学習指導要領,-,-,-,-,60 ,55 ,115 ,70 ,70 ,35 ,175 ,290 
体育／保健体育,105 ,105 ,105 ,105 ,90 ,90 ,600 ,105 ,105 ,105 ,315 ,915 
新学習指導要領,102 ,105 ,105 ,105 ,90 ,90 ,597 ,105 ,105 ,105 ,315 ,912 
英語,35 ,35 ,35 ,35 ,70 ,70 ,280 ,140 ,140 ,140 ,420 ,700 
新学習指導要領,-,-,35 ,35 ,70 ,70 ,210 ,140 ,140 ,140 ,420 ,630 
市民科,85 ,85 ,140 ,140 ,140 ,140 ,730 ,120 ,140 ,140 ,400 ,1130 
新学習指導要領（内訳）,68 ,70 ,140 ,140 ,140 ,140 ,698 ,120 ,140 ,140 ,400 ,1098 
（特別の教科　道徳）,34 ,35 ,35 ,35 ,35 ,35 ,209 ,35 ,35 ,35 ,105 ,314 
（総合的な学習の時間）,-,-,70 ,70 ,70 ,70 ,280 ,50 ,70 ,70 ,190 ,470 
（特別活動）,34 ,35 ,35 ,35 ,35 ,35 ,209 ,35 ,35 ,35 ,105 ,314 
総授業時数,925 ,960 ,980 ,1015 ,1015 ,1015 ,5910 ,1015 ,1015 ,1015 ,3045 ,8955 
新学習指導要領,850 ,910 ,980 ,1015 ,1015 ,1015 ,5785 ,1015 ,1015 ,1015 ,3045 ,8830 
