施設名称,所在地,備考,緯度,経度
男女共同参画センター,東京都品川区東大井5-18-1きゅりあん3階,"男女共同参画への理解を促進するために設置された、学習・活動・交流の場です。所在地:東大井5-18-1(きゅりあん3階)交通:JR京浜東北線 大井町駅 中央東口下車1分 開館時間:午前9時～午後9時30分休館日:年末年始(12/29～1/3)電話:5479-4104FAX:5479-4111",35.6059391,139.7361889
品川区消費者センター,東京都品川区大井1-14-1大井1丁目共同ビル,"所在地:大井1-14-1　大井1丁目共同ビル電話:5718-7181 事務室開館時間:午前8時30分～午後5時15分 休館日:土、日、祝日、年末年始 ●消費生活相談コーナー受付時間 月～金　午前9時～午後4時 土　　　午後0時30分～午後4時",35.6076929,139.7315911
リサイクルショップ「リボン」旗の台店,東京都品川区旗の台5-13-9,"旗の台5-13-9　電話:5498-7803交通:東急大井町線・池上線　旗の台駅南口徒歩1分営業時間:午前11時～午後7時 定休日:毎週水曜日、年末年始(12月31日～1月4日) 取扱商品:区民からの受託品(日用品、雑貨、衣料品、小型家具など)、リサイクル製品、手作り再生品",35.6044516,139.7011809
リサイクルショップ「リボン」大井町店,東京都品川区広町2-1-36品川区役所第三庁舎2階,"広町2-1-36品川区役所第三庁舎2階電話:5742-6933 営業時間:午前11時～午後5時30分 定休日:毎週水曜日、年末年始(12月31日～1月4日) 取扱商品:区民からの受託品は、大型家具、インテリア置物、贈答用品、リサイクル製品",35.6083047,139.7299228
区民斎場 なぎさ会館,東京都品川区勝島3-1-3,"所在地 勝島3-1-3電話 5471-2700",35.5963655,139.7417383
品川区清掃事務所,東京都品川区大崎1-14-1,"品川・大崎・大井・八潮地区のごみ・資源の収集や、集団回収支援などを行います。品川区大崎1-14-1電話　3490-7051",35.6182916,139.7335512
品川区清掃事務所 荏原庁舎,東京都品川区平塚1-10-11,"荏原地区のごみ・資源の収集を行います。品川区平塚1-10-11電話　3786-6552",35.6139998,139.7142950
品川清掃工場,東京都品川区八潮1-4-1,"品川区八潮1-4-1電話　3799-5353",35.6094519,139.7538716
総務部分室,東京都品川区南大井3-7-10,"品川区南大井3-7-10 併設月見橋の家南大井第二在宅介護支援センター",35.5915071,139.7346758
中小企業センター,東京都品川区西品川1-28-3,"品川区西品川1-28-3 4階　品川区商店街連合会　　 勤労者共済会6階 品川介護福祉専門学校ふれあい作業所西品川分室",35.6092731,139.7277367
(財)品川区国際友好協会,東京都品川区広町2-1-36品川区総合庁舎第3庁舎,"品川区広町2-1-36品川区総合庁舎第3庁舎4階",35.6082826,139.7301693
八潮北保管所,東京都品川区八潮1-3-1,品川区八潮1-3-1,35.6124909,139.7537830
不動前保管所,東京都品川区西五反田3丁目11番14号,品川区西五反田3丁目11番14号,35.6270646,139.7153674
東京電力品川支社,東京都品川区西五反田5-3-1,品川区西五反田5-3-1,35.6256727,139.7167447
品川火力発電所,東京都品川区東品川5-6-22,,35.6204462,139.7557467
大井火力発電所,東京都品川区八潮1-2-2,,35.6149784,139.7561033
戸越公園駅第1駐輪場,東京都品川区戸越5丁目10番,品川区戸越5丁目10番,35.6092411,139.7184687
戸越公園駅第2駐輪場,東京都品川区戸越5丁目9番,品川区戸越5丁目9番,35.6089840,139.7190806
武蔵小山駅第1駐輪場,東京都品川区小山3丁目27番,品川区小山3丁目27番,35.6198649,139.7034740
武蔵小山駅第2駐輪場,東京都品川区小山4丁目2番,品川区小山4丁目2番,35.6192530,139.7024883
西小山駅第1駐輪場,東京都品川区小山5丁目21番,品川区小山5丁目21番,35.6159619,139.6993625
西小山駅第2駐輪場,東京都品川区小山6丁目3番,品川区小山6丁目3番,35.6155511,139.6988545
不動前駅第1駐輪場,東京都品川区西五反田4丁目32番,品川区西五反田4丁目32番,35.6265225,139.7142059
不動前駅第2駐輪場,東京都品川区西五反田4丁目32番,品川区西五反田4丁目32番,35.6266118,139.7141236
下神明駅第1駐輪場,東京都品川区二葉1丁目4番,品川区二葉1丁目4番,35.6078806,139.7266536
下神明駅第2駐輪場,東京都品川区西品川1丁目28番,品川区西品川1丁目28番,35.6090898,139.7267388
下神明駅第3駐輪場,東京都品川区西品川1丁目29番,品川区西品川1丁目29番,35.6091172,139.7260760
大崎駅西口第1駐輪場,東京都品川区大崎2丁目1番,品川区大崎2丁目1番,35.6185107,139.7273061
大崎駅西口第2駐輪場,東京都品川区大崎2丁目1番1号,品川区大崎2丁目1番1号,35.6185063,139.7274698
大崎駅東口駐輪場,東京都品川区大崎1丁目6番,品川区大崎1丁目6番,35.6203316,139.7294111
大井町駅西口第2駐輪場,東京都品川区大井4丁目4番,品川区大井4丁目4番,35.6038141,139.7341963
大井町駅東口駐輪場,東京都品川区東大井6丁目1番,品川区東大井6丁目1番,35.6046329,139.7349440
五反田駅駐輪場,東京都品川区西五反田2丁目2番,品川区西五反田2丁目2番,35.6276401,139.7211897
戸越銀座駅駐輪場,東京都品川区平塚1丁目5番1号,品川区平塚1丁目5番1号,35.6162308,139.7152362
地下鉄戸越駅第1駐輪場,東京都品川区平塚1丁目6番,品川区平塚1丁目6番,35.6157926,139.7161897
地下鉄中延駅第2駐輪場,東京都品川区中延4丁目7番,品川区中延4丁目7番,35.6046514,139.7130022
地下鉄中延駅第3駐輪場,東京都品川区豊町6丁目24番,品川区豊町6丁目24番,35.6048964,139.7138543
旗の台駅第1駐輪場,東京都品川区旗の台2丁目7番,品川区旗の台2丁目7番,35.6061953,139.7040833
旗の台駅第2駐輪場,東京都品川区旗の台2丁目7番,品川区旗の台2丁目7番,35.6061060,139.7041492
天王洲アイル駅駐輪場,東京都品川区東品川2丁目5番,品川区東品川2丁目5番,35.6208436,139.7498958
品川シーサイド駅駐輪場,東京都品川区東品川4丁目12番,品川区東品川4丁目12番,35.6098947,139.7484094
