種別,"指定
番号
","指定
年月日
",名称,数,所在地,所有者,コメント,緯度,経度
絵画,第5号,昭和57年2月10日,"絹本着色阿弥陀三尊
来迎図",1幅,西大井5-22-25,養玉院,阿弥陀如来の脇侍に観世音菩薩・地蔵菩薩を配し、三尊が臨終の信者を極楽浄土へ迎える来迎の様子を描いている。室町時代の作と推定される。,35.596860 ,139.717244 
彫刻,第4号,昭和57年2月10日,木造釈迦如来及両脇侍像,3躯,西大井5-22-25,養玉院,釈迦如来は坐像であり、向かって右側に迦葉尊者、左側に阿難尊者像が立つ。三尊各背部の朱漆銘から、延宝5（1677）年に沙門兆渓が長崎で明の范印官の弟子范宗仁に彫らせたものであることがわかる。,35.596860 ,139.717244 
彫刻,第5号,昭和57年2月10日,木造阿弥陀如来立像,1躯,西大井5-22-25,養玉院,元は対馬藩(長崎県)宗家の念持仏であったとされる。右手を胸脇に上げ、左手を下げて来迎印を結ぶ姿の高さ91cmの寄木造りの像。平安時代末期ないし鎌倉時代初期に制作されたと考えられる。,35.596860 ,139.717244 
彫刻,第6号,昭和57年2月10日,木造天海僧正坐像,1躯,西大井5-22-25,養玉院,寛永21（1644）年に大仏師慶雄が制作。高さ90cmの寄木造りの像。天海僧正（1536～1643）は徳川家康の信任厚く、上野寛永寺や養玉院などの開山。,35.596860 ,139.717244 
彫刻,第7号,昭和57年2月10日,木造五智如来坐像,5躯,西大井5-22-25,養玉院,如来堂（瑞慶殿）内に向かって右から、薬師・宝生・大日・阿弥陀・釈迦の順に安置。いずれも高さ3m前後の寄木造りの大仏。木喰但唱(1579～1641)が弟子とともに制作、寛永13(1636)年高輪の如来寺に安置したが享保10（1725）年と延亭2（1745）年の火災により堂宇が焼失。薬師如来像の頭部のみが当初の作とされる。如来寺は明治40（1907）年に現在地に移転し、大正15（1926）年養玉院と合併。,35.596860 ,139.717244 
彫刻,第10号,昭和60年3月14日,木造白牛禅師坐像,1躯,東大井4-5-2,泊船寺,僧形姿の高さ32.6ｃｍの寄木造りの像で、天保15（1844）年に仏師大場祐造が制作。出家して白牛禅師(～1820)となった二世杜格斎山奴は、文化年間に泊船寺内にあった芭蕉堂で俳諧に没頭し、この地域に俳諧を広めた。,35.606635 ,139.742457 
彫刻,第11号,昭和60年3月14日,"木造松尾芭蕉坐像
附、芭蕉旅姿版木 ","1躯
1枚",東大井4-5-2,泊船寺,芭蕉(1644～94、伊賀上野〈三重県〉生まれ）が宗匠頭巾をかぶり道服を着た姿の高さ38.3cmの寄木造りの像で、寛政5(1793)年の芭蕉百回忌に、俳人石河積翆が境内の柳の木で彫ったものと伝わる。,35.606635 ,139.742457 
彫刻,第12号,昭和60年3月14日,木造服部嵐雪坐像,1躯,東大井4-5-2,泊船寺,羽織を着て端座した姿の高さ29ｃｍの寄木造りの像。嵐雪(1654～1707)は淡路国(兵庫県)に生まれ、幼い頃から江戸で諸大名に仕え、延宝年間に芭蕉の門に入って俳諧師となった。,35.606635 ,139.742457 
彫刻,第13号,昭和60年3月14日,木造宝井其角坐像,1躯,東大井4-5-2,泊船寺,頭を左方に向け左膝を立てた姿の高さ27.5ｃｍの寄木造りの像で、文化5（1808）年の制作。其角(1661～1707)は江戸で生まれ、医学をはじめ儒学・詩・易等を学ぶ博学で、俳譜は17歳の頃から芭蕉門下で学んだ。嵐雪とともに芭蕉門下の双璧といわれた。,35.606635 ,139.742457 
彫刻,第18号,平成3年3月26日,木造念海和尚像,1躯,西大井5-22-25,養玉院,養玉院2代住持念海(1623～1690)の高さ50.5ｃｍの寄木造りの坐像。念海の生存中に弟子の玄悦坊快運が願主となり、寛文11（1671）年に仏師長五郎が制作。,35.596860 ,139.717244 
