種別,名称,所在地,所有者,緯度,経度
絵画,紙本着色妙国寺絵図,南品川2-8-23,天妙国寺,35.611868 ,139.742899
絵画,"絹本墨画沢庵和尚像
（雲谷 等与 筆）",北品川4-11-8,春雨寺,35.617099 ,139.735705
絵画,"紙本墨画鷹図
（土岐 頼芸 筆）",北品川4-11-8,春雨寺,35.617099 ,139.735705
絵画,"紙本着色仏涅槃図
（長谷川 等言 筆）",西大井5-22-25,養玉院,35.596860 ,139.717244
絵画,絹本淡彩沢庵和尚像,北品川3-11-9,東海寺,35.616144 ,139.738973
彫刻,"銅造地蔵菩薩坐像
（品川寺）",南品川3-5-17,品川寺,35.609711 ,139.743527
工芸品,"銅製雲版
（上総般若寺公用）",南品川5-6-22,海晏寺,35.609614 ,139.742051
典籍,"原人論註解
（沢庵 宗彭 筆）",北品川3-11-9,東海寺,35.616144 ,139.738973
古文書,妙国寺文書,南品川2-8-23,天妙国寺,35.611868 ,139.742899
古文書,"沢庵宗彭墨蹟
寛永16年（東海寺）",北品川3-11-9,東海寺,35.616144 ,139.738973
古文書,沢庵宗彭墨蹟（寛永17年）,北品川3-11-9,東海寺,35.616144 ,139.738973
古文書,沢庵宗彭墨蹟（正保2年）,北品川3-11-9,東海寺,35.616144 ,139.738973
古文書,東海寺拝領御道具帳,北品川3-11-9,東海寺,35.616144 ,139.738973
古文書,東海寺公用記録,北品川3-11-9,東海寺,35.616144 ,139.738973
古文書,高輪車町及び如来寺門前絵図,西大井5-22-25,養玉院,35.596860 ,139.717244
建造物,土浦家住宅,上大崎2丁目,個人所有,35.636955 ,139.715392
民俗芸能,"品川神社の太太神楽
(だいだいかぐら)",北品川3-7-15,品川神社,35.618491 ,139.739586
史跡,"熊本藩主
細川家墓所",北品川3-11-17,－,35.616097 ,139.740023
旧跡,春秋庵白雄墓,南品川5-16-22,海晏寺,35.607671 ,139.742341
旧跡,白井鳥酔墓,南品川5-16-22,海晏寺,35.607671 ,139.742341
旧跡,岩倉具視墓,南品川5-16-22,海晏寺,35.607671 ,139.742341
旧跡,"鈴ヶ森遺跡
（南大井2丁目）","南大井2-5-6
大経寺内",大経寺,35.592061 ,139.736607
