種別,"指定
番号
","指定
年月日
",名称,数,所在地,所有者,コメント,緯度,経度
建造物,第3号,平成16年8月24日,"居木神社末社厳島神社
(旧松原家屋敷神)",1棟,大崎3-8-20,居木神社,元は旧居木橋村の大地主・松原家の屋敷神。精緻な彫刻に彩色が施され、江戸時代後期の建造と推定される。一部欠損箇所もあり、明治前期に部分的な補修を受けたとも思われるが、概ね保存状態もよい。,35.619850 ,139.725088 
絵画,第3号,昭和56年2月12日,紙本着色元三大師像,1幅,東五反田1-2-29,宝塔寺,元三大師とは、天台宗中興の祖である良源(912～985)のことで、正月三日に亡くなったことに由来する俗称。本図は、法衣を着て上体を斜め左に向け、礼盤の上に端座した大師の画像で、元禄12(1699)年春月文清の寄進。,35.628457 ,139.726955 
絵画,第4号,昭和56年2月12日,"紙本着色不動明王
両童子像",1幅,東五反田1-2-29,宝塔寺,岩の上に斜め右向きに坐り両眼を大きく見開き、右手に宝剣、左手に羂索を持った不動明王と、向かって右に衿羯羅童子、左に制た迦童子を描いた図。室町時代に土佐派の絵師が描いたとされる。,35.628457 ,139.726955 
彫刻,第3号,昭和56年2月12日,木造聖観世音菩薩立像,1躯,東五反田1-2-29,宝塔寺,左手で蓮華の入った華瓶を持って立つ姿の高さ84.1ｃｍの像。本像は、一本の素材を竪に割って荒彫りし、像の内部を削り取ってからはぎ合わせる割矧ぎの造像法による。平安時代末期頃の作とされる。,35.628457 ,139.726955 
彫刻,第19号,平成3年3月26日,阿弥陀三尊像,3躯,西五反田6-11-5,専修寺,"高さ69.8ｃｍの阿弥陀如来坐像に、高さ83.3ｃｍの観音と、88.4ｃｍの勢至菩薩が左右に立つ三尊像で、もとは上総国佐是郡(千葉県市原市)正福寺の像。
像内背部に永正5（1508）年の墨署銘がある。
",35.621096 ,139.717545 
古文書,第3号,平成2年3月13日,雉子神社文書,8点,東五反田1-2-33,雉子神社,神事に際して風折烏帽子と狩衣の着用を許可した神道裁許状や、上大崎村の日待年行事当番が所持し、書き継いだ文化9（1812）年から明治4（1841）年までの会計記録である「年行事留帳」などの史料。,35.628826 ,139.726752 
古文書,第12号,平成18年4月25日,松原家文書,252点,"大井6-11-1
品川歴史館",品川区,旧居木橋村の名主松原家に伝来する幕末から昭和42（1967）年にかけての文書。近世の名主の役割や明治期の農林業の記録など多岐にわたり、地域の歴史を知るうえで貴重。,35.596787 ,139.730102 
古文書,第15号,平成26年3月25日,"下大崎村名主島田家文書
附、写真及びガラス乾板","8点
2点及び
3点 
","大井6-11-1
品川歴史館",品川区,旧下大崎村の名主島田家に伝来する江戸時代から近代の文書8点。享和3(1803)年「御用留」帳には江戸城へのさまざまな上納品が記録され、当時の支配関係を知ることができる。附として指定された写真2枚は親族集合写真、ガラス乾板3枚の被写体は建物であるが、特定には至っていない。,35.596787 ,139.730102 
古文書,第16号,平成28年3月29日,上大崎村名主竹内家文書,70点,"大井6-11-1
品川歴史館",品川区,18世紀以後上大崎村の名主役を務めた竹内家に旧蔵されていた文書70点。宗門改帳や五人組帳のほか、東海道品川宿助郷役負担の記録などが含まれ、上大崎村をはじめ品川領の様相を知る上で重要な資料群。,35.596787 ,139.730102 
歴史資料,第3号,平成16年3月23日,文政十一年銘道標(2),1基,西品川1-6-23,－,貴船神社に残る道標（史跡第2号）と同時期に造立されたもの。高さ1ｍ7ｃｍの道標で、背面の銘に刻まれた旧居木橋村の名主の松原氏が、文政11(1828)年に造立した。品川宿から居木橋村に入ってすぐの分かれ道（妙光寺手前の分岐点）にあったと推定される。,35.613345 ,139.730909 
