種別,園名,電話,所在地,路線,最寄り駅,備考,緯度,経度
幼稚園単独施設,城南幼稚園,03-3471-7584,南品川2-8-21,京浜急行線,"青物横丁駅、
新馬場駅",※城南小学校と同じ敷地内に位置しております。,35.613153 ,139.742914 
幼稚園単独施設,浜川幼稚園,03-3761-6395,南大井4-3-14,京浜急行線,立会川駅,※浜川小学校と同じ敷地内に位置しております。,35.597638 ,139.736177 
幼稚園単独施設,伊藤幼稚園,03-3775-8028,西大井5-22-8,京浜急行線,立会川駅,※伊藤小学校と同じ敷地内に位置しております。,35.598088 ,139.716943 
幼保一体施設,平塚すこやか園,"幼稚園
03-3781-8913
保育園
03-3781-8917",荏原4-5-22,東急目黒線,武蔵小山駅,※平塚すこやか園は、平塚幼稚園・荏原西第二保育園をあわせて呼ぶときの愛称名です。,35.615070 ,139.707675 
幼保一体施設,御殿山すこやか園,"幼稚園
03-5795-1523
保育園
03-5795-1522",北品川5-3-1,JR山手線,大崎駅,※御殿山すこやか園は、御殿山幼稚園・五反田第二保育園をあわせて呼ぶときの愛称名です。,35.622495 ,139.731753 
幼保一体施設,第一日野すこやか園,"幼稚園
03-3493-7264
保育園
03-3493-7288",西五反田6-5-6,東急目黒線,不動前駅,※第一日野すこやか園は、第一日野幼稚園・西五反田第二保育園をあわせて呼ぶときの愛称名です。,35.622359 ,139.716741 
幼保一体施設,のびっこ園台場,"幼稚園
03-3472-8378
保育園
03-3472-8823",東品川1-8-30,京浜急行線,北品川駅,※のびっこ園台場は、台場幼稚園・台場保育園をあわせて呼ぶときの愛称名です。,35.620869 ,139.743667 
幼保一体施設,二葉すこやか園,"幼稚園
03-3785-9560
保育園
03-3785-3423",二葉1-3-40,東急大井町線,下神明駅,※二葉すこやか園は、二葉幼稚園・二葉つぼみ保育園をあわせて呼ぶときの愛称名です。,35.607037 ,139.725560 
幼保一体施設,八潮すこやか園,"幼稚園
03-3799-1542
保育園
03-3799-2424",八潮5-6-32,東京モノレール,大井競馬場前駅,※八潮すこやか園は、八潮わかば幼稚園・八潮南保育園をあわせて呼ぶときの愛称名です。,35.596297 ,139.749755 
幼保一体施設,"ぷりすくーる
西五反田",03-5759-8081,西五反田3-9-9,東急バス,大崎郵便局バス停,※ぷりすくーる西五反田は区立民営施設です。,35.626720 ,139.717130 
