障害の区分,身体障害者手帳,戦傷病者手帳
下肢機能障害,1級～6級,"特別項症～第6項症
第1款症～第3款症"
体幹機能障害,1級～3級、5級,"特別項症～第6項症
第1款症～第3款症"
"乳幼児期以前の非進行性の脳病変による運動機能障害
（上肢機能障害）",1級、2級,該当なし
"乳幼児期以前の非進行性の脳病変による運動機能障害
（移動機能障害）",1級～6級,該当なし
上肢機能障害,1級、2級,特別項症～第3項症
視覚障害,1級～3級、4級の1,特別項症～第4項症
聴覚障害,2級、3級,特別項症～第4項症
平衡機能障害,3級、5級,特別項症～第4項症
音声機能または言語機能障害,"3級
 （こう頭摘出に係るものに限る）","特別項症～第2項症
 （こう頭摘出に係るものに限る）"
心臓機能障害,1級、3級、4級,特別項症～第3項症
じん臓機能障害,1級、3級、4級,特別項症～第3項症
呼吸器機能障害,1級、3級、4級,特別項症～第3項症
ぼうこうまたは直腸の機能障害,1級、3級、4級,特別項症～第3項症
小腸機能障害,1級、3級、4級,特別項症～第3項症
ヒト免疫不全ウイルスによる免疫機能障害,1級、2級、3級,該当なし
肝臓機能障害,1級～4級,特別項症～第3項症
