ID,施設名,施設名_英語,電話番号,都道府県名,市区町村名,行政区名,住所,利用時間帯,フリー電源,カバーエリア,緯度,経度,利用開始時刻,利用終了時刻,標準地域コード
,しながわ区民公園,,,東京都,品川区,,東京都品川区勝島3-2-2,,,,35.593198,139.739172,,,http://statdb.nstac.go.jp/lod/sac/C13109
,戸越体育館,,,東京都,品川区,,東京都品川区豊町2-1-17,,,,35.610846,139.72063,,,http://statdb.nstac.go.jp/lod/sac/C13109
,品川保健センター,,,東京都,品川区,,東京都品川区北品川3-11-22,,,,35.61654,139.740684,,,http://statdb.nstac.go.jp/lod/sac/C13109
,荏原保健センター,,,東京都,品川区,,東京都品川区荏原2-9-6,,,,35.617167,139.711512,,,http://statdb.nstac.go.jp/lod/sac/C13109
,心身障害者福祉会館,,,東京都,品川区,,東京都品川区旗の台5-2-2,,,,35.605033,139.700433,,,http://statdb.nstac.go.jp/lod/sac/C13109
,品川図書館,,,東京都,品川区,,東京都品川区北品川2-32-3,,,,35.616956,139.742576,,,http://statdb.nstac.go.jp/lod/sac/C13109
,二葉図書館,,,東京都,品川区,,東京都品川区二葉1-4-25,,,,35.607996,139.726673,,,http://statdb.nstac.go.jp/lod/sac/C13109
,荏原図書館,,,東京都,品川区,,東京都品川区中延1-9-15,,,,35.612179,139.710678,,,http://statdb.nstac.go.jp/lod/sac/C13109
,南大井図書館,,,東京都,品川区,,東京都品川区南大井3-7-13,,,,35.591678,139.734418,,,http://statdb.nstac.go.jp/lod/sac/C13109
,源氏前図書館,,,東京都,品川区,,東京都品川区中延4-14-17,,,,35.605528,139.70998,,,http://statdb.nstac.go.jp/lod/sac/C13109
,大井図書館,,,東京都,品川区,,東京都品川区大井5-19-14,,,,35.598249,139.729054,,,http://statdb.nstac.go.jp/lod/sac/C13109
,五反田図書館,,,東京都,品川区,,東京都品川区西五反田6-5-1,,,,35.622558,139.716638,,,http://statdb.nstac.go.jp/lod/sac/C13109
,大崎図書館,,,東京都,品川区,,東京都品川区北品川5-2-1,,,,35.623248,139.7317,,,http://statdb.nstac.go.jp/lod/sac/C13109
,大崎図書館分館,,,東京都,品川区,,東京都品川区大崎3-12-22,,,,35.619237,139.725537,,,http://statdb.nstac.go.jp/lod/sac/C13109
,障害児者総合支援施設,,,東京都,品川区,,東京都品川区南品川3-7-7,,,,35.60724,139.744841,,,http://statdb.nstac.go.jp/lod/sac/C13109
