種別,店名,郵便番号,住所,電話,営業時間,定休日,緯度,経度
家具・雑貨,ハレルヤ工房,140-0001,北品川2-10-4,03-3471-3910,"午前10時～午後5時
(来店前に要確認)",不定休,35.618573 ,139.742221 
家具,染谷家具,142-0052,東中延2-10-17,03-3786-0029,"午前10時～午後7時30分
※水曜日は午前10時～午後6時",無休,35.606625 ,139.712429 
桐タンスの修理・更正,合資会社林タンス店,142-0043,二葉2-22-6,03-3782-1821,午前8時～午後7時,不定休,35.603861 ,139.723141 
家具,ルームアート松井,142-0043,二葉3-22-2,03-3781-5080,午前11時～午後7時30分,火曜日,35.602979 ,139.721756 
家具・建具・鍵・アミ戸・研ぎ,ネッティカスヤ有限会社糟谷商店,143-0022,大田区東馬込2-8-1,03-3771-2745,午前10時～午後6時,水曜日,35.593350 ,139.718616 
家電,シマネ電器商会,140-0014,大井5-13-4,03-3774-1403,午前9時～午後7時,水曜日,35.599034 ,139.726974 
家庭用電化製品の修理,株式会社菊地電器,143-0022,大田区東馬込2-8-1,03-3777-7374,午前9時～午後8時,水曜日,35.593350 ,139.718616 
自転車,横島サイクル商会,140-0015,西大井2-22-2,03-3778-3196,午前9時～午後7時,水曜日,35.599238 ,139.724430 
自転車,サイクルスポット武蔵小山店,142-0063,荏原3-6-5,03-5749-5065,"午前10時～午後7時30分
※1月・2月は午前11時～午後7時",水曜日(年末年始除く),35.616448 ,139.708173 
洋服,アトリエ＊Sumiko,140-0014,大井1-44-10-1F,090-3914-2052,"平日：午前10時30分～午後5時30分
土曜日：午前10時30分～午後3時","日曜日・祭日
※不定期によりHPを参照してください。",35.604305 ,139.732681 
洋服・靴・傘など,あーる工房戸越銀座店,142-0051,平塚1-6-14,03-3788-8551,午前10時～午後8時,水曜日,35.615443 ,139.716491 
洋服・靴・傘など,あーる工房荏原中延店,142-0053,中延3-1-2,03-5498-2351,午前10時～午後8時,無休,35.609441 ,139.711781 
洋服の直し・その他,リフォームショップアトリエシルク,142-0051,平塚2-18-10,03-5750-4040,"平日：午前9時～午後7時
土曜日：午前10時～午後7時
日曜日：午前10時～午後6時",木曜日・祝日,35.615630 ,139.713836 
古い着物を洋服・小物にリフォーム,よよぎや呉服店,142-0053,中延3-8-12,03-3782-4346,午前10時～午後7時,水曜日,35.607104 ,139.712180 
洋服の直し・その他,リサイクルショップあい,140-0015,西大井4-24-8,03-3771-2991,午前10時～午後7時,日曜日,35.592381 ,139.719636 
靴・洋服,WASH&FOLD西品川店,141-0033,西品川2-8-12-1F,03-6431-9288,午前9時30分～午後10時,木曜日,35.614025 ,139.724190 
靴・カバン・他,有限会社十文字靴店,141-0031,西五反田4-29-16,03-3491-7835,午前9時15分～午後8時15分,日曜日,35.625759 ,139.713315 
ブーツ,布施靴店,140-0014,大井2-27-4,03-3771-6118,午前9時～午後5時,日曜日・第3・5土曜日,35.604201 ,139.730144 
靴・鞄・革コート,靴専科戸越銀座店,142-0051,平塚1-7-1,03-5751-8822,午前10時～午後7時,火曜日,35.615330 ,139.715981 
靴・鞄,チャップリン戸越銀座店,142-0051,平塚2-18-8,03-3787-9841,午前10時～午後7時30分,基本、水曜日・木曜日,35.615788 ,139.713626 
靴,タカザワ靴店,142-0042,豊町1-3-16,03-3781-3178,午前10時～午後7時,火曜日,35.614195 ,139.723241 
ふとん,みすず寝具店,140-0014,大井5-1-28,03-3775-6270,午前9時～午後7時(集配可),日曜日,35.599122 ,139.725636 
ふとん・枕・羽毛等,株式会社戸田屋,142-0063,荏原3-7-1,03-3782-2101,午前10時30分～午後7時,火曜日,35.617371 ,139.706893 
ミシン,石毛ミシン商会,142-0043,二葉1-13-7,03-3781-3620,午前9時～午後6時,不定休,35.605866 ,139.726305 
眼鏡・時計・宝飾,ギャラリーカメイ,142-0042,豊町1-4-16,03-3783-0808,午前10時～午後7時,火曜日,35.614395 ,139.722272 
眼鏡,メガネドクター大崎店,141-0032,"大崎3-6-17
ニュー大崎ビル1F",03-3490-9090,午前10時～午後7時30分,火曜日,35.619455 ,139.727927 
畳,株式会社ひさごや畳店,142-0051,平塚2-16-8,03-3782-4289,午前8時30分～午後6時,不定休,35.616359 ,139.714467 
アクセサリー・ジュエリーリフォーム,ぎゃらりー連,140-0001,北品川1-24-21,"03-3471-0430
090-8230-3512","午前11時～午後6時
※展示会出展等で不在の時がありますので、お電話でご予約をお願いします。",月曜日,35.621134 ,139.740394 
