種別,"指定
番号
","指定
年月日
",名称,数,所在地,所有者,コメント,緯度,経度
絵画,第1号,昭和53年11月22日,旗岡八幡神社大絵馬,1面,旗の台3-6-12,旗岡八幡神社,土佐(高知県)出身の画家沖冠岳(～1876)の元治元(1864)年の作で、駒止めの猿を彩色で描いた大型の絵馬。旧中延村の竹屋吉治郎が奉納したもの。,35.604833 ,139.708116 
彫刻,第14号,昭和61年3月14日,木造摩耶夫人立像,1躯,荏原7-6-9,摩耶寺,本像は釈尊の生母、摩耶夫人と誕生時の釈迦を配した珍しい彫像。きわめて精巧な彫刻で極彩色に塗られた高さ36.9cmの小像。延宝6(1678)年に摩耶寺住職日明が造立。,35.612076 ,139.700332 
彫刻,第17号,平成3年3月26日,木造阿弥陀如来坐像,1躯,戸越2-6-31,行慶寺,行慶寺の本尊。蓮華座に坐り、来迎印を結んだ姿の高さ46cmの寄木造りの像。行慶寺六世近誉上人を施主として、貞享元(1684)年に造立。,35.613445 ,139.720065 
有形民俗,第5号,昭和53年11月22日,戸越八幡神社石造狛犬,1対,戸越2-6-23,戸越八幡神社,延享3(1746)年に戸越村の村民が奉納した区内最古の狛犬。左右の台石に刻まれた207人の名は、当時戸越村を構成していた村民の大部分であると推測される。,35.613288 ,139.720262 
有形民俗,第15号,昭和58年3月12日,戸越八幡神社奉納絵馬,25面,戸越2-6-23,戸越八幡神社,拝殿内の四方長押に掛けられている。奉納者の多くは戸越村の村民で、当社の祭神に関わる神功皇后の図柄が多いが、安政5（1858)年奉納の「社殿上棟図」「天岩戸図」が含まれる。,35.613288 ,139.720262 
有形民俗,第17号,昭和61年3月14日,"旗の台一丁目
石造庚申供養塔",1基,旗の台1-1,町会管理,寛文5(1665)年に、旧中延村の庚申講中が造立した板碑型の供養塔。日蓮宗系の髭題目が中央に彫られた庚申塔としてめずらしく、日蓮宗の影響か三猿・日月のないのが特色。,35.610549 ,139.705019 
有形民俗,第19号,昭和63年3月22日,"旧中原街道供養塔群
（1）",4基,荏原1-15-10,桐ヶ谷地蔵尊管理,元文元(1736)年造立の馬頭観世音菩薩供養塔、延亭3（1746）年造立の地蔵菩薩供養塔、江戸時代中期の造立と推定される地蔵菩薩供養塔および貞享年間造立の聖観世音菩薩が彫られた墓碑がある。,35.619744 ,139.716117 
有形民俗,第20号,昭和63年3月22日,"旧中原街道供養塔群
（2）",6基,荏原2-9-18,戸越地蔵尊保存会管理,寛文6(1666)年造立の笠塔婆型、延宝元(1673)年造立の板碑型、宝暦4(1754)年造立の長方形板型の庚申供養塔、江戸時代中期以降に造立の笠塔婆型供養塔、地蔵菩薩供養塔および寛文2（1662）年造立の墓碑がある。,35.617166 ,139.710852 
有形民俗,第22号,平成元年3月14日,"小山台一丁目
石造庚申供養塔 ",1基,"小山台1-21-17
（お猿橋
庚申堂内）",町会管理,延宝2(1674)年に旧戸越村槍ヶ先の集落の人々が、品川用水に沿ったお猿橋付近に建てたもの。戦後元あった場所の東側の現在地に移され、木造の小さな祠の中に祀られている。,35.622079 ,139.704098 
有形民俗,第24号,平成2年3月13日,"大原不動堂内
石造供養塔群",5基,"豊町5-1-15
大原不動堂内",大原不動尊管理,天和元(1681)年と天和2年造立の板碑型、元禄元(1688)年造立の笠塔婆型の庚申供養塔、貞享4（1687）年造立の庚申燈籠。他に享保17(1732)年造立の六十六部廻国供養道標。いずれも上蛇窪村の村民によって造立された。,35.606383 ,139.718182 
史跡,第15号,昭和55年3月11日,天保二年銘道標,1基,中延5-12-8,区管理,高さ95ｃｍの道標で、天保2(1831)年に下中延村の題目講中が造立。東海道を南品川宿で分かれて大井を通り、千束で中原街道に合流する道と、中原街道を平塚橋で分かれて馬込を通り、新井宿で池上道と結ぶ道の交差点に建てられた。,35.601159 ,139.708669 
史跡,第16号,昭和55年3月11日,柳亭種彦墓,1基,"荏原1-1-19
浄土寺墓地","浄土寺
(港区)",柳亭種彦（1783～1842）は江戸後期に活躍した読本・草双紙の作者。「偐紫田舎源氏」などで好評を博す。明治40（1907）年に赤坂一ツ木（港区）の浄土墓地が現在地に移転した際に改葬された。,35.620252 ,139.711651 
史跡,第17号,昭和55年3月11日,孟宗筍栽培記念碑,1基,小山1-5-14,個人,山路治郎兵衛(1738?～1805)は、鹿児島特産の孟宗竹を移入し、戸越村近郊の農民に栽培を奨励して商品化に成功。竹や筍はこの地域の特産品となった。この碑は文化3（1806）年に、治郎兵衛の子の三郎兵衛が父の一周忌に際して、歯骨を埋め、その上に建てたもの。,35.621440 ,139.710454 
史跡,第22号,昭和61年3月14日,天明三年銘石造道標,1基,中延5-11-16,個人管理,高さ1ｍ15ｃｍの駒型の道標で、天明3(1783)年の造立。中原街道と池上道を結ぶ中通りと、上池上の久ヶ原を通り下丸子で池上道と合流して平間に行く旧道との分岐点に建てられたもの。,35.602057 ,139.708086 
史跡,第23号,昭和61年3月14日,寛政元年銘石造道標,1基,小山2-7,個人管理,後地交差点の朝日地蔵堂前にある高さ1ｍの道標で、寛政元(1789)年に江戸市中の職人や商人が造立したもの。碑文谷道と目黒道の交差点に建てられたが、昭和31（1956）年道路の拡張で反対側に移されたため、指す方向が逆になっている。,35.620886 ,139.707891 
天然記念物,第9号,昭和53年2月14日,葛原神社のボダイジュ,1本,荏原6-2-13,葛原神社,シナノキ科の落葉の高木、中国原産。4本の幹があり、樹高約10ｍ、推定樹齢は約150年。葛原神社は元妙見社といい、妙見菩薩を本尊としたことから、仏教に関係のある本樹が植えられたと推定される。,35.612743 ,139.702845 
天然記念物,"第13号 
第14号",昭和53年2月14日,"小山八幡神社のシイ
(1)(2) ",2本,荏原7-5-14,小山八幡神社,ブナ科の常緑の高木。海岸付近の暖地に多く生育する。本殿と摂社の中間にある(1)は、幹周り約2ｍ85ｃｍ、樹高約13ｍ、境内の北西の隅にある(2)は幹周り約2ｍ60ｃｍ、樹高約16ｍ、推定樹齢はいずれも約200年。,35.611710 ,139.699615 
天然記念物,第15号,昭和53年2月14日,"戸越八幡神社の
ケンポナシ",1本,戸越2-6-23,戸越八幡神社,クロウメモドキ科の落葉樹。高さは5ｍ程度のものが多いが、本樹は、18ｍに達する大木である。幹周り2ｍ38ｃｍ、推定樹齢250～300年。夏には白い花が咲き、球形の実を結ぶ。,35.613288 ,139.720262 
天然記念物,第20号,昭和53年2月14日,金子家のカキ,1本,豊町4-23-11,個人,品種は「禅寺丸」で、いまも多くの実をつける。幹周り約1ｍ70ｃｍ、樹高約12ｍ50ｃｍ、推定樹齢300～350年。幹が地上約1ｍ70ｃｍのところで2つに分かれ、趣のある樹形をしている。,35.605075 ,139.722275 
