Ｎｏ,書名,定価,送料,　備考
1,品川区史資料編,"1,500円","「ゆうパック」
着払い",
2,品川区史通史編（下）,"2,000円","「ゆうパック」
着払い",
3,品川区史続資料編,"3,000円","「ゆうパック」
着払い",
4,品川区史資料編別冊地図統計集,"2,000円","「ゆうパック」
着払い",
5,品川区史資料編別冊目でみる品川,500円,310円,
6,品川区年表,"1,700円",360円,
7,品川区史料（一） 「利田家文書・宮川家文書」,900円,215円,
8,"品川区史料（二） 「庚申塔・念仏供養塔・回国供養塔 
　　　　　　　　　　　　・馬頭観世音供養塔・地蔵供養塔・道標」","1,000円",310円,
9,品川区史料（三） 「品川宿助郷市ノ倉村　横溝家文書」,"1,000円",215円,
10,品川区史料（四） 「墓碑に刻まれた歌と句」,"1,000円",215円,
11,品川区史料（五の一） 「石造遺物」,"1,000円",215円,
12,品川区史料（五の二） 「石造遺物」,"1,000円",310円,
13,品川区史料（六） 「品川の天王祭」,"1,000円",310円,
14,品川区史料（七） 「石碑」,"1,000円",310円,
15,品川区史料（八） 「『徳川実紀』にみる品川」,"1,000円",310円,
16,品川区史料（九） 「東海寺の文化財」,"1,000円",310円,
17,品川区史料（十） 「品川御殿山出土の中世石造遺物」,"1,000円",310円,
18,品川区史料（十一） 品川の古道,"1,000円",310円,
19,品川区史料（十二） 品川神社の文化財,"1,000円",310円,
20,品川区史料（十三） 品川の地名,"1,000円",310円,
21,品川の富士講と山開き行事,"1,000円",215円,
22,品川区指定文化財一覧 改訂版,"1,000円",310円,
23,品川拍子の伝承とあゆみ,"1,000円",215円,
24,品川の仏像 品川区仏像調査報告書,"2,000円",360円,
25,しながわの昔ばなし,"1,000円",310円,
26,品川用水 溜池から用水へ,300円,180円,
27,しながわの史跡めぐり （改訂版）,700円,310円,
28,品川の原始・古代 新書判,500円,215円,
29,"品川間宮社中の歴史と伝承神楽 『江戸の里神楽』
 　（国指定重要無形民俗文化財）","1,000円",215円,
30,品川神社の太太神楽 都指定有形民俗文化財,"1,000円",310円,
31,品川の大山信仰,"1,000円",310円,
32,雉子神社文書 -上大崎村の「年行事留帳」-,"1,000円",310円,
33,"雉子神社文書（二）
 　‐上大崎村の「年行事留帳」と「雉子宮諸入用等覚帳」‐","1,000円",215円,
34,しながわの絵馬,"1,000円",310円,
35,品川の教育,"1,000円",360円,
36,しながわの祭礼,"1,000円",215円,
