名称,所在地,,定期利用一カ月,一日利用,問い合わせ先,緯度,経度
東急中延駅,中延4丁目5番6号,自転車,"2,570円","最初の8時間:100円
以後4時間毎に50円",080-9554-6565,35.605853 ,139.712986 
東急中延駅,中延4丁目5番6号,バイク,"3,600円（原付）","最初の8時間:210円
以後4時間毎に100円",080-9554-6565,35.605853 ,139.712986 
東急荏原中延駅,中延2丁目8番1号,自転車,"2,570円",100円,03-3788-3926,35.609944 ,139.711958 
東急荏原中延駅,中延2丁目8番1号,バイク,"3,600円（原付）",310円,03-3788-3926,35.609944 ,139.711958 
サイクルパーキング大井町A,東大井5丁目1番,自転車,"2,400円
1,800円",100円(2時間無料、7時間毎),0120-356-621,35.608290 ,139.736064 
サイクルパーキング大井町A,東大井5丁目1番,バイク,"3,300円",150円(2時間無料、7時間毎),0120-356-621,35.608290 ,139.736064 
ＪＲ東急目黒ビル,上大崎3丁目1番,自転車,なし,150円(1時間無),0120-356-621,35.633034 ,139.716349 
ＪＲ東急目黒ビル,上大崎3丁目1番,バイク,なし,300円(1時間無料),0120-356-621,35.633034 ,139.716349 
不動前駅,西五反田4丁目32番,自転車,なし,100円(1時間無料、13時間毎),0120-356-621,35.626605 ,139.714275 
東急西小山駅,"北　小山5丁目21番
南　小山6丁目1番",自転車,"2,570円", 100円 (北：12時間毎)　(南：8時間毎),090-4666-5774,35.615692 ,139.698865 
東急西小山駅,"北　小山5丁目21番
南　小山6丁目1番",バイク,"3,600円（原付）
※南：小山6丁目1番の場所のみ",310円 (北：12時間毎)　(南：8時間毎),090-4666-5774,35.615692 ,139.698865 
東急武蔵小山駅,"小山台1丁目24番 
小山4丁目2番",自転車,"2,570円","100円(8時間毎)
※小山4丁目2番の場所のみ",080-2077-7660,35.620519 ,139.704405 
東急武蔵小山駅,"小山台1丁目24番 
小山4丁目2番",バイク,"3,600円（原付）","310円(8時間毎)
※小山4丁目2番の場所のみ",080-2077-7660,35.620519 ,139.704405 
