施設名称,所在地,備考,緯度,経度
荏原在宅介護支援センター,東京都品川区荏原2-9-6,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区荏原2-9-6 電話:5750-3704担当地区: 小山台、小山1～5丁目、荏原1～4丁目 併設:品川区保健所・荏原特別養護老人ホーム・在宅サービスセンター",35.6172020,139.7113124
成幸在宅介護支援センター,東京都品川区中延1-8-7,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区中延1-8-7電話: 3787-7493担当地区:中延1・2丁目、東中延1丁目、西中延1・2丁目、戸越5丁目、平塚併設:特別養護老人ホーム・在宅サービスセンター",35.6120429,139.7117917
東品川在宅介護支援センター,東京都品川区東品川3-1-5,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区東品川3-1-5 電話:5479-2793担当地区:東品川3・4丁目 南品川 併設特別養護老人ホーム(晴楓ホーム)在宅サービスセンター",35.6171394,139.7473675
戸越台在宅介護支援センター,東京都品川区戸越1-15-23,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区戸越1-15-23 電話:5750-1053担当地区:二葉1～3丁目、豊町1～5丁目、戸越1～4丁目併設:戸越台中学校・特別養護老人ホーム・在宅サービスセンター",35.6156943,139.7174795
中延在宅介護支援センター,東京都品川区中延6-8-8,"品川区中延6-8-8 電話:3787-2167担当地区:東中延2丁目、中延3～6丁目、西中延3丁目、戸越6丁目、豊町6丁目、二葉4丁目、旗の台3・4・5(6-12.21-28)丁目 併設:特別養護老人ホーム・在宅サービスセンター",35.6018999,139.7114517
西大井在宅介護支援センター,東京都品川区西大井2-4-4,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区西大井2-4-4 電話:5743-6120担当地区:西大井2～6丁目、大井6～7丁目 併設:特別養護老人ホーム(ロイヤルサニー)・在宅サービスセンター",35.5999180,139.7225372
西五反田在宅介護支援センター,東京都品川区西五反田3-6-6,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区西五反田3-6-6電話:5740-6115担当地区:西五反田 併設:ケアホーム西五反田・在宅サービスセンター・訪問看護ステーション",35.6276895,139.7169396
小山在宅介護支援センター,東京都品川区小山7-14-18,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。品川区小山7-14-18 電話:5749-7288担当地区:小山6・7丁目、荏原5～7丁目、旗の台1・2・5(1-5.13-20)・6丁目併設:小山の家・在宅サービスセンター",35.6090195,139.6964293
八潮在宅介護支援センター,東京都品川区八潮5-10-27,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区八潮5-10-27 電話:3790-0470 担当地区:八潮 併設:高齢者住宅八潮わかくさ荘・在宅サービスセンター",35.6001993,139.7513321
月見橋在宅サービスセンター,東京都品川区南大井3-7-10,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。南大井3-7-10電話:5767-0626 担当地区:大井、南大井、西大井、勝島、東大井",35.5915446,139.7345761
荏原在宅サービスセンター,東京都品川区荏原2-9-6,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。
成幸在宅サービスセンター,東京都品川区中延1-8-7,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。中延1-8-7電話:3788-3315担当地区:中延1・2丁目、東中延1丁目、西中延1・2丁目、平塚1～3丁目、戸越5丁目",35.6119401,139.7118493
東品川在宅サービスセンター,東京都品川区東品川3-1-8,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。東品川3-1-8 電話:5479-2946 担当地区:北品川、東品川、南品川",35.6171260,139.7466490
戸越台在宅サービスセンター,東京都品川区戸越1-15-23,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。戸越1-15-23電話:5750-1052担当地区:二葉1～3丁目、豊町1～5丁目、戸越1～4丁目",35.6155870,139.7175207
中延在宅サービスセンター,東京都品川区中延6-8-8,"中延6-8-8 電話:3787-2137 担当地区:東中延2丁目、旗の台3～5丁目、中延3～6丁目、西中延3丁目、　戸越6丁目、豊町6丁目、二葉4丁目",35.6017389,139.7114492
西大井在宅サービスセンター,東京都品川区西大井2-4-4,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。大井4-14-8電話:5742-2721担当地区:大井1～5丁目、西大井1丁目、広町",35.6000386,139.7224549
南大井在宅サービスセンター,東京都品川区南大井5-19-1,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。南大井5-19-1 電話:5753-3903担当地区:南大井、東大井、勝島",35.5945680,139.7341327
小山在宅サービスセンター,東京都品川区小山7-14-18,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。小山7-14-18 電話:5749-7251",35.6090406,139.6965607
八潮在宅サービスセンター,東京都品川区八潮5-10-27,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。八潮5-10-27 電話:3790-0344 担当地区:八潮",35.6002349,139.7511815
西五反田在宅サービスセンター,東京都品川区西五反田3-6-6,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。西五反田3-6-6電話:5434-5608担当地区:上大崎、東五反田4・5丁目、西五反田",35.6277698,139.7167094
東京マイコープデイサービスセンター八潮陽だまり,東京都品川区八潮5-2-2,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。八潮5-2-2 電話:3799-3077 担当地区:東品川・大井・八潮在宅サービスセンターエリア",35.6044500,139.7534925
峰原坂ケアセンター,東京都品川区大崎5-5-3,品川区大崎5-5-3,35.6233689,139.7243154
(株)ケアサービスデイサービスセンター大森,東京都品川区南大井6-3-8ガーデニア大森1F,"品川区南大井6-3-8ガーデニア大森1F",35.5922686,139.7334098
(株)仁済デイサービスセンター大井,東京都品川区大井1-49-12大井町ビル3F,"品川区大井1-49-12大井町ビル3F",35.6060035,139.7332098
すずなり戸越,東京都品川区戸越6-23-24コープ中延1F,"品川区戸越6-23-24コープ中延1F",35.6066371,139.7142620
