番号,遺跡名,所在地,遺跡の概要,時代,出土遺物,緯度,経度
1,上大崎貝塚,上大崎一丁目,台地　貝塚,（縄）,縄文土器　石器,35.619753 ,139.725531 
2,(名称なし）,"東五反田一丁目
宝塔寺",台地縁辺包蔵地,（縄前）,縄文土器 石器,35.626960 ,139.726246 
3,（名称なし）,"東五反田三丁目
清泉女子大学",台地縁辺,（縄前）,縄文土器,35.627121 ,139.729442 
4,池田山北遺跡,東五反田五丁目,"台地　貝塚・集落
（縄）住居、炉土、坑（弥）住居、溝　（近）溝",（縄早前中後弥近）,縄文土器　打斧　磨斧　石皿　けつ状耳飾　弥生土器　磁器　燈明皿　擂鉢　動物,35.630845 ,139.723053 
5,（名称なし）,東五反田五丁目,台地縁辺　包蔵地,（縄）,縄文土器　打斧　石鏃,35.630845 ,139.723053 
6,（名称なし）,"西五反田一丁目
五反田駅前ビル",低地　包蔵地,（縄前）,縄文土器,35.624690 ,139.722734 
7,白金館址,上大崎二丁目,台地　城館　港67に接続　国天然記念物・国史跡－旧白金御料地(昭和24.4.12),（中）,（なし）,35.637089 ,139.721138 
8,御殿山遺跡,北品川五丁目,台地　貝塚・包蔵地（弥）土坑,（縄前弥古）,縄文土器　土師器,35.621484 ,139.732631 
9,桐ヶ谷遺跡,西五反田五丁目,台地縁辺　包蔵地,（縄早）,（なし）,35.584072 ,139.703416 
10,居木橋遺跡,"大崎二・三丁目
西品川三丁目","台地　貝塚・集落100×50m
5000平方メートル
（縄）住居　土坑　ピット（中）溝",（縄早前中後弥中）,縄文土器　打斧　磨斧　石皿　耳飾　石棒　骨角製釣針　鯨骨製棒状骨角器　獣魚骨　弥生土器　抉入石斧　陶磁器　動物遺体,35.619753 ,139.725531 
11,南品川横穴墓群,南品川五丁目,"台地斜面
横穴墓",（奈平）,鉄製腕輪　人骨,35.584072 ,139.703416 
12,(大井)権現台貝塚,"広町二丁目
大井鉄道工場","台地縁辺
貝塚",（縄後晩）,縄文土器　打斧　磨斧　硬玉大珠　石棒　土偶　土版　骨角器　獣骨　,35.593315 ,139.730256 
13,仙台坂遺跡,"東大井四丁目
南品川五丁目",台地　包蔵地・大名屋敷　近ピット　土坑　石垣,（縄後古奈平近）,縄文土器　石器　石弾　土錘　石棒　自然遺物　土師器　陶磁器　瓦　土製品　鉄製品　煙管　銭貨　ガラス製品　蝋石　獣骨　,35.652242 ,139.732102 
14,西光寺貝塚,"大井四丁目
西光寺",台地縁辺　貝塚・包蔵地,（縄中後古）,縄文土器　打斧　須恵器,35.600812 ,139.732631 
15,大井鹿島遺跡,大井六・七丁目,台地縁辺　集落住居　ピット近土坑　室状遺構,（縄古奈平近）,縄文土器　土師器　須恵器　陶磁器　紡錘車　土錘　釘　煙管　銭貨　ガラス製品,35.595488 ,139.730219 
16,大森貝塚,大井六・七丁目,台地斜面　集落・貝塚（縄）住居　溝　国史跡－大森貝塚（昭30.3.24/昭61.8.16）,（縄中後晩）,縄文土器　石斧　石鞍　石皿　磨石　滑車形耳飾　石棒　土偶　土版　骨角器　貝製品　人骨　自然遺物　,35.590732 ,139.729132 
17,荏原館跡,旗の台三丁目,台地縁辺　城館（中）土塁,（中）,（なし）,35.604716 ,139.708025 
18,（名称なし）,"南品川五丁目
海晏寺",台地縁辺　古墳,（古）,須恵器　円筒埴輪　人物埴輪,35.607649 ,139.742255 
19,大井林町古墳,東大井四丁目,台地縁辺　古墳(円墳),（古）,（なし）,35.605376 ,139.740922 
20,大井公園内古墳,東大井四丁目,台地縁辺　古墳(円墳),（古）,円筒埴輪,35.605376 ,139.740922 
21,金子山,西大井四丁目,台地縁辺　城館,（中）,（なし）,35.595691 ,139.719861 
22,梶原氏館跡,"東大井三丁目
来福寺",台地縁辺　城館,（中）,（なし）,35.601741 ,139.737436 
23,品川台場（第一）,東品川五丁目,埋立地　台場　港62－3に接続,（近）,（なし）,35.633594 ,139.772033 
24,大井金子山横穴墓群,西大井四丁目,台地斜面　横穴墓,（古奈）,鉄鏃　刀子　埋葬人骨,35.595691 ,139.719861 
25,播磨国 三日月藩森家上屋敷跡,上大崎三丁目,屋敷,（近）,"
 近世陶磁器・土器・瓦・縄文土器 ",35.629544 ,139.718705 
26,寿昌寺遺跡,東五反田三丁目,墓,（近）,常滑甕・土製人形,35.627984 ,139.728800 
27,妙国寺北遺跡,南品川二丁目,社寺,（近）,陶磁器・瓦・鋳型・墓石・仏具,35.612948 ,139.742849 
28,池田山遺跡,東五反田五丁目,屋敷,（近）,陶磁器・瓦・土器,35.452320 ,136.544676 
29,南品川石積護岸,"南品川一丁目
南品川二丁目",護岸跡,（近）,陶磁器,35.614615 ,139.744234 
30,三木遺跡,西品川三丁目,包蔵地,（縄早前中後弥中）, 縄文土器　礫　土師器,35.615637 ,139.725926 
