,実施場所,住所,電話番号,開室日,開室時間,"定員
（新型コロナウイルス感染拡大防止のため、オアシスルームのご利用人数を制限して実施しております。()内の数字は通常時の定員です。）",備考,緯度,経度
1 ,伊藤児童センター内,西大井6-13-1,03-3771-7225,月～土,午前9時～午後6時,3名(6名),定員のうち0歳・1歳はあわせて最大2名(3名)まで,35.600689 ,139.717567 
2 ,小関児童センター内,北品川5-8-15,03-3449-8227,月～土,午前9時～午後6時,3名(6名),定員のうち0歳・1歳はあわせて最大2名(3名)まで,35.619656 ,139.732528 
3 ,東五反田児童センター内,東五反田5-24-1,03-3443-6101,月～土,午前9時～午後6時,3名(6名),定員のうち0歳・1歳はあわせて最大2名(3名)まで,35.627980 ,139.723378 
4 ,西中延児童センター内,西中延3-8-5,03-3783-2891,月～土,午前9時～午後6時,3名(6名),定員のうち0歳・1歳はあわせて最大2名(3名)まで,35.607290 ,139.708125 
5 ,北品川児童センター内,北品川2-7-21,03-3471-2363,月～土,午前9時～午後6時,3名(6名),定員のうち0歳・1歳はあわせて最大2名(3名)まで,35.618862 ,139.743947 
6 ,ぷりすくーる西五反田内,西五反田3-9-9,03-5759-8061,月～土,午前8時30分～午後5時30分,3名(6名),定員のうち0歳・1歳はあわせて最大2名(3名)まで,35.626720 ,139.717130 
7 ,荏原保健センター内,荏原2-9-6,03-3783-2101,月～土,午前8時30分～午後5時30分,6名(12名),定員のうち0歳・1歳はあわせて最大3名(6名)まで,35.617043 ,139.711019 
8 ,北品川第二保育園内,北品川3-7-43,03-5460-6065,月～土,午前8時30分～午後5時30分,6名(12名),定員のうち0歳・1歳はあわせて最大3名(6名)まで,35.617980 ,139.739332 
9 ,ものづくり創造センター内,大井4-29-22,03-3776-7111,月～土,午前9時～午後6時,6名(12名),定員のうち0歳・1歳はあわせて最大3名(6名)まで,35.598414 ,139.732479 
10 ,品川区役所第三庁舎内,広町2-1-36,03-5742-3086,月～金・日,午前8時30分～午後5時30分,"(1)6名(12名) 
(2)2名(3名)","(1)定員のうち0歳・1歳はあわせて最大3名(6名)まで
(2)定員のうち0歳・1歳はあわせて最大1名(2名)まで",35.609181 ,139.730167 
11 ,平塚ゆうゆうプラザ,平塚2-10-20,03-5751-7147,月～土,午前9時～午後6時,6名(12名),定員のうち0歳・1歳はあわせて最大3名(6名)まで,35.616926 ,139.713967 
12 ,戸越,戸越6-8-4,03-3787-7701,月～土,午前9時～午後6時,6名(12名),定員のうち0歳・1歳はあわせて最大3名(6名)まで,35.607659 ,139.718025 
