種別,"指定
番号
","指定
年月
",名称,数,所在地,所有者,コメント,緯度,経度
建造物,第1号,昭和53年11月22日,品川神社石造鳥居並水盤,,北品川3-7-15,品川神社,鳥居・水盤ともに慶安元年(1648)東海寺を建立した三代将軍徳川家光の側近、堀田正盛の寄進。,35.618491 ,139.739586 
建造物,第2号,昭和53年11月22日,品川神社 石造灯籠,,北品川3-7-15,品川神社,慶安元年(1648)の造立。境内左手の浅間神社の参道に建っているが、もとは本社の参道に建っていた。後藤八郎兵衛光利と亀岡久兵衛政重の寄進。,35.618491 ,139.739586 
絵画,第2号,昭和56年2月12日,紙本着色 釈尊誕生変相図,1幅,北品川2-2-14,法禅寺,江戸時代に代々上野寛永寺の絵所を勤めた神田家の七世宗庭貞信(1765～1800)の作。中央に摩耶夫人から生まれた釈尊が天地を指さし、輝く太陽と誕生を祝う天人や龍王を描く。,35.619611 ,139.741722 
絵画,第6号,昭和60年3月14日,紙本墨画淡彩蘆葉達磨図,1幅,南品川4-2-16,大龍寺,市女笠をかぶり、顔を斜め左に向け、粗末な法衣に身を包んだ菩提達磨が、一枝の葦の上に立つ姿を描いた図。黄檗僧独湛性瑩(1628～1706)の晩年の大作。,35.615423 ,139.739756 
絵画,第7号,昭和60年3月14日,絹本着色羅漢図,双幅,南品川4-2-16,大龍寺,十六羅漢のうちの第六跋陀羅尊者と第十半託迦尊者とを別々に描いた図で、江戸後期に活躍した画家谷文晁(1763～1840)が吉山明兆(1352～1431)の描いた両尊者の画を倣って文化14年(1817)に描いたもの。,35.615423 ,139.739756 
絵画,第8号,昭和60年3月14日,紙本墨画文殊騎獅図,1幅,南品川4-2-16,大龍寺,獅子に乗った文殊菩薩を描いた図で、仙義梵(1750～1837)の文政7年(1824)の作。仙は美濃(岐阜県)の出身で、修行のために各地を行脚して書画を描いた。,35.615423 ,139.739756 
絵画,第9号,平成29年3月28日,絹本着色宝塔絵曼荼羅,1幅,南品川2-8-3,天妙国寺,宝塔絵曼荼羅とは日蓮宗独特の仏画であり、釈迦如来の前に地面から宝塔が湧き上がるという、同宗派にとって重要な場面を描いたもの。本作は14世紀半ば南北朝時代、鎌倉地域の絵仏師による作と考えられる。都内で当初から伝来している中世仏画の遺例は珍しい。,35.612789 ,139.743169 
彫刻,第1号,昭和56年2月12日,阿弥陀如来坐像,1躯,北品川2-2-14,法禅寺,当寺の本尊で、来迎印を結び温和で優美な表情をした高さ1メートル3センチの寄木造りの像。宝永2年(1705)に安阿弥末流(鎌倉時代の快慶の系統)の大仏師大部が制作したもの。,35.619611 ,139.741722 
彫刻,第2号,昭和56年2月12日,法然上人坐像,1躯,北品川2-2-14,法禅寺,個性ある中老の容貌をした高さ29センチの寄木造りの小像。略縁起には、法然上人(1133～1212)が関白九条兼実に与えた自作の像で、陰陽師阿波助によって法禅寺の前身の草庵に安置したとある。,35.619611 ,139.741722 
彫刻,第8号,昭和59年2月16日,木造釈迦如来及び両脇侍像,3躯,南品川4-2-16,大龍寺,三尊とも高さ30センチほどの一木造りの坐像で、一つの厨子に収めてある。元禄16年(1703)にこの寺が時宗から黄檗宗に改宗したときに、京都宇治の万福寺の本尊の体内仏を移したと伝えられている。,35.615423 ,139.739756 
