< 輸  入 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,衣服・身廻品・はきもの,電気機械,製造食品,その他化学工業品,家具装備品
,"2,941,892",100.0%,"362,868","276,225","212,133","207,247","163,799"
,97.8%,,99.8%,101.0%,95.2%,103.0%,96.5%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,その他畜産品,動植物性製造飼肥料,製造食品,製材,その他化学工業品
,"369,104",12.5%,"74,224","64,438","33,494","29,081","23,986"
,97.4%,,113.0%,97.1%,78.0%,86.1%,102.9%
北米東岸(カリビア海含む),,,その他畜産品,紙・パ　ル　プ,その他化学工業品,野菜・果物,製造食品
,"105,380",3.6%,"22,008","18,984","9,230","6,233","5,236"
,120.7%,,103.2%,103.6%,172.6%,177.2%,132.7%
北欧・地中海,,,飲料,製造食品,その他化学工業品,産業機械,自動車部品
,"131,824",4.5%,"17,729","16,447","11,933","8,520","6,682"
,111.3%,,103.7%,125.1%,100.4%,131.8%,253.4%
南米西岸,,,野菜・果物,飲料,水産品,動植物性製造飼肥料,その他畜産品
,"46,791",1.6%,"14,440","12,621","4,519","3,093","2,076"
,63.1%,,69.7%,59.7%,114.4%,142.2%,47.1%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,製材,その他畜産品,製造食品,その他化学工業品,木製品
,"72,103",2.5%,"12,726","11,860","11,729","6,337","5,541"
,332.0%,,583.8%,545.0%,236.9%,898.9%,211.5%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,衣服・身廻品・はきもの,電気機械,その他化学工業品,家具装備品,製造食品
,"1,296,491",44.1%,"187,455","158,432","109,904","95,271","72,322"
,111.4%,,116.5%,119.4%,113.1%,116.7%,99.8%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,その他化学工業品,製造食品,産業機械,化学薬品,飲料
,"118,616",4.0%,"18,885","14,425","8,265","7,934","6,859"
,89.5%,,116.1%,119.7%,125.2%,105.0%,49.9%
中国(香港含む),,,衣服・身廻品・はきもの,電気機械,製造食品,家具装備品,野菜・果物
,"801,583",27.2%,"163,367","103,206","57,080","51,483","43,748"
,79.1%,,85.8%,82.4%,82.7%,67.1%,101.0%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
