 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,092 ","16,001,396 ","14,138 ","105,064,132 ",466 ,"11,998,742 ","3,182 ","78,243,055 ","1,626 ","4,002,654 ","10,956 ","26,821,077 "
公共計,"1,026 ","5,741,980 ","6,892 ","38,145,818 ",191 ,"2,729,104 ","1,279 ","17,730,130 ",835 ,"3,012,876 ","5,613 ","20,415,688 "
ドルフィン,4 ,"2,706 ",23 ,"15,223 ",-,-,-,-,4 ,"2,706 ",23 ,"15,223 "
芝浦ふ頭,31 ,"58,910 ",240 ,"585,982 ",-,-,-,-,31 ,"58,910 ",240 ,"585,982 "
芝浦物揚場,22 ,"10,129 ",151 ,"65,795 ",-,-,-,-,22 ,"10,129 ",151 ,"65,795 "
日の出ふ頭,7 ,"5,465 ",52 ,"38,222 ",-,-,-,-,7 ,"5,465 ",52 ,"38,222 "
竹芝ふ頭,196 ,"407,512 ","1,072 ","2,373,387 ",-,-,-,-,196 ,"407,512 ","1,072 ","2,373,387 "
品川岸壁,149 ,"1,607,694 ","1,033 ","11,121,781 ",80 ,"798,724 ",553 ,"5,467,612 ",69 ,"808,970 ",480 ,"5,654,169 "
 品川コンテナ,78 ,"708,175 ",541 ,"4,936,744 ",73 ,"702,954 ",512 ,"4,906,667 ",5 ,"5,221 ",29 ,"30,077 "
 品川外貿,7 ,"95,770 ",41 ,"560,945 ",7 ,"95,770 ",41 ,"560,945 ",-,-,-,-
 品川内貿,64 ,"803,749 ",451 ,"5,624,092 ",-,-,-,-,64 ,"803,749 ",451 ,"5,624,092 "
晴海ふ頭,8 ,"84,986 ",50 ,"1,023,721 ",-,-,8 ,"365,886 ",8 ,"84,986 ",42 ,"657,835 "
月島ふ頭,6 ,"1,954 ",27 ,"8,767 ",-,-,-,-,6 ,"1,954 ",27 ,"8,767 "
漁業基地,3 ,"4,083 ",18 ,"25,795 ",-,-,-,-,3 ,"4,083 ",18 ,"25,795 "
10号西岸壁,65 ,"686,014 ",444 ,"4,555,576 ",-,-,-,-,65 ,"686,014 ",444 ,"4,555,576 "
10号東岸壁,31 ,"13,341 ",226 ,"99,935 ",-,-,-,-,31 ,"13,341 ",226 ,"99,935 "
東京港フェリーふ頭,30 ,"379,080 ",200 ,"2,527,200 ",-,-,-,-,30 ,"379,080 ",200 ,"2,527,200 "
多目的ふ頭,2 ,"4,637 ",17 ,"29,697 ",-,-,-,-,2 ,"4,637 ",17 ,"29,697 "
辰巳ふ頭,81 ,"27,667 ",553 ,"194,381 ",-,-,-,-,81 ,"27,667 ",553 ,"194,381 "
青海コンテナふ頭（公共）,143 ,"1,726,183 ",911 ,"10,474,873 ",96 ,"1,689,684 ",607 ,"10,229,053 ",47 ,"36,499 ",304 ,"245,820 "
有明ふ頭,7 ,"5,872 ",38 ,"32,181 ",-,-,-,-,7 ,"5,872 ",38 ,"32,181 "
大井水産物ふ頭,-,-,7 ,"68,276 ",-,-,3 ,"56,777 ",-,-,4 ,"11,499 "
大井食品ふ頭（OL）,9 ,"115,080 ",80 ,"606,376 ",5 ,"114,253 ",25 ,"594,948 ",4 ,827 ,55 ,"11,428 "
大井食品ふ頭（OM）,8 ,"71,832 ",60 ,"539,083 ",8 ,"71,832 ",60 ,"539,083 ",-,-,-,-
大井食品ふ頭（ON）,1 ,"17,164 ",3 ,"36,633 ",1 ,"17,164 ",3 ,"36,633 ",-,-,-,-
若洲内貿ふ頭,11 ,"110,374 ",83 ,"832,822 ",-,-,-,-,11 ,"110,374 ",83 ,"832,822 "
15号地木材ふ頭,10 ,"39,124 ",24 ,"254,055 ",1 ,"37,447 ",8 ,"250,691 ",9 ,"1,677 ",16 ,"3,364 "
若洲建材ふ頭,19 ,"11,736 ",199 ,"118,034 ",-,-,-,-,19 ,"11,736 ",199 ,"118,034 "
大井建材ふ頭,93 ,"52,843 ",618 ,"355,149 ",-,-,-,-,93 ,"52,843 ",618 ,"355,149 "
城南島建設発生土ふ頭,46 ,"34,334 ",474 ,"311,360 ",-,-,-,-,46 ,"34,334 ",474 ,"311,360 "
中央防波堤内側ばら物ふ頭,2 ,"1,193 ",31 ,"199,254 ",-,-,12 ,"189,447 ",2 ,"1,193 ",19 ,"9,807 "
中央防波堤内側建設発生土ふ頭,11 ,"14,069 ",63 ,"75,988 ",-,-,-,-,11 ,"14,069 ",63 ,"75,988 "
中央防波堤内側内貿ふ頭,22 ,"233,127 ",144 ,"1,524,726 ",-,-,-,-,22 ,"233,127 ",144 ,"1,524,726 "
官公庁（晴海）,3 ,"11,385 ",10 ,"31,935 ",-,-,-,-,3 ,"11,385 ",10 ,"31,935 "
官公庁（月島）,5 ,989 ,35 ,"6,927 ",-,-,-,-,5 ,989 ,35 ,"6,927 "
官公庁（有明）,1 ,"2,497 ",5 ,"12,485 ",-,-,-,-,1 ,"2,497 ",5 ,"12,485 "
その他,-,-,1 ,199 ,-,-,-,-,-,-,1 ,199 
東京港埠頭㈱計,384 ,"9,229,695 ","2,576 ","60,166,480 ",250 ,"8,997,463 ","1,738 ","58,753,838 ",134 ,"232,232 ",838 ,"1,412,642 "
青海コンテナふ頭(埠頭㈱),78 ,"1,982,196 ",538 ,"14,228,928 ",65 ,"1,963,753 ",466 ,"14,133,538 ",13 ,"18,443 ",72 ,"95,390 "
お台場ライナーふ頭,39 ,"342,964 ",251 ,"2,220,918 ",13 ,"260,597 ",95 ,"1,706,914 ",26 ,"82,367 ",156 ,"514,004 "
大井コンテナふ頭,267 ,"6,904,535 ","1,787 ","43,716,634 ",172 ,"6,773,113 ","1,177 ","42,913,386 ",95 ,"131,422 ",610 ,"803,248 "
民間計,682 ,"1,029,721 ","4,670 ","6,751,834 ",25 ,"272,175 ",165 ,"1,759,087 ",657 ,"757,546 ","4,505 ","4,992,747 "
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
