"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2019","後期高齢者医療保険料","3296069","59.4","3440550","61.3"
"2019","使用料及び手数料","1","0.0","1","0.0"
"2019","繰入金","2128096","38.4","1937839","34.5"
"2019","繰越金","1","0.0","113014","2.0"
"2019","諸収入","120372","2.2","120372","2.1"
"2019","歳入合計","5544539","100","5611776","100"
"2020","後期高齢者医療保険料","3466630","60.4",,
"2020","使用料及び手数料","1","0.0",,
"2020","繰入金","2153529","37.5",,
"2020","繰越金","1","0.0",,
"2020","諸収入","119566","2.1",,
"2020","歳入合計","5739727","100",,

"令和2年度港区行政資料集　後期高齢者医療会計歳入予算","Ver202003",,,,
