調査期間,対象物質,基準等,区分,施設内５街区青果棟５－１,施設内５街区青果棟５－２,施設内５街区青果棟５－３,施設内５街区屋外,施設内６街区水産仲卸売場棟６－１,施設内６街区水産仲卸売場棟６－２,施設内６街区水産仲卸売場棟６－３,施設内６街区加工パッケージ棟,施設内６街区屋外,施設内７街区水産卸売場棟７－１,施設内７街区水産卸売場棟７－２,施設内７街区水産卸売場棟７－３,施設内７街区管理施設棟,施設内７街区屋外
１２月２１日（水）～２２日（木）,ベンゼン（ｍｇ／ｍ３）,0.003,建物１階,清掃中のため測定なし,清掃中のため測定なし,清掃中のため測定なし,-,0.0027,0.0025,0.0022,清掃中のため測定なし,0.0024,0.0023,0.0024,0.0021,0.0024,0.0028
１２月２１日（水）～２２日（木）,ベンゼン（ｍｇ／ｍ３）,0.003,地下ピット内,清掃中のため測定なし,清掃中のため測定なし,清掃中のため測定なし,-,不検出,不検出,0.0003,清掃中のため測定なし,0.0024,0.0006,不検出,不検出,0.0026,0.0028
１２月２１日（水）～２２日（木）,シアン（ｍｇ／ｍ３）,0.003,建物１階,清掃中のため測定なし,清掃中のため測定なし,清掃中のため測定なし,-,不検出,不検出,不検出,清掃中のため測定なし,不検出,不検出,不検出,不検出,不検出,不検出
１２月２１日（水）～２２日（木）,シアン（ｍｇ／ｍ３）,0.003,地下ピット内,清掃中のため測定なし,清掃中のため測定なし,清掃中のため測定なし,-,不検出,不検出,不検出,清掃中のため測定なし,不検出,不検出,不検出,不検出,不検出,不検出
１２月２１日（水）～２２日（木）,水銀（μｇ／ｍ３）,0.04,建物１階,清掃中のため測定なし,清掃中のため測定なし,清掃中のため測定なし,-,不検出,不検出,不検出,清掃中のため測定なし,不検出,不検出,不検出,不検出,不検出,不検出
１２月２１日（水）～２２日（木）,水銀（μｇ／ｍ３）,0.04,地下ピット内,清掃中のため測定なし,清掃中のため測定なし,清掃中のため測定なし,-,0.005,0.005,0.005,清掃中のため測定なし,不検出,0.005,0.006,0.006,不検出,不検出
３月１４日（火）～１５日（水）換気直後,ベンゼン（ｍｇ／ｍ３）,0.003,建物１階,0.0008,0.0009,0.0009,0.0010,-,-,-,-,-,-,-,-,-,-
３月１４日（火）～１５日（水）換気直後,ベンゼン（ｍｇ／ｍ３）,0.003,地下ピット内,不検出,不検出,不検出,0.0010,-,-,-,-,-,-,-,-,-,-
３月１４日（火）～１５日（水）換気直後,シアン（ｍｇ／ｍ３）,0.003,建物１階,不検出,不検出,不検出,不検出,-,-,-,-,-,-,-,-,-,-
３月１４日（火）～１５日（水）換気直後,シアン（ｍｇ／ｍ３）,0.003,地下ピット内,不検出,不検出,不検出,不検出,-,-,-,-,-,-,-,-,-,-
３月１４日（火）～１５日（水）換気直後,水銀（μｇ／ｍ３）,0.04,建物１階,不検出,不検出,不検出,不検出,-,-,-,-,-,-,-,-,-,-
３月１４日（火）～１５日（水）換気直後,水銀（μｇ／ｍ３）,0.04,地下ピット内,0.018,0.016,0.018,不検出,-,-,-,-,-,-,-,-,-,-
３月２１日（火）～２２日（水）換気１週間後,ベンゼン（ｍｇ／ｍ３）,0.003,建物１階,0.0010,0.0010,0.0010,0.0009,-,-,-,-,-,-,-,-,-,-
３月２１日（火）～２２日（水）換気１週間後,ベンゼン（ｍｇ／ｍ３）,0.003,地下ピット内,不検出,不検出,不検出,0.0009,-,-,-,-,-,-,-,-,-,-
３月２１日（火）～２２日（水）換気１週間後,シアン（ｍｇ／ｍ３）,0.003,建物１階,不検出,不検出,不検出,不検出,-,-,-,-,-,-,-,-,-,-
３月２１日（火）～２２日（水）換気１週間後,シアン（ｍｇ／ｍ３）,0.003,地下ピット内,不検出,不検出,不検出,不検出,-,-,-,-,-,-,-,-,-,-
３月２１日（火）～２２日（水）換気１週間後,水銀（μｇ／ｍ３）,0.04,建物１階,不検出,不検出,不検出,不検出,-,-,-,-,-,-,-,-,-,-
３月２１日（火）～２２日（水）換気１週間後,水銀（μｇ／ｍ３）,0.04,地下ピット内,0.019,0.018,0.019,不検出,-,-,-,-,-,-,-,-,-,-
