調査期間,施設外３１５下（１）,施設外３１５下（２）,施設外３１５下（３）,施設外３１５下（４）,施設外３１５下（５）,施設外３１５下（６）
１０月３１日（月）～１１月１日（火）,不検出,不検出,不検出,不検出,不検出,不検出
１１月７日（月）～１１月８日（火）,不検出,不検出,不検出,不検出,不検出,不検出
１１月２７日（月）～１１月２８日（火）,不検出,不検出,不検出,不検出,不検出,不検出
１２月５日（月）～１２月６日（火）,不検出,不検出,不検出,不検出,不検出,不検出
１２月１２日（月）～１２月１３日（火）,不検出,不検出,不検出,不検出,不検出,不検出
１２月２６日（月）～１２月２７日（火）,不検出,不検出,不検出,不検出,不検出,不検出
１月５日（木）～１月６日（金）,不検出,不検出,不検出,不検出,不検出,不検出
１月１２日（木）～１月１３日（金）,不検出,不検出,不検出,不検出,不検出,不検出
１月１９日（木）～１月２０日（金）,不検出,不検出,不検出,不検出,不検出,不検出
１月２６日（木）～１月２７日（金）,不検出,不検出,不検出,不検出,不検出,不検出
２月２日（木）～２月３日（金）,不検出,不検出,不検出,不検出,不検出,不検出
２月９日（木）～２月１０日（金）,不検出,不検出,不検出,不検出,不検出,不検出
２月１６日（木）～２月１７日（金）,不検出,不検出,不検出,不検出,不検出,不検出
２月２３日（木）～２月２４日（金）,不検出,不検出,不検出,不検出,不検出,不検出
３月２日（木）～３月３日（金）,不検出,不検出,不検出,不検出,不検出,不検出
３月９日（木）～３月１０日（金）,不検出,不検出,不検出,不検出,不検出,不検出
３月１６日（木）～３月１７日（金）,不検出,不検出,不検出,不検出,不検出,不検出
３月２３日（木）～３月２４日（金）,不検出,不検出,不検出,不検出,不検出,不検出
３月３０日（木）～３月３１日（金）,不検出,不検出,不検出,不検出,不検出,不検出
４月６日（木）～４月７日（金）,不検出,不検出,不検出,不検出,不検出,不検出
４月１３日（木）～４月１４日（金）,不検出,不検出,不検出,不検出,不検出,不検出
